Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Bonds, Barry",lf,28,Type A,PIT,SFN,6,"$43,750,000 ",1993-98,,,"$7,291,667",Dennis Gilbert,Lurie / Magowan,Bob Quinn Sr.,
"Puckett, Kirby",cf-rf,33,Type A,MIN,MIN,5,"$30,000,000 ",1993-97,,,"$6,000,000",Ron Shapiro,Carl Pohlad,Andy MacPhail,
"Maddux, Greg",rhp-s,27,Type A,CHN,ATL,5,"$28,000,000 ",1993-97,,,"$5,600,000",Boras Corp.,Ted Turner,John Schuerholz,
"McGwire, Mark",1b,29,Type A,OAK,OAK,5,"$28,000,000 ",1993-97,,,"$5,600,000",Robert Cohen,Walter Haas Jr.,Sandy Alderson,
"Sierra, Ruben",rf,27,Type A,OAK,OAK,5,"$28,000,000 ",1993-97,,,"$5,600,000",Bob Wolff,Walter Haas Jr.,Sandy Alderson,
"Carter, Joe",lf-rf,33,Type A,TOR,TOR,3,"$19,500,000 ",1993-95,,,"$6,500,000",Jim Turner,Labatt Brewing,Pat Gillick,
"Drabek, Doug",rhp-s,30,Type A,PIT,HOU,4,"$19,500,000 ",1993-96,,,"$4,875,000",Hendricks Sports,Drayton McLane,Bill Wood,
"Smiley, John",lhp,28,Type A,MIN,CIN,4,"$18,400,000 ",1993-96,,,"$4,600,000",Hendricks Sports,Marge Schott,Jim Bowden,
"Key, Jimmy",lhp-s,32,Type A,TOR,NYA,4,"$17,000,000 ",1993-96,,,"$4,250,000",Hendricks Sports,Geo Steinbrenner,Gene Michael,
"Swindell, Greg",lhp-s,28,Type A,CIN,HOU,4,"$17,000,000 ",1993-96,,,"$4,250,000",Hendricks Sports,Drayton McLane,Bill Wood,
"Bosio, Chris",rhp-s,30,Type A,MIL,SEA,4,"$15,250,000 ",1993-96,,,"$3,812,500",,Nintendo/America,Woody Woodward,
"Guzman, Jose",rhp-s,30,Type A,TEX,CHN,4,"$14,350,000 ",1993-96,,,"$3,587,500",Meister Sports,Tribune Co.,Larry Himes,
"Steinbach, Terry",c,31,Type A,OAK,OAK,4,"$14,000,000 ",1993-96,,,"$3,500,000",Charlie Sutton,Walter Haas Jr.,Sandy Alderson,
"Molitor, Paul",dh-1b,36,Type A,MIL,TOR,3,"$13,000,000 ",1993-95,,,"$4,333,333",Ron Simon,Labatt Brewing,Pat Gillick,
"Boggs, Wade",3b,35,Type A,BOS,NYA,3,"$11,000,000 ",1993-95,,,"$3,666,667",Alan Nero,Geo Steinbrenner,Gene Michael,
"Moore, Mike",rhp-s,33,Type A,OAK,DET,3,"$10,000,000 ",1993-95,,,"$3,333,333",Ron Shapiro,Mike Ilitch,Jerry Walker,
"Whitaker, Lou",2b,36,Type A,DET,DET,3,"$10,000,000 ",1993-95,,,"$3,333,333",Rick Brode,Mike Ilitch,Jerry Walker,
"Worrell, Todd",rhp,33,Type B,SLN,LAN,3,"$9,500,000 ",1993-95,,,"$3,166,667",Richie Bry,Peter O'Malley,Fred Claire,
"Dawson, Andre",rf,38,Type A,CHN,BOS,2,"$9,300,000 ",1993-94,,,"$4,650,000",Richard Moss,JRY Trust,Lou Gorman,
"Henke, Tom",rhp,35,Type A,TOR,TEX,2,"$8,505,250 ",1993-94,,,"$4,252,625",Craig Fenech,GWBush / ERose,Tom Grieve,
