Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Thome, Jim",1b,32,Type A,CLE,PHI,6,"$85,000,000 ",2003-08,,,"$14,166,666",Pat Rooney,Bill Giles,Ed Wade,
"Glavine, Tom",lhp-s,37,Type A,ATL,NYN,3,"$35,000,000 ",2003-05,,,"$11,666,666",Gregg Clifton,Fred Wilpon,Steve Phillips,
"Alfonzo, Edgardo",3b,29,Type A,NYN,SFN,4,"$26,000,000 ",2003-06,,,"$6,500,000",Peter Greenberg,Peter Magowan,Brian Sabean,
"Floyd, Cliff",of,30,Type A,BOS,NYN,4,"$26,000,000 ",2003-06,,,"$6,500,000",ACES,Fred Wilpon,Steve Phillips,
"Thomas, Frank",1b,35,Type B,CHA,CHA,4,"$22,500,000 ",2003-06,,,"$5,625,000",Arn Tellem,Jerry Reinsdorf,Ken Williams,
"Durham, Ray",2b,31,Type A,OAK,SFN,3,"$20,100,000 ",2003-05,,,"$6,700,000",Bronner/Gilhooley,Peter Magowan,Brian Sabean,
"Kent, Jeff",2b,35,Type A,SFN,HOU,2,"$18,200,000 ",2003-04,,,"$9,100,000",Joe Klein,Drayton McLane,Gerry Hunsicker,
"Bell, David",3b,30,Type B,SFN,PHI,4,"$17,000,000 ",2003-06,,,"$4,250,000",Arn Tellem,Bill Giles,Ed Wade,
"Moyer, Jamie",lhp-s,40,Type A,SEA,SEA,3,"$15,500,000 ",2003-05,,,"$5,166,666",,Nintendo/America,Pat Gillick,
"Olerud, John",1b,34,Type A,SEA,SEA,2,"$15,400,000 ",2003-04,,,"$7,700,000",,Nintendo/America,Pat Gillick,
"Williams, Woody",rhp-s,36,Type A,SLN,SLN,2,"$14,900,000 ",2003-04,,,"$7,450,000",Meister Sports,Bill DeWitt Jr.,Walt Jocketty,
"Maddux, Greg",rhp-s,37,Type A,ATL,ATL,1,"$14,750,000 ",2003,,,"$14,750,000",Boras Corp.,Time Warner,John Schuerholz,
"Finley, Steve",of,38,Type A,ARI,ARI,2,"$11,250,000 ",2003,,,"$5,625,000",Tommy Tanzer,Jerry Colangelo,Joe Garagiola Jr.,
"Remlinger, Mike",lhp,37,Type A,ATL,CHN,3,"$10,650,000 ",2003-05,,,"$3,550,000",,Tribune Co.,Jim Hendry,
"Clemens, Roger",rhp-s,40,Type A,NYA,NYA,1,"$10,100,000 ",2003,,,"$10,100,000",Hendricks Sports,Geo Steinbrenner,Brian Cashman,
"Rodriguez, Ivan",c,31,Type A,TEX,FLA,1,"$10,000,000 ",2003,,,"$10,000,000",Ivan Rodriguez,Jeffrey Loria,Larry Beinfest,
"Byrd, Paul",rhp-s,32,Type B,KCA,ATL,2,"$10,000,000 ",2003-04,,,"$5,000,000",Bo McKinnis,Time Warner,John Schuerholz,
"Stanton, Mike",lhp,36,Type A,NYA,NYN,3,"$9,000,000 ",2003-05,,,"$3,000,000",ACES,Fred Wilpon,Steve Phillips,
"Trachsel, Steve",rhp-s,32,Type B,NYN,NYN,2,"$8,000,000 ",2003-04,,,"$4,000,000",ACES,Fred Wilpon,Steve Phillips,
"Daal, Omar",lhp-s,31,Type A,LAN,BAL,2,"$7,500,000 ",2003-04,,,"$3,750,000",,Peter Angelos,Beattie/Flanagan,
"Mendoza, Ramiro",rhp,31,Type A,NYA,BOS,2,"$6,500,000 ",2003-04,,,"$3,250,000",Hendricks Sports,John Henry,Theo Epstein,
"Ventura, Robin",3b,35,Type A,NYA,NYA,1,"$5,000,000 ",2003,,,"$5,000,000",John Boggs,Geo Steinbrenner,Brian Cashman,
"Haynes, Jimmy",rhp,30,Type A,CIN,CIN,2,"$5,000,000 ",2003-04,,,"$2,500,000",,Carl Lindner,Jim Bowden,
"Hammond, Chris",lhp,37,Type B,ATL,NYA,2,"$4,800,000 ",2003-04,,,"$2,400,000",Bo McKinnis,Geo Steinbrenner,Brian Cashman,
"Urbina, Ugueth",rhp,29,Type A,BOS,TEX,1,"$4,500,000 ",2003,,,"$4,500,000",Peter Greenberg,Tom Hicks,John Hart,
