Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Palmeiro, Rafael",1b,29,Type A,TEX,BAL,5,"$30,350,000 ",1994-98,,,"$6,070,000",Bronner/Gilhooley,Peter Angelos,Roland Hemond,$8 million deferred without interest
"Clark, Will",1b,30,Type A,SFN,TEX,5,"$30,000,000 ",1994-98,,,"$6,000,000",Jeff Moorad,GWBush / ERose,Tom Grieve,
"Galarraga, Andres",1b,33,Type A,COL,COL,4,"$12,000,000 ",1994-97,,,"$3,000,000",Bronner/Gilhooley,Jerry McMorris,Bob Gebhard,
"Thompson, Robby",2b,32,Type A,SFN,SFN,3,"$12,000,000 ",1994-96,,,"$3,000,000",Jim Hammond,Peter Magowan,Bob Quinn Sr.,
"Portugal, Mark",rhp,31,Type A,HOU,SFN,3,"$11,000,000 ",1994-96,,,"$3,666,667",Meister Sports,Peter Magowan,Bob Quinn Sr.,
"Raines, Tim",of,34,Type A,CHA,CHA,3,"$11,000,000 ",1994-96,,,"$3,666,667",Reich Katz Landis,Jerry Reinsdorf,Ron Schueler,
"Martinez, Dennis",rhp-s,40,Type A,MON,CLE,2,"$9,000,000 ",1994-95,,,"$4,500,000",Ron Shapiro,Richard Jacobs,John Hart,
"Burks, Ellis",of,29,Type A,CHA,COL,3,"$9,000,000 ",1994-96,,,"$3,000,000",Jim Turner,Jerry McMorris,Bob Gebhard,
"Fernandez, Sid",lhp-s,31,Type A,NYN,BAL,3,"$9,000,000 ",1994-96,,,"$3,000,000",Tom Selakovich,Peter Angelos,Roland Hemond,
"Henderson, Rickey",of,35,Type A,TOR,OAK,2,"$8,600,000 ",1994-95,,,"$4,300,000",Dennis Gilbert,Walter Haas Jr.,Sandy Alderson,
"Wells, David",lhp,31,Type C,DET,DET,3,"$7,500,000 ",1994-96,,,"$2,500,000",Gregg Clifton,Mike Ilitch,Joe Klein,
"Nixon, Otis",cf,35,Type B,ATL,BOS,2,"$7,000,000 ",1994-95,,,"$3,500,000",Joe Sroba,JRY Trust,Gorman/Duquette,
"Belcher, Tim",rhp,32,Type A,CHA,DET,1,"$3,400,000 ",1994,,,"$3,400,000",Boras Corp.,Mike Ilitch,Joe Klein,
