Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Crawford, Carl",of,29,Type A,TBA,BOS,7,"$142,000,000 ",2011-17,,,"$20,285,714",Brian Peters,John Henry,Theo Epstein,
"Werth, Jayson",of,32,Type A,PHI,WAS,7,"$126,000,000 ",2011-17,,,"$18,000,000",Boras Corp.,Ted Lerner,Mike Rizzo,
"Lee, Cliff",lhp,32,Type A,TEX,PHI,5,"$120,000,000 ",2011-15,club,,"$24,000,000",Darek Braunecker,Bill Giles,Ruben Amaro Jr.,
"Beltre, Adrian",3b,32,Type A,BOS,TEX,5,"$80,000,000 ",2011-15,club,,"$16,000,000",Boras Corp.,RDavis/BSimpson,Jon Daniels,option is voidable
"Dunn, Adam",1b,31,Type A,WAS,CHA,4,"$56,000,000 ",2011-14,,,"$14,000,000",Brian Peters,Jerry Reinsdorf,Ken Williams,
"Jeter, Derek",ss,37,Type A,NYA,NYA,3,"$51,000,000 ",2011-13,,,"$17,000,000",CAA - C Close,Hal Steinbrenner,Brian Cashman,
"Martinez, Victor",c,32,Type A,BOS,DET,4,"$50,000,000 ",2011-14,,,"$12,500,000",Alan Nero,Mike Ilitch,Dave Dombrowski,
"Konerko, Paul",1b,35,Type A,CHA,CHA,3,"$37,500,000 ",2011-13,,,"$12,500,000",Craig Landis,Jerry Reinsdorf,Ken Williams,
"Soriano, Rafael",rhp,31,Type A,TBA,NYA,3,"$35,000,000 ",2011-13,,yes,"$11,666,666",Boras Corp.,Hal Steinbrenner,Brian Cashman,
"Rivera, Mariano",rhp-c,41,Type A,NYA,NYA,2,"$30,000,000 ",2011-12,,,"$15,000,000",SFX,Hal Steinbrenner,Brian Cashman,
"Huff, Aubrey",1b,34,Type B,SFN,SFN,2,"$22,000,000 ",2011-12,club,,"$11,000,000",Ed Hayes,Bill Neukom,Brian Sabean,
"De La Rosa, Jorge",lhp,30,Type A,COL,COL,2,"$21,500,000 ",2011-12,player,,"$10,750,000",Bobby Barad,Monfort brothers,Dan O'Dowd,
"Uribe, Juan",inf,32,Type B,SFN,LAN,3,"$21,000,000 ",2011-13,,,"$7,000,000",Martin Arburua,Frank McCourt,Ned Colletti,
"Buck, John",c,30,Type B,TOR,FLA,3,"$18,000,000 ",2011-13,,,"$6,000,000",ACES,Jeffrey Loria,L Beinfest / M Hill,
"Pavano, Carl",rhp-s,35,Type A,MIN,MIN,2,"$16,500,000 ",2011-12,,,"$8,250,000",Tom O'Connell,Jim Pohlad,Bill Smith,
"Westbrook, Jake",rhp-s,33,,SLN,SLN,2,"$16,500,000 ",2011-12,mutual,,"$8,250,000",Michael Maas,Bill DeWitt Jr.,John Mozeliak,
"Benoit, Joaquin",rhp,33,Type B,TBA,DET,3,"$16,500,000 ",2011-13,,,"$5,500,000",ACES,Mike Ilitch,Dave Dombrowski,
"LaRoche, Adam",1b,31,Type B,ARI,WAS,2,"$16,000,000 ",2011-12,mutual,,"$8,000,000",SFX,Ted Lerner,Mike Rizzo,
"Downs, Scott",lhp,35,Type A,TOR,ANA,3,"$15,000,000 ",2011-13,,,"$5,000,000",,Arturo Moreno,Tony Reagins,
"Crain, Jesse",rhp,29,Type B,MIN,CHA,3,"$13,000,000 ",2011-13,,,"$4,333,333",SFX,Jerry Reinsdorf,Ken Williams,
"Kuroda, Hiroki",rhp,36,Type B,LAN,LAN,1,"$12,000,000 ",2011,,,"$12,000,000",Octagon,Frank McCourt,Ned Colletti,
"Guerrier, Matt",rhp,32,Type A,MIN,LAN,3,"$12,000,000 ",2011-13,,,"$4,000,000",Joe Bick,Frank McCourt,Ned Colletti,
"Hudson, Orlando",2b,33,Type B,MIN,SDN,2,"$11,500,000 ",2011-12,club,,"$5,750,000",Greg Genske,John Moores,Jed Hoyer,
"Peralta, Jhonny",ss,29,Type B,DET,DET,2,"$11,250,000 ",2011-12,club,,"$5,625,000",ACES,Mike Ilitch,Dave Dombrowski,
"Fuentes, Brian",lhp,35,Type B,MIN,OAK,2,"$10,500,000 ",2011-12,club,,"$5,250,000",Beverly Hills SC,Lewis Wolff,Billy Beane,
"Pena, Carlos",1b,33,Type B,TBA,CHN,1,"$10,000,000 ",2011,,,"$10,000,000",Boras Corp.,Ricketts family,Jim Hendry,
"Gregg, Kevin",rhp,33,Type B,TOR,BAL,2,"$10,000,000 ",2011-12,club,,"$5,000,000",Dan Horwits,Peter Angelos,Andy MacPhail,
"Ordonez, Magglio",of,37,Type A,DET,DET,2,"$10,000,000 ",2011-12,,,"$5,000,000",Boras Corp.,Mike Ilitch,Dave Dombrowski,
"Putz, J.J.",rhp,34,Type B,CHA,ARI,2,"$10,000,000 ",2011-12,club,,"$5,000,000",Craig Landis,Ken Kendrick,Kevin Towers,
"Balfour, Grant",rhp,33,Type A,TBA,OAK,2,"$8,100,000 ",2011-12,club,,"$4,050,000",ACES,Lewis Wolff,Billy Beane,
"Berkman, Lance",of,35,Type B,NYA,SLN,1,"$8,000,000 ",2011,,,"$8,000,000",Michael Moye,Bill DeWitt Jr.,John Mozeliak,
