Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Konerko, Paul",1b,30,Type A,CHA,CHA,5,"$60,000,000 ",2006-10,,,"$12,000,000",Craig Landis,Jerry Reinsdorf,Ken Williams,
"Millwood, Kevin",rhp-s,31,Type B,CLE,TEX,5,"$60,000,000 ",2006-10,,,"$12,000,000",Boras Corp.,Tom Hicks,Jon Daniels,
"Burnett, A.J.",rhp-s,29,Type A,FLA,TOR,5,"$55,000,000 ",2006-10,,1,"$11,000,000",Darek Braunecker,Edward Rogers,J.P. Ricciardi,
"Damon, Johnny",of,32,Type A,BOS,NYA,4,"$52,000,000 ",2006-09,,,"$13,000,000",Boras Corp.,Geo Steinbrenner,Brian Cashman,
"Ryan, B.J.",lhp,30,Type A,BAL,TOR,5,"$47,000,000 ",2006-10,,,"$9,400,000",John Courtright,Edward Rogers,J.P. Ricciardi,
"Wagner, Billy",lhp-c,34,Type A,PHI,NYN,4,"$43,000,000 ",2006-09,club,,"$10,750,000",Bean Stringfellow,Fred Wilpon,Omar Minaya,
"Furcal, Rafael",ss,28,Type A,ATL,LAN,3,"$39,000,000 ",2006-08,,,"$13,000,000",Paul Kinzer,Frank McCourt,Ned Colletti,
"Washburn, Jarrod",lhp-s,31,Type B,ANA,SEA,4,"$37,000,000 ",2006-09,,,"$9,250,000",Boras Corp.,Nintendo/America,Bill Bavasi,
"Giles, Brian",of,35,Type A,SDN,SDN,3,"$30,000,000 ",2006-08,club,,"$10,000,000",Joe Bick,John Moores,Kevin Towers,
"Hernandez, Ramon",c,30,Type A,SDN,BAL,4,"$27,500,000 ",2006-09,club,,"$6,875,000",Eric Goldschmidt,Peter Angelos,Mike Flanagan,
"Morris, Matt",rhp-s,31,Type A,SLN,SFN,3,"$27,000,000 ",2006-08,club,,"$9,000,000",Barry Axelrod,Peter Magowan,Brian Sabean,
"Loaiza, Esteban",rhp,34,Type B,OAK,OAK,3,"$21,375,000 ",2006-08,club,,"$7,125,000",John Boggs,Lewis Wolff,Billy Beane,
"Gordon, Tom",rhp,38,Type A,NYA,PHI,3,"$18,000,000 ",2006-08,club,,"$6,000,000",Dan Horwits,Bill Giles,Pat Gillick,
"Farnsworth, Kyle",rhp,30,Type A,ATL,NYA,3,"$17,000,000 ",2006-08,,,"$5,666,667",Meister Sports,Geo Steinbrenner,Brian Cashman,
"Rogers, Kenny",lhp-s,41,Type A,TEX,DET,2,"$16,000,000 ",2006-07,,,"$8,000,000",Boras Corp.,Mike Ilitch,Dave Dombrowski,
"Jones, Jacque",of,31,Type B,MIN,CHN,3,"$16,000,000 ",2006-08,,,"$5,333,333",Dan Lozano,Tribune Co.,Jim Hendry,
"Encarnacion, Juan",rf,30,Type B,FLA,SLN,3,"$15,000,000 ",2006-08,,,"$5,000,000",Michael Moline,Bill DeWitt Jr.,Walt Jocketty,
"Byrd, Paul",rhp-s,35,Type B,ANA,CLE,2,"$14,250,000 ",2006-07,club,,"$7,125,000",Bo McKinnis,Larry Dolan,Mark Shapiro,
"Hoffman, Trevor",rhp-c,38,Type A,SDN,SDN,2,"$13,500,000 ",2006-07,club,,"$6,750,000",Rick Thurman,John Moores,Kevin Towers,
"Looper, Braden",rhp-s,31,Type A,NYN,SLN,3,"$13,500,000 ",2006-08,,,"$4,500,000",Hendricks Sports,Bill DeWitt Jr.,Walt Jocketty,
"Howry, Bobby",rhp,32,Type A,CLE,CHN,3,"$12,000,000 ",2006-08,,,"$4,000,000",Craig Landis,Tribune Co.,Jim Hendry,
"Jones, Todd",rhp,38,Type A,FLA,DET,2,"$11,000,000 ",2006-07,,,"$5,500,000",Hendricks Sports,Mike Ilitch,Dave Dombrowski,
"Eyre, Scott",lhp,34,Type A,SFN,CHN,3,"$11,000,000 ",2006-08,,,"$3,666,666",Tommy Tanzer,Tribune Co.,Jim Hendry,
