Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Tejada, Miguel",ss,30,Type A,OAK,BAL,6,"$72,000,000 ",2004-09,,,"$12,000,000",Diego Bentz,Peter Angelos,Beattie/Flanagan,
"Guerrero, Vladimir",of,29,Type A,MON,ANA,5,"$70,000,000 ",2004-08,club,,"$14,000,000",Fern Cuza,Arturo Moreno,Bill Stoneman,
"Colon, Bartolo",rhp-s,31,Type A,CHA,ANA,4,"$51,000,000 ",2004-07,,,"$12,750,000",Mitch Frankel,Arturo Moreno,Bill Stoneman,
"Rodriguez, Ivan",c,32,Type A,FLA,DET,4,"$40,000,000 ",2004-07,club,,"$10,000,000",Boras Corp.,Mike Ilitch,Dave Dombrowski,
"Sheffield, Gary",of,35,Type A,ATL,NYA,3,"$39,000,000 ",2004-06,club,,"$13,000,000",Rufus Williams,Geo Steinbrenner,Brian Cashman,
"Pettitte, Andy",lhp-s,32,Type A,NYA,HOU,3,"$31,500,000 ",2004-06,,,"$10,500,000",Hendricks Sports,Drayton McLane,Gerry Hunsicker,
"Foulke, Keith",rhp-c,31,Type A,OAK,BOS,4,"$25,500,000 ",2004-07,club,,"$6,375,000",Dan Horwits,John Henry,Theo Epstein,
"Maddux, Greg",rhp-s,38,Type A,ATL,CHN,3,"$24,000,000 ",2004-06,,,"$8,000,000",Boras Corp.,Tribune Co.,Jim Hendry,
"Lopez, Javy",c,33,Type A,ATL,BAL,3,"$22,500,000 ",2004-06,,,"$7,500,000",Reich Katz Landis,Peter Angelos,Beattie/Flanagan,
"Ponson, Sidney",rhp-s,27,Type A,SFN,BAL,3,"$22,500,000 ",2004-06,,,"$7,500,000",Barry Praver,Peter Angelos,Beattie/Flanagan,
"Cameron, Mike",of,31,Type A,SEA,NYN,3,"$19,500,000 ",2004,club,,"$6,500,000",Mike Nicotera,Fred Wilpon,Jim Duquette,
"Escobar, Kelvim",rhp-s,28,Type A,TOR,ANA,3,"$18,750,000 ",2004-06,,,"$6,250,000",Peter Greenberg,Arturo Moreno,Bill Stoneman,
"Stewart, Shannon",of,30,Type A,MIN,MIN,3,"$18,000,000 ",2004-06,,,"$6,000,000",Barry Praver,Carl Pohlad,Terry Ryan,
"Castillo, Luis",2b,28,Type A,FLA,FLA,3,"$16,000,000 ",2004,club,,"$5,333,333",ACES,Jeffrey Loria,Larry Beinfest,
"Ibanez, Raul",of,32,Type A,KCA,SEA,3,"$13,250,000 ",2004-06,,,"$4,416,666",ACES,Nintendo/America,Bill Bavasi,
"Batista, Miguel",rhp,33,Type B,ARI,TOR,3,"$13,100,000 ",2004-06,,,"$4,366,666",Martin Arburua,Edward Rogers,J.P. Ricciardi,
