Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Rijo, Jose",rhp-s,37,,CIN,CIN,0,$1 ,2002,,,,Reich Katz Landis,Carl Lindner,Jim Bowden,
"Rodriguez, Rich",lhp,39,,ATL,ATL,0,$1 ,2002,,,,Dennis Gilbert,Time Warner,John Schuerholz,
"Sanchez, Rey",ss,34,Type A,ATL,BOS,0,$1 ,2002,,,,Boras Corp.,JRY Trust/Jhenry,Mike Port,
"Seanez, Rudy",rhp,33,Type B,ATL,TEX,0,$1 ,2002,,,,,Tom Hicks,John Hart,$1M in majors
"Servais, Scott",c,35,,HOU,SFN,0,$1 ,2002,,,,,Peter Magowan,Brian Sabean,"$400,000 in majors"
"Simas, Bill",rhp,30,,CHA,DET,0,$1 ,2002,,,,,Mike Ilitch,Randy Smith,"$300,000 in majors"
"Sojo, Luis",2b,37,,NYA,NYA,0,$1 ,2002,,,,,Geo Steinbrenner,Brian Cashman,"$350,000 in majors"
"Sprague, Ed",3b,34,Type C,SEA,TEX,0,$1 ,2002,,,,,Tom Hicks,John Hart,
"Valentin, John",3b,35,,BOS,NYN,0,$1 ,2002,,,,Jeff Moorad,Wilpon/Doubleday,Steve Phillips,"$550,000 in majors"
"Villone, Ron",lhp,32,,HOU,PIT,0,$1 ,2002,,,,Boras Corp.,Kevin McClatchy,Dave Littlefield,
"Watson, Allen",rhp,31,,NYA,NYA,0,$1 ,2002,,,,,Geo Steinbrenner,Brian Cashman,
,,,,,,,,,,,,,,,
Remaining Free Agents (41),,,,,,,,,,,,,,,
"Baines, Harold",of,43,,CHA,dnp,,,,,,,Jack Sands,,,
"Beck, Rod",rhp,33,Type A,BOS,dnp,,,,,,,Dennis Gilbert,,,
"Bonillia, Bobby",of,39,,SLN,dnp,,,,,,,Dennis Gilbert,,,
"Bottenfield, Kent",rhp,33,,HOU,dnp,,,,,,,,,,
"Brosius, Scott",3b,35,Type B,NYA,dnp,,,,,,,,,,
"Buhner, Jay",of,37,Type B,SEA,dnp,,,,,,,Hendricks Sports,,,
"Caminiti, Ken",3b,39,Type B,ATL,dnp,,,,,,,,,,
"Cone, David",rhp-s,39,Type C,BOS,dnp,,,,,,,Steve Fehr,,,
"Cordova, Francisco",rhp,30,,PIT,dnp,,,,,,,,,,
"Curtis, Chad",of,33,,TEX,dnp,,,,,,,,,,
"Davis, Eric",of,40,,SFN,dnp,,,,,,,Eric Goldschmidt,,,
"Dipoto, Jerry",rhp,34,,COL,dnp,,,,,,,,,,
"Ducey, Rob",of,37,,MON,dnp,,,,,,,,,,
"Eldred, Cal",rhp,34,,CHA,dnp,,,,,,,Ron Shapiro,,,
"Fernandez, Alex",rhp,32,,FLA,dnp,,,,,,,Boras Corp.,,,
"Fernandez, Tony",3b,40,,TOR,dnp,,,,,,,Reich Katz Landis,,,
"Frye, Jeff",2b,35,Type C,TOR,dnp,,,,,,,,,,
"Galarraga, Andres",1b,41,Type B,SFN,MON,,,,,,,Bronner/Gilhooley,,,
"Gardner, Mark",rhp-s,40,,SFN,dnp,,,,,,,Tom Reich,,,
"Gilkey, Bernard",of,35,,ATL,dnp,,,,,,,Bronner/Gilhooley,,,
"Gwynn, Tony",of,42,Type C,SDN,dnp,,,,,,,John Boggs,,,
"Heredia, Gil",rhp,36,,OAK,dnp,,,,,,,,,,
"Javier, Stan",of,38,Type B,SEA,dnp,,,,,,,,,,
"Leiter, Mark",rhp,39,Type C,MIL,dnp,,,,,,,,,,
"Magadan, Dave",3b,39,,SDN,dnp,,,,,,,,,,
"Martinez, Ramon J.",rhp,34,,PIT,dnp,,,,,,,Bronner/Gilhooley,,,
"Mills, Alan",rhp,35,,BAL,dnp,,,,,,,,,,
"Mohler, Mike",lhp,33,,ARI,dnp,,,,,,,,,,
"Mouton, James",of,33,,MIL,dnp,,,,,,,,,,
"O'Neill, Paul",of,39,Type B,NYA,dnp,,,,,,,Joe Bick,,,
"Oliver, Joe",c,36,,BOS,dnp,,,,,,,Hendricks Sports,,,
"Painter, Lance",lhp,34,,MIL,dnp,,,,,,,,,,
"Ripken Jr., Cal",3b,41,Type B,BAL,dnp,,,,,,,Ron Shapiro,,,
"Saberhagen, Bret",rhp-s,38,,BOS,dnp,,,,,,,,,,
"Scanlon, Bob",rhp,35,,MON,dnp,,,,,,,,,,
"Shaw, Jeff",rhp,35,Type A,LAN,dnp,,,,,,,,,,
"Spiers, Bill",3b,36,Type B,HOU,dnp,,,,,,,,,,
"Springer, Russ",rhp,33,,ARI,dnp,,,,,,,Hendricks Sports,,,
"Tapani, Kevin",rhp-s,38,Type B,CHN,dnp,,,,,,,Bronner/Gilhooley,,,
"White, Devon",of,39,Type C,MIL,dnp,,,,,,,Eric Goldschmidt,,,
"Witt, Bobby",rhp-s,38,,ARI,dnp,,,,,,,Alan Nero,,,
