Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Walker, Larry",of,28,Type A,MON,COL,4,"$22,494,382 ",1995-98,club,,"$5,623,595",SFX,Jerry McMorris,Bob Gebhard,
"Jefferies, Gregg",lf,27,Type A,SLN,PHI,4,"$20,000,000 ",1995-98,club,,"$5,000,000",ACES,Bill Giles,Lee Thomas,
"Buhner, Jay",of,30,Type A,SEA,SEA,3,"$15,500,000 ",1995-97,-,,"$5,166,667",Hendricks Sports,Nintendo/America,Woody Woodward,
"Swift, Bill",rhp,33,Type A,SFN,COL,3,"$13,100,000 ",1995-97,-,,"$4,366,666",Craig Fenech,Jerry McMorris,Bob Gebhard,
"Jackson, Danny",lhp-s,33,Type A,PHI,SLN,3,"$10,800,000 ",1995-97,-,,"$3,600,000",Ron Shapiro,Anheuser-Busch,Walt Jocketty,
"Blauser, Jeff",ss,29,Type A,ATL,ATL,3,"$10,000,000 ",1995-97,-,,"$3,333,333",Boras Corp.,Ted Turner,John Schuerholz,
"Gross, Kevin",rhp-s,34,Type A,LAN,TEX,2,"$6,000,000 ",1995-96,-,,"$3,000,000",Tony Attanasio,TSchieffer / ERose,Doug Melvin,
"Franco, John",lhp,34,Type B,NYN,NYN,2,"$5,000,000 ",1995-96,-,,"$2,500,000",Dennis Gilbert,Wilpon/Doubleday,Joe McIlvaine,
"Roberts, Bip",inf,31,Type B,SDN,SDN,2,"$4,800,000 ",1995-96,-,,"$2,400,000",Boras Corp.,Tom Werner,Randy Smith,
"Brown, Kevin",rhp-s,30,Type A,TEX,BAL,1,"$4,225,000 ",1995,-,,"$4,225,000",Boras Corp.,Peter Angelos,Roland Hemond,
"Grace, Mark",1b,31,Type A,CHN,CHN,1,"$4,050,000 ",1995,-,,"$4,050,000",Barry Axelrod,Tribune Co.,Ed Lynch,
"Smith, Lee",rhp,37,Type A,BAL,CAL,2,"$4,000,000 ",1995-96,-,,"$2,000,000",Bronner/Gilhooley,Gene Autry,Bill Bavasi,
"Eckersley, Dennis",rhp-c,40,Type A,OAK,OAK,1,"$2,450,000 ",1995,vesting,,"$2,450,000",Ed Keating,Walter Haas Jr.,Sandy Alderson,
"Butler, Brett",of,38,Type A,LAN,NYN,1,"$2,000,000 ",1995,-,,"$2,000,000",Richard Moss,Wilpon/Doubleday,Joe McIlvaine,
"Macfarlane, Mike",c,31,Type A,KCA,BOS,1,"$1,875,000 ",1995,-,,"$1,875,000",Jeff Moorad,JRY Trust,Dan Duquette,
"Plesac, Dan",lhp,33,,CHN,PIT,1,"$1,800,000 ",1995,,,"$1,800,000",Tom Selakovich,Pittsburgh Assocs.,Cam Bonifay,
"Stottlemyre, Todd",rhp-s,30,Type B,TOR,OAK,1,"$1,800,000 ",1995,,,"$1,800,000",Tony Attanasio,Walter Haas Jr.,Sandy Alderson,
"McLemore, Mark",2b,30,Type B,BAL,TEX,2,"$1,700,000 ",1995-96,,,"$1,700,000",Tony Attanasio,TSchieffer / ERose,Doug Melvin,
"Femin, Felix",ss,31,Type B,SEA,SEA,2,"$1,700,000 ",1995-96,,,"$850,000",,Nintendo/America,Woody Woodward,
"Baines, Harold",of-dh,36,Type A,BAL,BAL,1,"$1,600,000 ",1995,,,"$1,600,000",Jack Sands,Peter Angelos,Roland Hemond,
"Witt, Bobby",rhp-s,31,Type B,OAK,FLA,1,"$1,600,000 ",1995,,,"$1,600,000",Alan Nero,Wayne Huizenga,Dave Dombrowski,
"Henke, Tom",rhp,37,Type A,TEX,SLN,1,"$1,500,000 ",1995,,,"$1,500,000",Craig Fenech,Anheuser-Busch,Walt Jocketty,
"Pendleton, Terry",3b,34,Type A,ATL,FLA,1,"$1,500,000 ",1995,club,,"$1,500,000",Bronner/Gilhooley,Wayne Huizenga,Dave Dombrowski,
"Tewksbury, Bob",rhp-s,34,Type A,SLN,TEX,1,"$1,500,000 ",1995,,,"$1,500,000",Joe Bick,TSchieffer / ERose,Doug Melvin,
"Wallach, Tim",3b,37,Type B,LAN,LAN,1,"$1,500,000 ",1995,,,"$1,500,000",Alan Meersand,Peter O'Malley,Fred Claire,
"McCaskill, Kirk",rhp-s,34,Type C,CHA,CHA,2,"$1,500,000 ",1995-96,,,"$750,000",Marvin Demoff,Jerry Reinsdorf,Ron Schueler,
"Hershiser, Orel",rhp-s,36,Type B,LAN,CLE,1,"$1,450,000 ",1995,,,"$1,450,000",Robert Fraley,Richard Jacobs,John Hart,
"Gibson, Kirk",dh,38,,DET,DET,1,"$1,300,000 ",1995,,,"$1,300,000",Doug Baldwin,Mike Ilitch,Joe Klein,
"Trammell, Alan",ss,37,Type A,DET,DET,1,"$1,300,000 ",1995,,,"$1,300,000",John Boggs,Mike Ilitch,Joe Klein,
"Mulholland, Terry",lhp-s,32,Type C,NYA,SFN,1,"$1,200,000 ",1995,,,"$1,200,000",Joe Bick,Peter Magowan,Bob Quinn Sr.,
"Boever, Joe",rhp,34,Type A,DET,DET,2,"$1,150,000 ",1995-96,,,"$575,000",,Mike Ilitch,Joe Klein,
"Valle, Dave",c,34,Type B,MIL,TEX,2,"$1,100,000 ",1995-96,,,"$550,000",,TSchieffer / ERose,Doug Melvin,
"Jones, Doug",rhp,38,Type A,PHI,BAL,1,"$1,000,000 ",1995,club,,"$1,000,000",,Peter Angelos,Roland Hemond,
"Stewart, Dave",rhp-s,38,Type B,TOR,OAK,1,"$1,000,000 ",1995,,,"$1,000,000",Tony Attanasio,Walter Haas Jr.,Sandy Alderson,
"Berryhill, Damon",c,31,Type B,BOS,CIN,2,"$1,000,000 ",1995-96,,,"$500,000",Alan Meersand,Marge Schott,Jim Bowden,
