Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Ontiveros, Steve",rhp-s,34,Type A,OAK,OAK,1,"$900,000 ",1995,,,"$900,000",,Walter Haas Jr.,Sandy Alderson,agreed to salary arbitration
"Browne, Jerry",2b,29,Type B,FLA,FLA,1,"$850,000 ",1995,,,"$850,000",Boras Corp.,Wayne Huizenga,Dave Dombrowski,
"Devereaux, Mike",of,32,Type B,BAL,CHA,1,"$800,000 ",1995,,,"$800,000",Reynolds Sports,Jerry Reinsdorf,Ron Schueler,
"Assenmacher, Paul",lhp,34,Type A,CHA,CLE,1,"$787,000 ",1995,,,"$787,000",Bronner/Gilhooley,Richard Jacobs,John Hart,
"Jackson, Mike",rhp,30,Type A,SFN,CIN,1,"$750,000 ",1995,,,"$750,000",,Marge Schott,Jim Bowden,
"Nokes, Matt",c,31,Type C,NYA,BAL,1,"$750,000 ",1995,,,"$750,000",,Peter Angelos,Roland Hemond,
"Smith, Pete",rhp,29,,NYN,CIN,1,"$750,000 ",1995,,,"$750,000",,Marge Schott,Jim Bowden,
"Gubicza, Mark",rhp-s,32,Type B,KCA,KCA,1,"$650,000 ",1995,,,"$650,000",Ron Shapiro,Gtr KC Foundation,Herk Robinson,
"DeLeon, Jose",rhp,34,Type A,CHA,CHA,1,"$600,000 ",1995,,,"$600,000",Reich Katz Landis,Jerry Reinsdorf,Ron Schueler,
"Winfield, Dave",of,43,,CLE,CLE,1,"$600,000 ",1995,,,"$600,000",Jeff Klein,Richard Jacobs,John Hart,
"Hudler, Rex",inf-of,34,,CAL,CAL,2,"$600,000 ",1995-96,,,"$300,000",Arn Tellem,Gene Autry,Bill Bavasi,
"Bankhead, Scott",rhp,31,Type B,NYA,NYA,1,"$550,000 ",1995,,,"$550,000",Ron Shapiro,Geo Steinbrenner,Gene Michael,
"Dawson, Andre",rf,40,,BOS,FLA,1,"$550,000 ",1995,,,"$550,000",Richard Moss,Wayne Huizenga,Dave Dombrowski,
"Tettleton, Mickey",of,34,Type A,DET,TEX,1,"$550,000 ",1995,,,"$550,000",Tony Attanasio,TSchieffer / ERose,Doug Melvin,
"Thompson, Milt",of,36,Type C,HOU,HOU,1,"$525,000 ",1995,,,"$525,000",,Drayton McLane,Bob Watson,
"Russell, Jeff",rhp,33,Type A,CLE,TEX,1,"$500,000 ",1995,,,"$500,000",Hendricks Sports,TSchieffer / ERose,Doug Melvin,
"Orosco, Jesse",lhp,38,Type A,MIL,BAL,1,"$400,000 ",1995,club,,"$400,000",Alan Meersand,Peter Angelos,Roland Hemond,
"Borders, Pat",c,32,Type B,TOR,KCA,1,"$310,000 ",1995,,,"$310,000",Joe Maenza,Gtr KC Foundation,Herk Robinson,
"James, Chris",of,32,Type C,TEX,KCA,1,"$310,000 ",1995,,,"$310,000",Hendricks Sports,Gtr KC Foundation,Herk Robinson,
"Darwin, Danny",rhp,39,Type A,BOS,TOR,1,"$300,000 ",1995,,,"$300,000",Hendricks Sports,Labatt Brewing,Gord Ash,
"Perry, Gerald",1b,34,Type C,SLN,SLN,1,"$295,000 ",1995,,,"$295,000",,Anheuser-Busch,Walt Jocketty,
"Krueger, Bill",lhp,37,,SDN,SDN,1,"$230,000 ",1995,,,"$230,000",Doug Baldwin,Tom Werner,Randy Smith,
"Valenzuela, Fernando",lhp-s,34,,PHI,SDN,1,"$200,000 ",1995,,,"$200,000",Richard Moss,Tom Werner,Randy Smith,
"Andersen, Larry",rhp,42,Type A,PHI,PHI,0,$1 ,1995,,,,Hendricks Sports,Bill Giles,Lee Thomas,"$200,000 in majors"
"Cadaret, Greg",lhp,33,,DET,OAK,0,$1 ,1995,,,,,Walter Haas Jr.,Sandy Alderson,"$175,000 in majors"
"Charlton, Norm",lhp,32,Type A,PHI,PHI,0,$1 ,1995,,,,Hendricks Sports,Bill Giles,Lee Thomas,"$400,000 in majors"
"Cox, Danny",rhp-s,35,Type A,TOR,TOR,0,$1 ,1995,,,,Eric Goldschmidt,Labatt Brewing,Gord Ash,"$600,000 in majors"
"Deshaies, Jim",lhp,35,,MIN,PHI,0,$1 ,1995,,,,,Bill Giles,Lee Thomas,
"Gaetti, Gary",3b,36,Type A,KCA,KCA,0,$1 ,1995,,,,Bronner/Gilhooley,Gtr KC Foundation,Herk Robinson,"$700,000 in majors"
"Gallagher, Dave",of,34,,ATL,PHI,0,$1 ,1995,,,,,Bill Giles,Lee Thomas,
"Gallego, Mike",inf,34,Type A,NYA,OAK,0,$1 ,1995,,,,Bronner/Gilhooley,Walter Haas Jr.,Sandy Alderson,"$300,000 in majors"
"Gonzales, Rene",inf,34,,CLE,CAL,0,$1 ,1995,,,,Dennis Gilbert,Gene Autry,Bill Bavasi,"$225,000 in majors"
"Hesketh, Joe",lhp,36,Type B,BOS,NYA,0,$1 ,1995,,,,Bronner/Gilhooley,Geo Steinbrenner,Gene Michael,"$300,000 in majors"
"Higuera, Teddy",lhp-s,37,,MIL,SDN,0,$1 ,1995,,,,,Tom Werner,Randy Smith,"$275,000 in majors"
"Honeycutt, Rick",lhp,41,,TEX,OAK,0,$1 ,1995,,,,,Walter Haas Jr.,Sandy Alderson,"$200,000 in majors"
"Maddux, Mike",rhp,33,Type B,NYN,PIT,0,$1 ,1995,,,,,Pittsburgh Assocs.,Cam Bonifay,"$200,000 in majors"
"Murphy, Rob",lhp,35,Type B,NYA,LAN,0,$1 ,1995,,,,,Peter O'Malley,Fred Claire,"$250,000 in majors"
"Pall, Donn",rhp,33,Type C,CHN,CHA,0,$1 ,1995,,,,,Jerry Reinsdorf,Ron Schueler,"$400,000 in majors"
"Parrish, Lance",c,39,,PIT,KCA,0,$1 ,1995,,,,Reich Katz Landis,Gtr KC Foundation,Herk Robinson,"$250,000 in majors"
"Pena, Tony",c,38,,CLE,CLE,0,$1 ,1995,,,,Reich Katz Landis,Richard Jacobs,John Hart,"$450,000 in majors"
"Samuel, Juan",inf-of,34,,DET,DET,0,$1 ,1995,,,,,Mike Ilitch,Joe Klein,"$325,000 in majors"
"Sanderson, Scott",rhp-s,38,,CHA,CAL,0,$1 ,1995,,,,Richard Moss,Gene Autry,Bill Bavasi,
"Surhoff, B.J.",c,30,Type B,MIL,MIL,0,$1 ,1995,,,,Octagon,Bud Selig,Sal Bando,
"Webster, Mitch",of,36,,LAN,LAN,0,$1 ,1995,,,,,Peter O'Malley,Fred Claire,"$250,000 in majors"
"Welch, Bob",rhp-s,38,,OAK,OAK,0,$1 ,1995,,,,Bob Teaff,Walter Haas Jr.,Sandy Alderson,"$225,000 in majors"
"Williamson, Mark",rhp,35,Type C,BAL,TEX,0,$1 ,1995,,,,,TSchieffer / ERose,Doug Melvin,"$215,000 in majors"
,,,,,,,,,,,,,,,
"Franco, Julio",dh,36,Type A,CHA,NPB,1,"$3,500,000 ",1995,,,,,,,signed by Lotte Marines
"Incaviglia, Pete",of,31,Type B,PHI,NBP,1,"$2,000,000 ",1995,,,,Tony Attanasio,,,signed by Lotte Marines
"Jackson, Darrin",of,31,Type B,CHA,NPB,1,"$3,500,000 ",1995,,,,Alan Meersand,,,signed by Seibu Lions
"Mack, Shane",of,31,,MIN,NPB,2,"$8,100,000 ",1995-96,,,,Eric Goldschmidt,,,signed by Tokyo Giants of Japan
"Mitchell, Kevin",of,33,Type A,CIN,NPB,1,"$4,500,000 ",1995,,,,Joe Sroba,,,signed by Daiei Hawks
,,,,,,,,,,,,,,,
REMAINING FREE AGENTS (44),,,,,,,,,,,,,,,
"Aquino, Luis",rhp,31,Type B,FLA,dnp,,,,,,,,,,
"Bass, Kevin",of,36,Type B,HOU,dnp,,,,,,,,,,
"Belcher, Tim",rhp-s,33,Type B,DET,dnp,,,,,,,,,,
"Boston, Daryl",of,32,,NYA,dnp,,,,,,,,,,
"Bream, Sid",1b,34,,HOU,dnp,,,,,,,,,,
"Brunansky, Tom",of,34,,BOS,dnp,,,,,,,,,,
"Coleman, Vince",of,33,,KCA,dnp,,,,,,,,,,
"Crim, Chuck",rhp,33,,CHN,dnp,,,,,,,,,,
"Davis, Eric",of,33,,DET,dnp,,,,,,,,,,
"Davis, Storm",rhp,33,Type B,DET,dnp,,,,,,,,,,
"Duncan, Mariano",2b,32,Type B,PHI,dnp,,,,,,,,,,
"Farr, Steve",rhp,38,,BOS,dnp,,,,,,,,,,
"Felder, Mike",of,33,,HOU,dnp,,,,,,,,,,
"Foley, Tom",inf,35,,PIT,dnp,,,,,,,,,,
"Gibson, Paul",lhp,35,,MIL,dnp,,,,,,,,,,
"Gooden, Dwight",rhp-s,30,Type B,NYN,dnp,,,,,,,,,,
"Gullickson, Bill",rhp-s,36,,DET,dnp,,,,,,,,,,
"Harper, Brian",c,35,Type A,MIL,dnp,,,,,,,,,,
"Hough, Charlie",rhp-s,47,Type B,FLA,dnp,,,,,,,,,,
"Howell, Jay",rhp,39,Type B,TEX,dnp,,,,,,,,,,
"Hulett, Tim",inf,35,,BAL,dnp,,,,,,,,,,
"Jackson, Bo",of-dh,32,Type C,CAL,dnp,,,,,,,,,,
"Johnson, Howard",of,34,,COL,dnp,,,,,,,,,,
"Jordan, Ricky",1b,30,,PHI,dnp,,,,,,,,,,
"Kruk, John",1b,34,Type A,PHI,dnp,,,,,,,,,,
"Lee, Manuel",ss,30,,TEX,dnp,,,,,,,,,,
"Magadan, Dave",3b,32,Type B,FLA,dnp,,,,,,,,,,
"Maldonado, Candy",of,34,,CLE,dnp,,,,,,,,,,
"McClendon, Lloyd",of,36,,PIT,dnp,,,,,,,,,,
"McDowell, Oddibe",of,32,,TEX,dnp,,,,,,,,,,
"McReynolds, Kevin",of,35,Type C,NYN,dnp,,,,,,,,,,
"Melvin, Bob",c,33,,CHA,dnp,,,,,,,,,,
"Pasqua, Dan",of,33,,CHA,dnp,,,,,,,,,,
"Ready, Randy",inf,35,,PHI,dnp,,,,,,,,,,
"Redus, Gary",of,38,Type C,TEX,dnp,,,,,,,,,,
"Reed, Jody",2b,32,,MIL,dnp,,,,,,,,,,
"Rivera, Luis",ss,31,,NYN,dnp,,,,,,,,,,
"Santiago, Benito",c,30,Type A,FLA,dnp,,,,,,,,,,
"Schofield, Dick",ss,32,,TOR,dnp,,,,,,,,,,
"Smith, Lonnie",of,39,,BAL,dnp,,,,,,,,,,
"Smith, Zane",lhp-s,34,Type B,DET,dnp,,,,,,,,,,
"Sutcliffe, Rick",rhp-s,39,Type C,SLN,dnp,,,,,,,,,,
"Van Slyke, Andy",of,34,Type B,PIT,dnp,,,,,,,,,,
"Viola, Frank",lhp-s,35,Type C,BOS,dnp,,,,,,,,,,
