Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Beltran, Carlos",of,28,Type A,HOU,NYN,7,"$119,000,000 ",2005-11,,,"$17,000,000",Boras Corp.,Fred Wilpon,Omar Minaya,
"Ordonez, Magglio",of,31,Type A,CHA,DET,5,"$75,000,000 ",2005-09,club,,"$15,000,000",Boras Corp.,Mike Ilitch,Dave Dombrowski,
"Beltre, Adrian",3b,26,Type A,LAN,SEA,5,"$64,000,000 ",2005-09,,,"$12,800,000",Boras Corp.,Nintendo/America,Bill Bavasi,
"Drew, J.D.",of,29,Type A,ATL,LAN,5,"$55,000,000 ",2005-09,,Y,"$11,000,000",Boras Corp.,Frank McCourt,Paul DePodesta,
"Martinez, Pedro",rhp-s,33,Type A,BOS,NYN,4,"$53,000,000 ",2005-08,,,"$13,250,000",Fern Cuza,Fred Wilpon,Omar Minaya,
"Delgado, Carlos",1b,33,Type A,TOR,FLA,4,"$52,000,000 ",2005-08,club,,"$13,000,000",David Sloane,Jeffrey Loria,Larry Beinfest,
"Sexson, Richie",1b,30,Type A,ARI,SEA,4,"$50,000,000 ",2005-08,,,"$12,500,000",Casey Close,Nintendo/America,Bill Bavasi,
"Glaus, Troy",3b,28,Type C,ANA,ARI,4,"$45,000,000 ",2005-08,,,"$11,250,000",Mike Nicotera,Ken Kendrick,Joe Garagiola,
"Renteria, Edgar",ss,28,Type A,SLN,BOS,4,"$40,000,000 ",2005-08,club,,"$10,000,000",Meister Sports,John Henry,Theo Epstein,
"Varitek, Jason",c,33,Type A,BOS,BOS,4,"$40,000,000 ",2005-08,,,"$10,000,000",Boras Corp.,John Henry,Theo Epstein,
"Pavano, Carl",rhp-s,29,Type A,FLA,NYA,4,"$39,950,000 ",2005-08,club,,"$9,987,500",Scott Shaprio,Geo Steinbrenner,Brian Cashman,
"Lowe, Derek",rhp-s,32,Type A,BOS,LAN,4,"$36,000,000 ",2005-08,,,"$9,000,000",Boras Corp.,Frank McCourt,Paul DePodesta,
"Ortiz, Russ",rhp-s,31,Type A,ATL,ARI,4,"$33,000,000 ",2005-08,,,"$8,250,000",John Boggs,Ken Kendrick,Joe Garagiola Jr.,
"Cabrera, Orlando",ss,30,Type A,BOS,ANA,4,"$32,000,000 ",2005-08,,,"$8,000,000",Dan Lozano,Arturo Moreno,Bill Stoneman,
"Clement, Matt",rhp-s,30,Type B,CHN,BOS,3,"$25,500,000 ",2005-07,,,"$8,500,000",Barry Axelrod,John Henry,Theo Epstein,
"Milton, Eric",lhp-s,29,Type C,PHI,CIN,3,"$25,500,000 ",2005-07,,,"$8,500,000",Casey Close,Carl Lindner,Dan O'Brien Jr.,
"Perez, Odalis",lhp-s,27,Type A,LAN,LAN,3,"$24,000,000 ",2005-07,club,,"$8,000,000",Pat Rooney,Frank McCourt,Paul DePodesta,
"Benson, Kris",rhp-s,30,Type C,NYN,NYN,3,"$22,500,000 ",2005-07,club,,"$7,500,000",Gregg Clifton,Fred Wilpon,Omar Minaya,
"Benitez, Armando",rhp,32,Type A,FLA,SFN,3,"$21,500,000 ",2005-07,,,"$7,166,666",Mike Powers,Peter Magowan,Brian Sabean,
"Lieber, Jon",rhp,35,Type B,NYA,PHI,3,"$21,000,000 ",2005-07,,,"$7,000,000",Rex Gary,Bill Giles,Ed Wade,
"Wright, Jaret",rhp-s,29,,ATL,NYA,3,"$21,000,000 ",2005-07,,,"$7,000,000",Reich Katz Landis,Geo Steinbrenner,Brian Cashman,
"Clemens, Roger",rhp-s,42,Type A,HOU,HOU,1,"$18,000,000 ",2005,,,"$18,000,000",Hendricks Sports,Drayton McLane,Tim Purpura,
"Radke, Brad",rhp-s,32,Type A,MIN,MIN,2,"$18,000,000 ",2005-06,,,"$9,000,000",Ron Simon,Carl Pohlad,Terry Ryan,
"Kent, Jeff",2b,37,Type A,HOU,LAN,2,"$17,000,000 ",2005-06,,,"$8,500,000",Jeffrey Klein,Frank McCourt,Paul DePodesta,
"Koskie, Corey",3b,32,Type A,MIN,TOR,3,"$17,000,000 ",2005-07,club,,"$5,666,666",Pat Rooney,Edward Rogers,J.P. Ricciardi,
"Guzman, Cristian",ss,27,Type B,MIN,WAS,4,"$16,800,000 ",2005-08,,,"$4,200,000",Stanley King,MLB,Jim Bowden,
"Finley, Steve",of,40,Type A,LAN,ANA,2,"$14,000,000 ",2005-06,club,,"$7,000,000",Tommy Tanzer,Arturo Moreno,Bill Stoneman,
"Alou, Moises",of,38,Type A,CHN,SFN,2,"$13,250,000 ",2005-06,player,,"$6,625,000",Fern Cuza,Peter Magowan,Brian Sabean,
"Vizquel, Omar",ss,38,Type A,CLE,SFN,3,"$12,250,000 ",2005-07,,,"$4,083,333",Reich Katz Landis,Peter Magowan,Brian Sabean,
"Percival, Troy",rhp,35,Type A,ANA,DET,2,"$12,000,000 ",2005-06,,,"$6,000,000",Paul Cohen,Mike Ilitch,Dave Dombrowski,
