Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Cespedes, Yoenis",rf,31,rejected,NYN,NYN,4,"$110,000,000 ",2017-20,,,"$27,500,000",Roc Nation,Fred Wilpon,Sandy Alderson,
"Chapman, Aroldis",lhp-c,29,,CHN,NYA,5,"$86,000,000 ",2017-21,,1,"$17,200,000",Magnus Sports,Hal Steinbrenner,Brian Cashman,Player may opt out after 2019 season
"Fowler, Dexter",cf-rf,31,rejected,CHN,SLN,5,"$82,500,000 ",2017-21,,,"$16,500,000",Excel,Bill DeWitt Jr.,John Mozeliak,
"Jansen, Kenley",rhp-c,29,rejected,LAN,LAN,5,"$80,000,000 ",2017-21,,,"$16,000,000",Wasserman,Mark Walter,Friedman / Zaidi,
"Desmond, Ian",of-1b,31,rejected,TEX,COL,5,"$70,000,000 ",2017-21,,,"$14,000,000",Sports One,Monfort brothers,Jeff Bridich,
"Turner, Justin",3b,32,rejected,LAN,LAN,4,"$64,000,000 ",2017-20,,,"$16,000,000",Legacy Agency,Mark Walter,Friedman / Zaidi,
"Melancon, Mark",rhp-c,32,,WAS,SFN,4,"$62,000,000 ",2017-20,,1,"$15,500,000",ISE,Charles Johnson,B Sabean/B Evans,
"Encarnacion, Edwin",1b-dh,34,rejected,TOR,CLE,3,"$60,000,000 ",2017-19,club,,"$20,000,000",Rep 1,Paul Dolan,Antonetti/Chernoff,
"Reddick, Josh",rf,30,,LAN,HOU,4,"$52,000,000 ",2017-20,,,"$13,000,000",ACES,Jim Crane,Jeff Luhnow,
"Hill, Rich",lhp-s,37,,LAN,LAN,3,"$48,000,000 ",2017-19,,,"$16,000,000",ACES,Mark Walter,Friedman / Zaidi,
"Trumbo, Mark",of,31,rejected,BAL,BAL,3,"$37,500,000 ",2017-19,,,"$12,500,000",Wasserman,Peter Angelos,Dan Duquette,
"Morales, Kendrys",dh,34,,KCA,TOR,3,"$33,000,000 ",2017-19,,,"$11,000,000",Wasserman,Edward Rogers,MShapiro/RAtkins,
"Cecil, Brett",lhp,30,,TOR,SLN,4,"$30,500,000 ",2017-20,,,"$7,625,000",ACES,Bill DeWitt Jr.,John Mozeliak,
"Nova, Ivan",rhp-s,30,,PIT,PIT,3,"$26,000,000 ",2017-19,,,"$8,666,666",Legacy Agency,Bob Nutting,Neal Huntington,
"Castro, Jason",c,30,,HOU,MIN,3,"$24,500,000 ",2017-19,,,"$8,166,667",ISE,Jim Pohlad,DFalvey /TLevine,
"Volquez, Edinson",rhp-s,33,,KCA,MIA,2,"$22,000,000 ",2017-18,,,"$11,000,000",Wasserman,Jeffrey Loria,Michael Hill,
"Wieters, Matt",c,31,,BAL,WAS,2,"$21,000,000 ",2017-18,player,,"$10,500,000",Boras Corp.,Ted Lerner,Mike Rizzo,
"Dunn, Mike",lhp,32,,MIA,COL,3,"$19,000,000 ",2017-19,club,,"$6,333,333",O'Connell Sports,Monfort brothers,Jeff Bridich,
