Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Gant, Ron",of,31,Type A,CIN,SLN,5,"$25,000,000 ",1996-2000,,,"$5,000,000",Bean Stringfellow,Anheuser-Busch,Walt Jocketty,
"Biggio, Craig",2b,30,Type A,HOU,HOU,4,"$22,360,000 ",1996-99,club,,"$5,590,000",Barry Axelrod,Drayton McLane,Gerry Hunsicker,
"McGriff, Fred",1b,32,Type A,ATL,ATL,4,"$20,500,000 ",1996-99,,,"$5,125,000",Jim Krivacs,Ted Turner,John Schuerholz,
"Rogers, Kenny",lhp-s,31,Type A,TEX,NYA,4,"$20,000,000 ",1996-99,club/vest,,"$5,000,000",Boras Corp.,Geo Steinbrenner,Bob Watson,
"Cone, David",rhp-s,33,Type A,NYA,NYA,3,"$19,500,000 ",1996-98,club (2),,"$6,500,000",Steve Fehr,Geo Steinbrenner,Bob Watson,
"Alomar, Roberto",2b,28,Type A,TOR,BAL,3,"$18,000,000 ",1996-98,,,"$6,000,000",Jaime Torres,Peter Angelos,Pat Gillick,
"Martinez, Ramon",rhp-s,28,Type A,LAN,LAN,4,"$15,000,000 ",1996-99,,,"$3,750,000",Bronner/Gilhooley,Peter O'Malley,Fred Claire,
"Brown, Kevin",rhp-s,31,Type A,BAL,FLA,3,"$12,900,000 ",1996-98,,,"$4,300,000",Boras Corp.,Wayne Huizenga,Dave Dombrowski,
"Finley, Chuck",lhp-s,33,Type A,CAL,CAL,3,"$12,000,000 ",1996-98,club,,"$4,000,000",Hendricks Sports,Gene Autry,Bill Bavasi,
"Hanson, Erik",rhp,31,Type A,BOS,TOR,3,"$10,400,000 ",1996-98,,,"$3,466,666",Craig Fenech,Interbrew SA,Gord Ash,
"McDowell, Jack",rhp-s,30,Type A,NYA,CLE,2,"$10,150,000 ",1996-97,club,,"$5,075,000",Boras Corp.,Richard Jacobs,John Hart,
"White, Devon",cf,33,Type B,TOR,FLA,3,"$9,900,000 ",1996-98,,,"$3,300,000",Eric Goldschmidt,Wayne Huizenga,Dave Dombrowski,
"Grace, Mark",1b,32,Type A,CHN,CHN,2,"$9,050,000 ",1996-97,,,"$4,525,000",Barry Axelrod,Tribune Co.,Ed Lynch,
"Canseco, Jose",rf,31,Type A,BOS,BOS,2,"$9,000,000 ",1996-97,club,,"$4,500,000",,JRY Trust,Dan Duquette,
"Aguilera, Rick",rhp,34,Type A,BOS,MIN,3,"$9,000,000 ",1996-98,,,"$3,000,000",Tom Selakovich,Carl Pohlad,Terry Ryan,
"Leiter, Al",lhp-s,30,Type B,TOR,FLA,3,"$8,600,000 ",1996-98,-,,"$2,866,666",Hendricks Sports,Wayne Huizenga,Dave Dombrowski,
"Hill, Ken",rhp,30,Type A,CLE,TEX,2,"$8,150,000 ",1996-97,mutual,,"$4,075,000",Reynolds Sports,TSchieffer / ERose,Doug Melvin,
"Benes, Andy",rhp-s,28,Type A,SEA,SLN,2,"$8,100,000 ",1996-97,club,,"$4,050,000",Boras Corp.,Anheuser-Busch,Walt Jocketty,
"Abbott, Jim",lhp-s,28,Type A,CAL,CAL,3,"$7,800,000 ",1996-98,,,"$2,600,000",Boras Corp.,Gene Autry,Bill Bavasi,
"Myers, Randy",lhp,33,Type A,CHN,BAL,2,"$6,300,000 ",1996-97,-,,"$3,150,000",David Fishof,Peter Angelos,Pat Gillick,
"Candiotti, Tom",rhp-s,38,Type B,LAN,LAN,2,"$6,000,000 ",1996-97,,,"$3,000,000",Rocky Luccia,Peter O'Malley,Fred Claire,
"Gordon, Tom",rhp,28,Type A,KCA,BOS,2,"$5,800,000 ",1996-97,club,,"$2,900,000",,JRY Trust,Dan Duquette,
"Johnson, Lance",of,32,Type A,CHA,NYN,2,"$5,700,000 ",1996-97,-,,"$2,850,000",,Wilpon/Doubleday,Joe McIlvaine,
"Morris, Hal",1b,31,Type A,CIN,CIN,2,"$5,000,000 ",1996-97,,,"$2,500,000",,Marge Schott,Jim Bowden,
"Tettleton, Mickey",c,35,Type A,TEX,TEX,2,"$5,000,000 ",1996-97,,,"$2,500,000",Tony Attanasio,TSchieffer / ERose,Doug Melvin,
"Montgomery, Jeff",rhp-c,34,Type A,KCA,KCA,2,"$4,750,000 ",1996-97,club,,"$2,375,000",Meister Sports,Gtr KC Foundation,Herk Robinson,
"Nixon, Otis",of,37,Type B,TEX,TOR,2,"$4,400,000 ",1996-97,-,,"$2,200,000",Joe Sroba,Interbrew SA,Gord Ash,
"Boggs, Wade",3b,38,Type A,NYA,NYA,2,"$4,100,000 ",1996-97,,,"$2,050,000",Alan Nero,Geo Steinbrenner,Bob Watson,
"Weiss, Walt",ss,32,Type A,COL,COL,2,"$4,100,000 ",1996-97,,,"$2,050,000",Bronner/Gilhooley,Jerry McMorris,Bob Gebhard,
"Henderson, Rickey",of,37,Type A,OAK,SDN,2,"$4,000,000 ",1996-97,,,"$2,000,000",Dennis Gilbert,John Moores,Kevin Towers,
"Surhoff, B.J.",of,31,Type B,MIL,BAL,3,"$3,700,000 ",1996-98,,,"$1,233,333",Gregg Clifton,Peter Angelos,Pat Gillick,
"Phillips, Tony",of,37,Type A,CAL,CHA,2,"$3,600,000 ",1996-97,,,"$1,800,000",Tony Attanasio,Jerry Reinsdorf,Ron Schueler,
"Navarro, Jaime",rhp,29,Type B,CHN,CHN,1,"$3,400,000 ",1996,,,"$3,400,000",Dennis Gilbert,Tribune Co.,Ed Lynch,
"Gubicza, Mark",rhp-s,33,Type B,KCA,KCA,2,"$3,200,000 ",1996-97,-,,"$1,600,000",Ron Shapiro,Gtr KC Foundation,Herk Robinson,
"Gagne, Greg",ss,34,Type A,KCA,LAN,1,"$2,600,000 ",1996,,,"$2,600,000",Michael Moye,Peter O'Malley,Fred Claire,
"Velarde, Randy",inf,33,Type B,NYA,CAL,3,"$2,450,000 ",1996-98,,,"$816,667",Reich Katz Landis,Gene Autry,Bill Bavasi,
"Stanley, Mike",c,33,Type A,NYA,BOS,1,"$2,300,000 ",1996,mutual,,"$2,300,000",Bronner/Gilhooley,JRY Trust,Dan Duquette,
"Javier, Stan",of,32,Type A,OAK,SFN,2,"$2,100,000 ",1996-97,,,"$1,050,000",,Peter Magowan,Bob Quinn Sr.,
"Gaetti, Gary",3b,37,Type A,KCA,SLN,1,"$2,000,000 ",1996,,,"$2,000,000",Bronner/Gilhooley,Anheuser-Busch,Walt Jocketty,
"Henneman, Mike",rhp,34,Type B,HOU,TEX,1,"$2,000,000 ",1996,,,"$2,000,000",Bronner/Gilhooley,TSchieffer / ERose,Doug Melvin,
"Molitor, Paul",dh,39,Type A,TOR,MIN,1,"$2,000,000 ",1996,,,"$2,000,000",Ron Simon,Carl Pohlad,Terry Ryan,
"Murray, Eddie",1b,40,Type A,CLE,CLE,1,"$2,000,000 ",1996,,,"$2,000,000",Ron Shapiro,Richard Jacobs,John Hart,
"Hayes, Charlie",3b,31,Type A,PIT,PIT,1,"$1,850,000 ",1996,,,"$1,850,000",Tommy Tanzer,Kevin McClatchy,Cam Bonifay,
"Tewksbury, Bob",rhp-s,35,Type B,TEX,SDN,1,"$1,625,000 ",1996,,,"$1,625,000",Joe Bick,John Moores,Kevin Towers,
"Macfarlane, Mike",c,32,Type A,BOS,KCA,2,"$1,600,000 ",1996-97,,,"$800,000",Jeff Moorad,Gtr KC Foundation,Herk Robinson,
"Baines, Harold",dh,37,Type B,BAL,CHA,1,"$1,500,000 ",1996,,,"$1,500,000",Jack Sands,Jerry Reinsdorf,Ron Schueler,
"Dunston, Shawon",ss,33,Type A,CHN,SFN,1,"$1,500,000 ",1996,,,"$1,500,000",Eric Goldschmidt,Peter Magowan,Bob Quinn Sr.,
"Witt, Bobby",rhp-s,32,Type C,TEX,TEX,1,"$1,500,000 ",1996,,,"$1,500,000",Alan Nero,TSchieffer / ERose,Doug Melvin,
"Kingery, Mike",of,35,Type A,COL,PIT,2,"$1,500,000 ",1996-97,-,,"$750,000",Bronner/Gilhooley,Kevin McClatchy,Cam Bonifay,
"Duncan, Mariano",2b,33,Type C,CIN,NYA,2,"$1,475,000 ",1996-97,,,"$737,500",Tony Attanasio,Geo Steinbrenner,Bob Watson,
"Martinez, Dave",of,31,Type B,CHA,CHA,2,"$1,425,000 ",1996-97,,,"$712,500",,Jerry Reinsdorf,Ron Schueler,
"Reed, Jody",2b,33,Type A,SDN,SDN,2,"$1,400,000 ",1996-97,,,"$700,000",,John Moores,Kevin Towers,
"Orsulak, Joe",of,34,Type C,NYN,FLA,2,"$1,275,000 ",1996-97,,,"$637,500",Ron Shapiro,Wayne Huizenga,Dave Dombrowski,
"Morgan, Mike",rhp-s,36,,SLN,SLN,1,"$1,250,000 ",1996,-,,"$1,250,000",,Anheuser-Busch,Walt Jocketty,
"Eisenreich, Jim",of,37,Type A,PHI,PHI,1,"$1,200,000 ",1996,-,,"$1,200,000",Ron Simon,Bill Giles,Lee Thomas,
"O'Brien, Charlie",c,36,Type B,ATL,TOR,1,"$1,125,000 ",1996,,,"$1,125,000",Dennis Gilbert,Interbrew SA,Gord Ash,
"Santiago, Benito",c,31,Type A,CIN,PHI,1,"$1,100,000 ",1996,,,"$1,100,000",Career Sports,Bill Giles,Lee Thomas,
"Hamilton, Darryl",of,31,Type B,MIL,TEX,1,"$1,050,000 ",1996,-,,"$1,050,000",,TSchieffer / ERose,Doug Melvin,
"Seitzer, Kevin",3b,34,Type A,MIL,MIL,1,"$1,000,000 ",1996,,,"$1,000,000",Bronner/Gilhooley,Bud Selig,Sal Bando,
"Belcher, Tim",rhp-s,34,Type C,SEA,KCA,1,"$975,000 ",1996,,,"$975,000",Boras Corp.,Gtr KC Foundation,Herk Robinson,
"Jones, Doug",rhp,39,Type A,BAL,CHN,1,"$825,000 ",1996,,,"$825,000",,Tribune Co.,Ed Lynch,
"Jackson, Mike",rhp,31,Type A,CIN,SEA,1,"$800,000 ",1996,,,"$800,000",,Nintendo/America,Woody Woodward,
"McDowell, Roger",rhp,35,Type B,TEX,BAL,1,"$750,000 ",1996,,,"$750,000",Ron Shapiro,Peter Angelos,Pat Gillick,
"Devereaux, Mike",of,33,Type B,ATL,BAL,1,"$700,000 ",1996,,,"$700,000",Reynolds Sports,Peter Angelos,Pat Gillick,
"Parrett, Jeff",rhp,34,,SLN,SLN,1,"$675,000 ",1996,,,"$675,000",Boras Corp.,Anheuser-Busch,Walt Jocketty,
"Maddux, Mike",rhp,34,Type A,BOS,BOS,1,"$600,000 ",1996,,,"$600,000",,JRY Trust,Dan Duquette,
"Moyer, Jamie",lhp,33,Type C,BAL,BOS,1,"$600,000 ",1996,,,"$600,000",Bronner/Gilhooley,JRY Trust,Dan Duquette,
"Patterson, Bob",lhp,37,Type A,CAL,CHN,1,"$550,000 ",1996,,,"$550,000",,Tribune Co.,Ed Lynch,
"Pena, Tony",c,39,Type B,CLE,CLE,1,"$525,000 ",1996,,,"$525,000",Reich Katz Landis,Richard Jacobs,John Hart,
"Harvey, Bryan",rhp,33,,FLA,CAL,1,"$500,000 ",1996,,,"$500,000",Steve Greenberg,Gene Autry,Bill Bavasi,
"Magadan, Dave",3b,33,Type B,HOU,CHN,1,"$500,000 ",1996,,,"$500,000",David Fishof,Tribune Co.,Ed Lynch,
"Oliver, Joe",c,30,Type B,MIL,CIN,1,"$500,000 ",1996,,,"$500,000",,Marge Schott,Jim Bowden,
"Parent, Mark",c,34,Type B,CHN,DET,1,"$500,000 ",1996,,,"$500,000",John Boggs,Mike Ilitch,Randy Smith,
"Valenzuela, Fernando",lhp-s,35,,,SDN,1,"$500,000 ",1996,-,,"$500,000",Richard Moss,John Moores,Kevin Towers,
