Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Glavine, Tom",lhp-s,41,Type A,NYN,NYN,1,"$10,500,000 ",2007,player,,"$10,500,000",Gregg Clifton,Fred Wilpon,Omar Minaya,
"Bradford, Chad",rhp,32,Type A,NYN,BAL,3,"$10,500,000 ",2007-09,,,"$3,500,000",Rex Gary,Peter Angelos,Mike Flanagan,
"Kennedy, Adam",2b,31,Type B,ANA,SLN,3,"$10,000,000 ",2007-09,,,"$3,333,333",Paul Cohen,Bill DeWitt Jr.,Walt Jocketty,
"Payton, Jay",of,34,Type B,OAK,BAL,1,"$9,500,000 ",2007,,,"$9,500,000",Craig Landis,Peter Angelos,Mike Flanagan,
"Alou, Moises",of,40,Type A,SFN,NYN,1,"$8,500,000 ",2007,club,,"$8,500,000",Hendricks Sports,Fred Wilpon,Omar Minaya,
"Piazza, Mike",c,38,Type A,SDN,OAK,1,"$8,500,000 ",2007,,,"$8,500,000",Dan Lozano,Lewis Wolff,Billy Beane,
"Weaver, Jeff",rhp-s,30,Type B,SLN,SEA,1,"$8,375,000 ",2007,,,"$8,375,000",Boras Corp.,Nintendo/America,Bill Bavasi,
"Wolf, Randy",lhp-s,30,Type C,PHI,LAN,1,"$8,000,000 ",2007,club,,"$8,000,000",Arn Tellem,Frank McCourt,Ned Colletti,
"Aurilia, Rich",inf,35,Type A,CIN,SFN,2,"$8,000,000 ",2007-08,,,"$4,000,000",Barry Axelrod,Peter Magowan,Brian Sabean,
"Gonzalez, Luis",of,39,Type A,ARI,LAN,1,"$7,350,000 ",2007,,,"$7,350,000",Gregg Clifton,Frank McCourt,Ned Colletti,
"Zaun, Gergg",c,36,Type B,TOR,TOR,2,"$7,250,000 ",2007-08,vesting,,"$3,625,000",,Edward Rogers,J.P. Ricciardi,
"Hillenbrand, Shea",1b,31,Type B,SFN,ANA,1,"$6,500,000 ",2007,club,,"$6,500,000",Dan Lozano,Arturo Moreno,Bill Stoneman,
"Gagne, Eric",rhp,31,Type A,LAN,TEX,1,"$6,000,000 ",2007,,,"$6,000,000",Boras Corp.,Tom Hicks,Jon Daniels,
"Lofton, Kenny",of,40,Type B,LAN,TEX,1,"$6,000,000 ",2007,,,"$6,000,000",Casey Close,Tom Hicks,Jon Daniels,
"Counsell, Craig",2b,36,Type B,ARI,MIL,2,"$6,000,000 ",2007-08,club,,"$3,000,000",Meister Sports,Mark Attanasio,Doug Melvin,
"Guillen, Jose",of,31,Type B,WAS,SEA,1,"$5,500,000 ",2007,club,,"$5,500,000",Gregg Clifton,Nintendo/America,Bill Bavasi,
