Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Rodriguez, Alex",3b,32,Type A,NYA,NYA,10,"$275,000,000 ",2008-17,,,"$27,500,000",Alex Rodriguez,Geo Steinbrenner,Brian Cashman,
"Hunter, Torii",of,32,Type A,MIN,ANA,5,"$90,000,000 ",2008-12,,,"$18,000,000",Reynolds Sports,Arturo Moreno,Tony Reagins,
"Rowand, Aaron",of,30,Type A,PHI,SDN,5,"$60,000,000 ",2008-12,,,"$12,000,000",Craig Landis,John Moores,Kevin Towers,
"Posada, Jorge",c,36,Type A,NYA,NYA,4,"$52,400,000 ",2008-11,,,"$13,100,000",ACES,Geo Steinbrenner,Brian Cashman,
"Silva, Carlos",rhp-s,29,,MIN,SEA,4,"$48,000,000 ",2008-11,,,"$12,000,000",Barry Praver,Nintendo/America,Bill Bavasi,
"Cordero, Francisco",rhp,33,Type A,MIL,CIN,4,"$46,000,000 ",2008-11,club,,"$11,500,000",Bean Stringfellow,Bob Castellini,Wayne Krivsky,
"Rivera, Mariano",rhp-c,38,Type A,NYA,NYA,3,"$45,000,000 ",2008-10,,,"$15,000,000",Fern Cuza,Geo Steinbrenner,Brian Cashman,
"Lowell, Mike",3b,34,Type A,BOS,BOS,3,"$37,500,000 ",2008-10,,,"$12,500,000",ACES,John Henry,Theo Epstein,
"Jones, Andruw",cf,31,Type B,ATL,LAN,2,"$36,200,000 ",2008-09,,,"$18,100,000",Boras Corp.,Frank McCourt,Ned Colletti,
"Guillen, Jose",rf,32,Type B,SEA,KCA,3,"$36,000,000 ",2008-10,,,"$12,000,000",Adam Katz,David Glass,Dayton Moore,
"Castillo, Luis",2b,32,Type B,NYN,NYN,4,"$25,000,000 ",2008-11,,,"$6,250,000",ACES,Fred Wilpon,Omar Minaya,
"Linebrink, Scott",rhp,31,Type A,MIL,CHA,4,"$19,000,000 ",2008-11,,,"$4,750,000",SFX,Jerry Reinsdorf,Ken Williams,
"Matsui, Kaz",2b,32,,COL,HOU,3,"$16,500,000 ",2008-10,,,"$5,500,000",Arn Tellem,Drayton McLane,Ed Wade,
"Pettitte, Andy",lhp-s,36,Type A,NYA,NYA,1,"$16,000,000 ",2008,,,"$16,000,000",Hendricks Sports,Geo Steinbrenner,Brian Cashman,
"Jenkins, Geoff",of,33,,MIL,PHI,2,"$13,000,000 ",2008-09,mutual,,"$6,500,000",Damon Lapa,Bill Giles,Pat Gillick,
"Riske, David",rhp,31,Type B,KCA,MIL,3,"$13,000,000 ",2008-10,,,"$4,333,333",Nez Balelo,Mark Attanasio,Doug Melvin,
"Romero, J.C.",lhp,32,,PHI,PHI,3,"$12,000,000 ",2008-10,club,,"$4,000,000",MDR Sports,Bill Giles,Pat Gillick,
"Dotel, Octavio",rhp,34,,ATL,CHA,2,"$11,000,000 ",2008-09,,,"$5,500,000",Dan Horwits,Jerry Reinsdorf,Ken Williams,
"Gagne, Eric",rhp,32,Type B,BOS,MIL,1,"$10,000,000 ",2008,,,"$10,000,000",Boras Corp.,Mark Attanasio,Doug Melvin,
"Feliz, Pedro",3b,33,Type B,SFN,PHI,2,"$8,500,000 ",2008-09,,,"$4,250,000",ACES,Bill Giles,Pat Gillick,
"Glavine, Tom",lhp-s,42,Type A,NYN,ATL,1,"$8,000,000 ",2008,,,"$8,000,000",Gregg Clifton,Liberty Media,Frank Wren,
"Rogers, Kenny",lhp-s,43,Type B,DET,DET,1,"$8,000,000 ",2008,,,"$8,000,000",Kenny Rogers,Mike Ilitch,Dave Dombrowski,
"Mahay, Ron",lhp,37,Type B,ATL,KCA,2,"$8,000,000 ",2008-09,,,"$4,000,000",Career Sports,David Glass,Dayton Moore,
"Percival, Troy",rhp,38,Type B,SLN,TBA,2,"$8,000,000 ",2008-09,,,"$4,000,000",Paul Cohen,Stuart Sternberg,Andrew Friedman,
"Vizcaino, Luis",rhp,33,Type B,NYA,COL,2,"$7,500,000 ",2008-09,club,,"$3,750,000",Bean Stringfellow,Monfort brothers,Dan O'Dowd,
"Torrealba, Yorvit",c,29,Type B,COL,COL,2,"$7,250,000 ",2008-09,mutual,,"$3,625,000",MDR Sports,Monfort brothers,Dan O'Dowd,
"Cameron, Mike",of,35,Type B,SDN,MIL,1,"$7,000,000 ",2008,club,,"$7,000,000",Mike Nicotera,Mark Attanasio,Doug Melvin,
"Lamb, Mike",3b,32,,HOU,MIN,2,"$6,600,000 ",2008-09,club,,"$3,300,000",ACES,Carl Pohlad,Bill Smith,
"Bradley, Milton",of,30,Type A,SDN,TEX,1,"$5,250,000 ",2008,,,"$5,250,000",ACES,Tom Hicks,Jon Daniels,
"Hernandez, Livan",rhp-s,33,Type B,ARI,MIN,1,"$5,000,000 ",2008,,,"$5,000,000",Greg Genske,Carl Pohlad,Bill Smith,
"Lo Duca, Paul",c,36,Type B,NYN,WAS,1,"$5,000,000 ",2008,,,"$5,000,000",Andrew Mongelluzzi,Ted Lerner,Jim Bowden,
"Wolf, Randy",lhp-s,31,,LAN,SDN,1,"$4,750,000 ",2008,,,"$4,750,000",Arn Tellem,John Moores,Kevin Towers,
"Castro, Ramon",c,32,,NYN,NYN,2,"$4,600,000 ",2008-09,,,"$2,300,000",,Fred Wilpon,Omar Minaya,
"Eckstein, David",ss,33,Type B,SLN,TOR,1,"$4,500,000 ",2008,,,"$4,500,000",Ryan Gleichowski,Edward Rogers,J.P. Ricciardi,
"Kendall, Jason",c,34,Type B,CHN,MIL,1,"$4,250,000 ",2008,vesting,,"$4,250,000",Arn Tellem,Mark Attanasio,Doug Melvin,
"Lohse, Kyle",rhp-s,29,,PHI,SLN,1,"$4,250,000 ",2008,,,"$4,250,000",Boras Corp.,Bill DeWitt Jr.,John Mozeliak,
"Wood, Kerry",rhp,31,,CHN,CHN,1,"$4,200,000 ",2008,,,"$4,200,000",SFX,Tribune Co.,Jim Hendry,
"Jennings, Jason",rhp,29,,HOU,TEX,1,"$4,000,000 ",2008,,,"$4,000,000",Casey Close,Tom Hicks,Jon Daniels,
"Molina, Jose",c,33,,NYA,NYA,2,"$4,000,000 ",2008-09,,,"$2,000,000",,Geo Steinbrenner,Brian Cashman,
"Hawkins, LaTroy",rhp,35,,COL,NYA,1,"$3,750,000 ",2008,,,"$3,750,000",Reynolds Sports,Geo Steinbrenner,Brian Cashman,
"Barrett, Michael",c,31,Type A,SDN,SDN,1,"$3,500,000 ",2008,,,"$3,500,000",Career Sports,John Moores,Kevin Towers,
"Lieber, Jon",rhp,38,,PHI,CHN,1,"$3,500,000 ",2008,,,"$3,500,000",Rex Gary,Tribune Co.,Jim Hendry,
"Wells, Kip",rhp,31,,SLN,COL,1,"$3,100,000 ",2008,,,"$3,100,000",,Monfort brothers,Dan O'Dowd,
"Affeldt, Jeremy",lhp,29,,COL,CIN,1,"$3,000,000 ",2008,,,"$3,000,000",Michael Moye,Bob Castellini,Wayne Krivsky,
"Floyd, Cliff",of,35,,CHN,TBA,1,"$3,000,000 ",2008,club,,"$3,000,000",ACES,Stuart Sternberg,Andrew Friedman,
"Patterson, Corey",of,28,,BAL,CIN,1,"$3,000,000 ",2008,,,"$3,000,000",Boras Corp.,Bob Castellini,Wayne Krivsky,
"Timlin, Mike",rhp,42,Type B,BOS,BOS,1,"$3,000,000 ",2008,,,"$3,000,000",ACES,John Henry,Theo Epstein,
"Tomko, Brett",rhp,35,,SDN,KCA,1,"$3,000,000 ",2008,,,"$3,000,000",Joe Longo,David Glass,Dayton Moore,
"Wilkerson, Brad",of,31,,TEX,SEA,1,"$3,000,000 ",2008,,,"$3,000,000",Boras Corp.,Nintendo/America,Bill Bavasi,
"Izturis, Cesar",ss,28,,PIT,SLN,1,"$2,850,000 ",2008,,,"$2,850,000",,Bill DeWitt Jr.,John Mozeliak,
"Loretta, Mark",inf,36,Type B,HOU,HOU,1,"$2,750,000 ",2008,,,"$2,750,000",RMG Baseball,Drayton McLane,Ed Wade,
"Brocail, Doug",rhp,41,Type B,SDN,HOU,1,"$2,500,000 ",2008,club,,"$2,500,000",Meister Sports,Drayton McLane,Ed Wade,
"Herges, Matt",rhp,39,,COL,COL,1,"$2,250,000 ",2008,club,,"$2,250,000",Dan Horwits,Monfort brothers,Dan O'Dowd,
"Chacon, Shawn",rhp,30,,PIT,HOU,1,"$2,000,000 ",2008,,,"$2,000,000",Dan Horwits,Drayton McLane,Ed Wade,
"Gonzalez, Luis",of,40,Type B,LAN,FLA,1,"$2,000,000 ",2008,,,"$2,000,000",Gregg Clifton,Jeffrey Loria,Michael Hill,
"Guardado, Eddie",lhp,37,,CIN,TEX,1,"$2,000,000 ",2008,,,"$2,000,000",Kevin Kohler,Tom Hicks,Jon Daniels,
"Miller, Trever",lhp,35,Type B,HOU,TBA,1,"$2,000,000 ",2008,,,"$2,000,000",,Stuart Sternberg,Andrew Friedman,
"Clement, Matt",rhp-s,33,,BOS,SLN,1,"$1,500,000 ",2008,club,,"$1,500,000",Barry Axelrod,Bill DeWitt Jr.,John Mozeliak,
"Fogg, Josh",rhp,31,,COL,CIN,1,"$1,500,000 ",2008,,,"$1,500,000",Dan Horwits,Bob Castellini,Wayne Krivsky,
"Mackowiak, Rob",of,32,,SDN,WAS,1,"$1,500,000 ",2008,,,"$1,500,000",Joe Sroba,Ted Lerner,Jim Bowden,
"Stewart, Shannon",of,34,Type B,OAK,TOR,1,"$1,500,000 ",2008,,,"$1,500,000",Barry Praver,Edward Rogers,J.P. Ricciardi,
"Trachsel, Steve",rhp-s,37,,CHN,BAL,1,"$1,500,000 ",2008,,,"$1,500,000",ACES,Peter Angelos,Andy MacPhail,
"Barajas, Rod",c,32,,PHI,TOR,1,"$1,200,000 ",2008,club,,"$1,200,000",,Edward Rogers,J.P. Ricciardi,
"Blum, Geoff",2b,35,,SDN,HOU,1,"$1,100,000 ",2008,club,,"$1,100,000",Arn Tellem,Drayton McLane,Ed Wade,
"Boone, Aaron",3b,35,,FLA,WAS,1,"$1,000,000 ",2008,,,"$1,000,000",Arn Tellem,Ted Lerner,Jim Bowden,
"Erstad, Darin",of,34,,CHA,HOU,1,"$1,000,000 ",2008,,,"$1,000,000",Greg Genske,Drayton McLane,Ed Wade,
"Gomez, Chris",inf,37,,CLE,PIT,1,"$1,000,000 ",2008,,,"$1,000,000",Alan Meersand,Bob Nutting,Neal Huntington,
"Julio, Jorge",rhp,29,Type B,COL,CLE,1,"$1,000,000 ",2008,,,"$1,000,000",SFX,Larry Dolan,Mark Shapiro,
