Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Holliday, Matt",lf,30,Type A,SLN,SLN,7,"$120,000,000 ",2010-16,club,,"$17,142,857",Boras Corp.,Bill DeWitt Jr.,John Mozeliak,
"Lackey, John",rhp,31,Type A,ANA,BOS,5,"$82,500,000 ",2010-14,conditional,,"$16,500,000",Octagon,John Henry,Theo Epstein,
"Bay, Jason",of,31,Type A,BOS,NYN,4,"$66,000,000 ",2010-13,club,,"$16,500,000",Joe Urbon,Fred Wilpon,Omar Minaya,
"Figgins, Chone",3b,32,Type A,ANA,SEA,4,"$36,000,000 ",2010-13,vesting,,"$9,000,000",Career Sports,Nintendo/America,Jack Zduriencik,
"Wolf, Randy",lhp,33,Type A,LAN,MIL,3,"$29,750,000 ",2010-12,club,,"$9,916,667",SFX,Mark Attanasio,Doug Melvin,
"Polanco, Placido",inf,34,Type A,DET,PHI,3,"$18,000,000 ",2010,mutual,,"$6,000,000",Adam Katz,Bill Giles,Ruben Amaro Jr.,
"Pineiro, Joel",rhp,31,Type B,SLN,ANA,2,"$16,000,000 ",2010-11,,,"$8,000,000",SFX,Arturo Moreno,Tony Reagins,
"Cameron, Mike",of,37,Type B,MIL,BOS,2,"$15,500,000 ",2010-11,,,"$7,750,000",Mike Nicotera,John Henry,Theo Epstein,
"Marquis, Jason",rhp,31,Type B,COL,WAS,2,"$15,000,000 ",2010-11,,,"$7,500,000",ACES,Ted Lerner,Mike Rizzo,
"Byrd, Marlon",of,32,Type B,TEX,CHN,3,"$15,000,000 ",2010,,,"$5,000,000",ACES,Tom Ricketts,Jim Hendry,
"Lyon, Brandon",rhp,30,Type B,DET,HOU,3,"$15,000,000 ",2010-12,,,"$5,000,000",Meister Sports,Drayton McLane,Ed Wade,
"Valverde, Jose",rhp,32,Type A,HOU,DET,2,"$14,000,000 ",2010-11,club,,"$7,000,000",Bill Rego,Mike Ilitch,Dave Dombrowski,
"Scutaro, Marco",ss,34,Type A,TOR,BOS,2,"$12,500,000 ",2010-11,player,,"$6,250,000",Peter Greenberg,John Henry,Theo Epstein,
