Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Brown, Kevin",rhp-s,34,Type A,SDN,LAN,7,"$105,000,000 ",1999-2005,,,"$15,000,000",Boras Corp.,Fox Ent Group,Kevin Malone,
"Williams, Bernie",cf,30,Type A,NYA,NYA,7,"$87,500,000 ",1999-2005,,,"$12,500,000",,Geo Steinbrenner,Brian Cashman,signed 11/25/98
"Vaughn, Mo",1b,31,Type A,BOS,ANA,6,"$80,000,000 ",1999-2004,club,,"$13,333,333",Reich Katz Landis,Jackie Autry,Bill Bavasi,"signed 11/25/98, 6 yr/$80M (99-04)+05 cl opt. $13M sb ($5M at signing, $8M pd '03). 99:$5M, 00:$9M, 01:$11M, 02:$10M, 03:$15M, 04:$15M, 05:$14M cl opt $2M b/o. At signing, largest k in game."
"Belle, Albert",of,32,Type A,CHA,BAL,5,"$65,000,000 ",1999-2003,,,"$13,000,000",Arn Tellem,Peter Angelos,Frank Wren,
"Johnson, Randy",lhp-s,35,Type A,HOU,ARI,4,"$52,400,000 ",1999-2002,,,"$13,100,000",Alan Nero,Jerry Colangelo,Joe Garagiola Jr.,
"Palmeiro, Rafael",1b,34,Type A,BAL,TEX,5,"$45,000,000 ",1999-2003,,,"$9,000,000",Bronner Gilhooley,Tom Hicks,Doug Melvin,
"Jordan, Brian",of,32,Type A,SLN,ATL,5,"$40,000,000 ",1999-2003,,,"$8,000,000",Jim Turner,Time Warner,John Schuerholz,
"Palmer, Dean",3b,30,Type A,KCA,DET,5,"$36,000,000 ",1999-2003,,,"$7,200,000",,Mike Ilitch,Randy Smith,
"Alomar, Roberto",2b,31,Type A,BAL,CLE,4,"$32,000,000 ",1999-2002,,,"$8,000,000",Jaime Torres,Richard Jacobs,John Hart,
"Stottlemyre, Todd",rhp,34,Type A,TEX,ARI,4,"$32,000,000 ",1999-2002,,,"$8,000,000",Tony Attanasio,Jerry Colangelo,Joe Garagiola Jr.,
"Ventura, Robin",3b,31,Type A,CHA,NYN,4,"$32,000,000 ",1999-2002,,,"$8,000,000",John Boggs,Wilpon/Doubleday,Steve Phillips,
"Offerman, Jose",ss,30,Type A,KCA,BOS,4,"$26,000,000 ",1999-2002,,,"$6,500,000",,JRY Trust,Dan Duquette,
"Finley, Steve",of,34,Type A,SDN,ARI,5,"$21,500,000 ",1999-2003,,,"$4,300,000",Tommy Tanzer,Jerry Colangelo,Joe Garagiola Jr.,
"Clayton, Royce",ss,29,Type A,TEX,TEX,4,"$18,000,000 ",1999-2002,,,"$4,500,000",Arn Tellem,Tom Hicks,Doug Melvin,
"Timlin, Mike",rhp,33,Type A,SEA,BAL,4,"$16,000,000 ",1999,,,"$4,000,000",ACES,Peter Angelos,Frank Wren,
"Brosius, Scott",3b,32,Type A,NYA,NYA,3,"$15,750,000 ",1999-2001,,,"$5,250,000",Tony Attanasio,Geo Steinbrenner,Brian Cashman,
"Surhoff, B.J.",of,34,Type A,BAL,BAL,3,"$14,000,000 ",1999-2001,,,"$4,666,666",Octagon,Peter Angelos,Frank Wren,
"DeShields, Delino",2b,30,Type A,SLN,BAL,3,"$12,500,000 ",1999-2001,,,"$4,166,666",Reich Katz Landis,Peter Angelos,Frank Wren,
"White, Devon",of,36,Type A,ARI,LAN,3,"$12,400,000 ",1999-2001,,,"$4,133,333",Eric Goldschmidt,Fox Ent Group,Kevin Malone,
"Clark, Will",1b,35,Type A,TEX,BAL,2,"$11,000,000 ",1999-2000,,,"$5,500,000",Jeff Moorad,Peter Angelos,Frank Wren,
"Belcher, Tim",rhp-s,37,Type A,KCA,ANA,2,"$10,200,000 ",1999-2000,,,"$5,100,000",Boras Corp.,Jackie Autry,Bill Bavasi,
"Burks, Ellis",of,34,Type A,SFN,SFN,2,"$10,000,000 ",1999-2000,,,"$5,000,000",Jim Turner,Peter Magowan,Brian Sabean,
"Caminiti, Ken",3b,36,Type A,SDN,HOU,2,"$9,500,000 ",1999-2000,,,"$4,750,000",Rick Licht,Drayton McLane,Gerry Hunsicker,
"Clark, Mark",rhp,31,Type B,CHN,TEX,2,"$9,300,000 ",1999-2000,,,"$4,650,000",,Tom Hicks,Doug Melvin,
"Bohanon, Brian",lhp,30,Type C,LAN,COL,3,"$9,000,000 ",1999-2001,,,"$3,000,000",Hendricks Sports,Jerry McMorris,Bob Gebhard,
"Rodriguez, Henry",of,31,Type B,CHN,CHN,2,"$8,900,000 ",1999-2000,,,"$4,450,000",Reich Katz Landis,Tribune Co.,Ed Lynch,
"Cone, David",rhp-s,36,Type A,NYA,NYA,1,"$8,000,000 ",1999,,,"$8,000,000",Steve Fehr,Geo Steinbrenner,Brian Cashman,
"Davis, Eric",of,37,Type A,BAL,SLN,2,"$8,000,000 ",1999-2000,,,"$4,000,000",Eric Goldschmidt,Bill DeWitt Jr.,Walt Jocketty,
"Cook, Dennis",lhp,36,Type A,NYN,NYN,3,"$6,600,000 ",1999-2000,,,"$2,200,000",,Wilpon/Doubleday,Steve Phillips,
"Hernandez, Carlos",c,32,Type B,SDN,SDN,3,"$6,500,000 ",1999-2001,,,"$2,166,666",,John Moores,Kevin Towers,
"Mills, Alan",rhp,32,Type B,BAL,LAN,3,"$6,500,000 ",1999-2001,,,"$2,166,666",,Fox Ent Group,Kevin Malone,
"Mesa, Jose",rhp,33,Type A,SFN,SEA,2,"$6,450,000 ",1999-2000,,,"$3,225,000",,Nintendo/America,Woody Woodward,
"Swindell, Greg",lhp,34,Type A,BOS,ARI,3,"$5,700,000 ",1999-2001,,,"$1,900,000",Hendricks Sports,Jerry Colangelo,Joe Garagiola Jr.,
"Radinsky, Scott",lhp,31,Type A,LAN,SLN,2,"$5,500,000 ",1999-2000,,,"$2,750,000",,Bill DeWitt Jr.,Walt Jocketty,
"Reynoso, Armando",rhp,33,Type C,NYN,ARI,2,"$5,500,000 ",1999-2000,,,"$2,750,000",,Jerry Colangelo,Joe Garagiola Jr.,
"Gardner, Mark",rhp,37,Type A,SFN,SFN,2,"$5,000,000 ",1999-2000,,,"$2,500,000",Reich Katz Landis,Peter Magowan,Brian Sabean,
"Jefferies, Gregg",of,31,Type B,ANA,DET,2,"$4,875,000 ",1999-2000,,,"$2,437,500",ACES,Mike Ilitch,Randy Smith,
"Schourek, Pete",lhp,30,,BOS,PIT,2,"$4,000,000 ",1999,,,"$2,000,000",,Kevin McClatchy,Cam Bonifay,
"Berry, Sean",3b,33,Type B,HOU,MIL,2,"$3,600,000 ",1999-2000,,,"$1,800,000",,Wendy Selig-Prieb,Sal Bando,
"Guthrie, Mark",lhp,33,,LAN,BOS,2,"$3,200,000 ",1999,,,"$1,600,000",Mark Thurman,JRY Trust,Dan Duquette,
"Canseco, Jose",of,34,Type B,TOR,TBA,1,"$3,000,000 ",1999,,,"$3,000,000",Juan Iglesias,Vince Naimoli,Chuck LaMar,
"Portugal, Mark",rhp,36,Type C,PHI,BOS,1,"$3,000,000 ",1999,,,"$3,000,000",,JRY Trust,Dan Duquette,
"Montgomery, Jeff",rhp-c,37,Type A,KCA,KCA,1,"$2,500,000 ",1999,,,"$2,500,000",Meister Sports,Gtr KC Foundation,Herk Robinson,
"Henderson, Rickey",of,40,Type B,OAK,NYN,1,"$2,300,000 ",1999,,,"$2,300,000",Dennis Gilbert,Wilpon/Doubleday,Steve Phillips,
"Harris, Lenny",of,34,,NYN,COL,1,"$2,200,000 ",1999,,,"$2,200,000",Eric Goldschmidt,Jerry McMorris,Bob Gebhard,
"Gaetti, Gary",3b,40,Type B,CHN,CHN,1,"$2,000,000 ",1999,,,"$2,000,000",Bronner Gilhooley,Tribune Co.,Ed Lynch,
"Hershisher, Orel",rhp-s,40,Type A,SFN,NYN,1,"$2,000,000 ",1999,,,"$2,000,000",Bronner Gilhooley,Wilpon/Doubleday,Steve Phillips,
"Santiago, Benito",c,34,Type B,TOR,CHN,1,"$2,000,000 ",1999,club,,"$2,000,000",Lonnie Cooper,Tribune Co.,Ed Lynch,
"Colbrunn, Greg",1b,29,,ATL,ARI,2,"$1,800,000 ",1999-2000,,,"$900,000",,Jerry Colangelo,Joe Garagiola Jr.,
"Haselman, Bill",c,33,,TEX,DET,2,"$1,750,000 ",1999-2000,,,"$875,000",Dennis Gilbert,Mike Ilitch,Randy Smith,
