Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Teixeira, Mark",1b,29,Type A,ANA,NYA,8,"$180,000,000 ",2009-16,,,"$22,500,000",Boras Corp.,Hal Steinbrenner,Brian Cashman,
"Sabathia, CC",lhp-s,28,Type A,MIL,NYA,7,"$161,000,000 ",2009-15,,,"$23,000,000",Greg Genske,Hal Steinbrenner,Brian Cashman,
"Burnett, A.J.",rhp-s,32,,TOR,NYA,5,"$82,500,000 ",2009-13,,,"$16,500,000",Darek Braunecker,Hal Steinbrenner,Brian Cashman,
"Lowe, Derek",rhp-s,36,Type A,LAN,ATL,4,"$60,000,000 ",2009-12,,,"$15,000,000",Boras Corp.,Liberty Media,Frank Wren,
"Dempster, Ryan",rhp-s,32,Type A,CHN,CHN,4,"$52,000,000 ",2009-12,,,"$13,000,000",Craig Landis,Tribune Co.,Jim Hendry,
"Ramirez, Manny",of,37,Type A,LAN,LAN,2,"$45,000,000 ",2009-10,,,"$22,500,000",Boras Corp.,Frank McCourt,Ned Colletti,
"Rodriguez, Francisco",rhp-c,27,Type A,ANA,NYN,3,"$37,000,000 ",2009-11,vesting,,"$12,333,333",Paul Kinzer,Fred Wilpon,Omar Minaya,
"Perez, Oliver",lhp,27,Type A,NYN,NYN,3,"$36,000,000 ",2009-11,,,"$12,000,000",Boras Corp.,Fred Wilpon,Omar Minaya,
"Ibanez, Raul",of,37,Type A,SEA,PHI,3,"$31,500,000 ",2009-11,,,"$10,500,000",ACES,Bill Giles,Ruben Amaro Jr.,
"Bradley, Milton",of,31,Type B,TEX,CHN,3,"$30,000,000 ",2009-11,,,"$10,000,000",ACES,Tribune Co.,Jim Hendry,
"Furcal, Rafael",ss,31,,LAN,LAN,3,"$30,000,000 ",2009-11,,,"$10,000,000",Paul Kinzer,Frank McCourt,Ned Colletti,
"Wood, Kerry",rhp,32,Type A,CHN,CLE,2,"$20,500,000 ",2009-10,club,,"$10,250,000",SFX,Larry Dolan,Mark Shapiro,
"Dunn, Adam",of,29,Type A,ARI,WAS,2,"$20,000,000 ",2009-10,,,"$10,000,000",Brian Peters,Ted Lerner,JBowden/MRizzo,
"Renteria, Edgar",ss,32,Type A,DET,SFN,2,"$18,500,000 ",2009-10,club,,"$9,250,000",Meister Sports,Bill Neukom,Brian Sabean,
"Fuentes, Brian",lhp,33,Type A,COL,ANA,2,"$17,500,000 ",2009-10,club,,"$8,750,000",Beverly Hills SC,Arturo Moreno,Tony Reagins,
"Blake, Casey",3b,35,Type B,LAN,LAN,3,"$17,500,000 ",2009-11,club,,"$5,833,333",Jim McDowell,Frank McCourt,Ned Colletti,
"Burrell, Pat",of,32,Type A,PHI,TBA,2,"$16,000,000 ",2009-10,,,"$8,000,000",Greg Genske,Stuart Sternberg,Andrew Friedman,
"Moyer, Jamie",lhp,46,Type A,PHI,PHI,2,"$13,000,000 ",2009-10,,,"$6,500,000",Jamie Moyer,Bill Giles,Ruben Amaro Jr.,
"Rivera, Juan",of,30,,ANA,ANA,3,"$12,750,000 ",2009-11,,,"$4,250,000",SFX,Arturo Moreno,Tony Reagins,
"Farnsworth, Kyle",rhp,33,,DET,KCA,2,"$9,250,000 ",2009-10,club,,"$4,125,000",Meister Sports,David Glass,Dayton Moore,
"Punto, Nick",ss,31,,MIN,MIN,2,"$8,500,000 ",2009-10,,,"$4,250,000",,Carl & Jim Pohlad,Bill Smith,
"Johnson, Randy",lhp-s,45,Type B,ARI,SFN,1,"$8,000,000 ",2009,,,"$8,000,000",Alan Nero,Bill Neukom,Brian Sabean,
"Affeldt, Jeremy",lhp,30,Type B,CIN,SFN,2,"$8,000,000 ",2009-10,,,"$4,000,000",Michael Moye,Bill Neukom,Brian Sabean,
"Garland, Jon",rhp-s,29,Type B,ANA,ARI,1,"$7,250,000 ",2009,mutual,,"$7,250,000",Craig Landis,Ken Kendrick,Josh Byrnes,
"Hoffman, Trevor",rhp,41,Type A,SDN,MIL,1,"$6,000,000 ",2009,,,"$6,000,000",Beverly Hills SC,Mark Attanasio,Doug Melvin,
"Cruz, Juan",rhp,30,Type A,ARI,KCA,2,"$6,000,000 ",2009-10,club,,"$3,000,000",Praver-Shapiro,David Glass,Dayton Moore,
"Looper, Braden",rhp,34,Type B,SLN,MIL,1,"$5,500,000 ",2009,,,"$5,500,000",Hendricks Sports,Mark Attanasio,Doug Melvin,
"Pettitte, Andy",lhp-s,37,Type A,NYA,NYA,1,"$5,500,000 ",2009,,,"$5,500,000",Hendricks Sports,Hal Steinbrenner,Brian Cashman,
"Smoltz, John",rhp,42,Type B,ATL,BOS,1,"$5,500,000 ",2009,,,"$5,500,000",Career Sports,John Henry,Theo Epstein,
"Giambi, Jason",1b,38,,NYA,OAK,1,"$5,250,000 ",2009,club,,"$5,250,000",SFX,Lewis Wolff,Billy Beane,
"Abreu, Bobby",of,35,Type A,NYA,ANA,1,"$5,000,000 ",2009,,,"$5,000,000",Peter Greenberg,Arturo Moreno,Tony Reagins,
"Penny, Brad",rhp-s,31,Type B,LAN,BOS,1,"$5,000,000 ",2009,,,"$5,000,000",Brian Peters,John Henry,Theo Epstein,
"Varitek, Jason",c,37,Type A,BOS,BOS,1,"$5,000,000 ",2009,mutual,,"$5,000,000",Boras Corp.,John Henry,Theo Epstein,
"Wolf, Randy",lhp-s,32,Type B,HOU,LAN,1,"$5,000,000 ",2009,,,"$5,000,000",Arn Tellem,Frank McCourt,Ned Colletti,
"Izturis, Cesar",ss,29,,BAL,BAL,2,"$5,000,000 ",2009-10,,,"$2,500,000",,Peter Angelos,Andy MacPhail,
"Lyon, Brandon",rhp,29,Type B,ARI,DET,1,"$4,250,000 ",2009,,,"$4,250,000",Meister Sports,Mike Ilitch,Dave Dombrowski,
"Cabrera, Orlando",ss,34,Type A,CHA,OAK,1,"$4,000,000 ",2009,,,"$4,000,000",Dan Lozano,Lewis Wolff,Billy Beane,
"Lincoln, Mike",rhp,34,,CIN,CIN,2,"$4,000,000 ",2009-10,,,"$2,000,000",,Bob Castellini,Walt Jocketty,
"Rhodes, Arthur",lhp,39,Type B,FLA,CIN,2,"$4,000,000 ",2009-10,,,"$2,000,000",,Bob Castellini,Walt Jocketty,
"Vazquez, Ramon",3b,32,,TEX,PIT,2,"$4,000,000 ",2009-10,,,"$2,000,000",CSMG,Bob Nutting,Neal Huntington,
"Weathers, David",rhp,39,Type B,CIN,CIN,1,"$3,900,000 ",2009,,,"$3,900,000",Dan Horwits,Bob Castellini,Walt Jocketty,accepted salary arbitration
"Oliver, Darren",lhp,38,Type A,ANA,ANA,1,"$3,665,000 ",2009,,,"$3,665,000",Jay Franklin,Arturo Moreno,Tony Reagins,
"Lopez, Felipe",inf,29,,SLN,ARI,1,"$3,500,000 ",2009,,,"$3,500,000",Boras Corp.,Ken Kendrick,Josh Byrnes,
"Hudson, Orlando",2b,31,Type A,ARI,LAN,1,"$3,380,000 ",2009,,,"$3,380,000",Paul Cohen,Frank McCourt,Ned Colletti,
"Springer, Russ",rhp,40,Type A,SLN,OAK,1,"$3,300,000 ",2009,,,"$3,300,000",Hendricks Sports,Lewis Wolff,Billy Beane,
"Bloomquist, Willie",of,31,,SEA,KCA,2,"$3,100,000 ",2009-10,,,"$1,550,000",Boras Corp.,David Glass,Dayton Moore,
"Reyes, Dennys",lhp,32,Type B,MIN,SLN,2,"$3,000,000 ",2009-10,,,"$1,500,000",Oscar Suarez,Bill DeWitt Jr.,John Mozeliak,
"Ross, David",c,32,,BOS,ATL,2,"$3,000,000 ",2009-10,,,"$1,500,000",Ryan Gleichowski,Liberty Media,Frank Wren,
"Brocail, Doug",rhp,42,Type A,HOU,HOU,1,"$2,750,000 ",2009,club,,"$2,750,000",Meister Sports,Drayton McLane,Ed Wade,
"Howry, Bobby",rhp,35,Type A,CHN,SFN,1,"$2,750,000 ",2009,,,"$2,750,000",Craig Landis,Bill Neukom,Brian Sabean,
"Anderson, Garret",of,37,Type B,ANA,ATL,1,"$2,500,000 ",2009,,,"$2,500,000",Chris Arnold,Liberty Media,Frank Wren,
"Crede, Joe",3b,31,,CHA,MIN,1,"$2,500,000 ",2009,,,"$2,500,000",Boras Corp.,Carl & Jim Pohlad,Bill Smith,
"Park, Chan Ho",rhp,36,,LAN,PHI,1,"$2,500,000 ",2009,,,"$2,500,000",Boras Corp.,Bill Giles,Ruben Amaro Jr.,
"Mota, Guillermo",rhp,35,,MIL,LAN,1,"$2,350,000 ",2009,,,"$2,350,000",Adam Katz,Frank McCourt,Ned Colletti,
"Embree, Alan",rhp,39,Type B,OAK,COL,1,"$2,250,000 ",2009,club,,"$2,250,000",Chris Leible,Monfort brothers,Dan O'Dowd,
