Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Vaughn, Greg",of,34,Type A,CIN,TBA,4,"$34,000,000 ",2000-03,,,"$8,500,000",Eric Goldschmidt,Vince Naimoli,Chuck LaMar,
"Finley, Chuck",lhp-s,37,Type A,ANA,CLE,3,"$27,000,000 ",2000-02,,,"$9,000,000",Hendricks Sports,Larry Dolan,John Hart,
"Rogers, Kenny",lhp-s,35,Type A,NYN,TEX,3,"$22,500,000 ",2000-02,,,"$7,500,000",Boras Corp.,Tom Hicks,Doug Melvin,
"Olerud, John",1b,31,Type A,NYN,SEA,3,"$20,000,000 ",2000-02,,,"$6,666,666",,Nintendo/America,Pat Gillick,
"Oliver, Darren",lhp,29,Type B,SLN,TEX,3,"$19,000,000 ",2000-02,,,"$6,333,333",Boras Corp.,Tom Hicks,Doug Melvin,
"Benes, Andy",rhp,32,Type A,ARI,SLN,3,"$18,000,000 ",2000-02,,,"$6,000,000",Boras Corp.,Bill DeWitt Jr.,Walt Jocketty,
"Zeile, Todd",1b,34,Type A,TEX,NYN,3,"$18,000,000 ",2000-02,,,"$6,000,000",ACES,Wilpon/Doubleday,Steve Phillips,
"Sele, Aaron",rhp,30,Type A,TEX,SEA,2,"$15,000,000 ",2000-01,,,"$7,500,000",Reich Katz Landis,Nintendo/America,Pat Gillick,
"Rhodes, Arthur",lhp,30,Type A,BAL,SEA,4,"$13,000,000 ",2000-03,,,"$3,250,000",Dan Horwits,Nintendo/America,Pat Gillick,
"Guzman, Juan",rhp,33,Type A,CIN,TBA,2,"$12,500,000 ",2000-01,,,"$6,250,000",Tony Attanasio,Vince Naimoli,Chuck LaMar,
"Cone, David",rhp-s,37,Type A,NYA,NYA,1,"$12,000,000 ",2000,,,"$12,000,000",Steve Fehr,Geo Steinbrenner,Brian Cashman,
"Goodwin, Tom",of,31,Type B,TEX,COL,3,"$10,750,000 ",2000-02,,,"$3,583,333",,Jerry McMorris,Dan O'Dowd,
"Hernandez, Jose",ss,30,Type A,ATL,MIL,3,"$10,000,000 ",2000-02,,,"$3,333,333",Boras Corp.,Wendy Selig-Prieb,Dean Taylor,
"Cordero, Wil",inf,28,,CLE,PIT,3,"$9,000,000 ",2000-02,,,"$3,000,000",Jeff Moorad,Kevin McClatchy,Cam Bonifay,
"Lloyd, Graeme",lhp,33,Type A,TOR,MON,3,"$9,000,000 ",2000-02,,,"$3,000,000",,Jeffrey Loria,Jim Beattie,
"Olivares, Omar",rhp,32,Type A,OAK,OAK,2,"$8,000,000 ",2000-01,,,"$4,000,000",Meister Sports,Schott / Hofmann,Billy Beane,
"Trombley, Mike",rhp,33,Type A,MIN,BAL,3,"$7,750,000 ",2000,,,"$2,583,333",,Peter Angelos,Syd Thrift,
"Stanton, Mike",lhp,33,,NYA,NYA,3,"$7,350,000 ",2000-02,,,"$2,450,000",ACES,Geo Steinbrenner,Brian Cashman,
"Williams, Gerald",of,33,Type B,ATL,TBA,2,"$5,750,000 ",2000-01,,,"$2,875,000",ACES,Vince Naimoli,Chuck LaMar,
"Conine, Jeff",1b,34,,BAL,BAL,2,"$5,550,000 ",2000-01,,,"$2,750,000",,Peter Angelos,Syd Thrift,
"Girardi, Joe",c,35,,NYA,CHN,3,"$5,500,000 ",2000-02,,,"$1,833,333",Alan Nero,Tribune Co.,Ed Lynch,
"Dipoto, Jerry",rhp,32,Type A,COL,COL,2,"$4,900,000 ",2000-01,,,"$2,450,000",,Jerry McMorris,Dan O'Dowd,
"Sanchez, Rey",ss,32,Type B,KCA,KCA,2,"$4,600,000 ",2000-01,,,"$2,300,000",Boras Corp.,Gtr KC Foundation,Herk Robinson,
"Segui, David",1b,33,Type B,TOR,TOR,1,"$4,325,000 ",2000,,,"$4,325,000",Boras Corp.,Interbrew SA,Gord Ash,
"Mayne, Brent",c,32,Type A,SFN,COL,2,"$4,150,000 ",2000-01,,,"$2,075,000",Meister Sports,Jerry McMorris,Dan O'Dowd,
"Groom, Buddy",lhp,34,Type B,OAK,BAL,2,"$4,000,000 ",2000-01,,,"$2,000,000",,Peter Angelos,Syd Thrift,
"Springer, Russ",rhp,31,Type A,ATL,ARI,2,"$4,000,000 ",2000-01,,,"$2,000,000",Hendricks Sports,Jerry Colangelo,Joe Garagiola Jr.,
"Kamieniecki, Scott",rhp,36,,BAL,CLE,2,"$3,600,000 ",2000-01,,,"$1,800,000",Hendricks Sports,Larry Dolan,John Hart,
"Olson, Gregg",rhp,33,Type A,ARI,LAN,2,"$3,500,000 ",2000-01,,,"$1,750,000",Jeff Moorad,Fox Ent Group,Kevin Malone,
"Slocumb, Heathcliff",rhp,34,,SLN,SLN,2,"$3,450,000 ",2000-01,,,"$1,725,000",,Bill DeWitt Jr.,Walt Jocketty,
"Jackson, Mike",rhp,35,,CLE,PHI,1,"$3,000,000 ",2000,club,,"$3,000,000",,Bill Giles,Ed Wade,
