Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Watson, Allen",lhp,29,,NYA,NYA,2,"$3,000,000 ",2000-01,,,"$1,500,000",,Geo Steinbrenner,Brian Cashman,
"Myers, Greg",c,34,Type B,BAL,BAL,2,"$2,600,000 ",2000-01,,,"$1,300,000",,Peter Angelos,Syd Thrift,
"Gutierrez, Ricky",ss,30,Type A,HOU,CHN,1,"$2,500,000 ",2000,,,"$2,500,000",,Tribune Co.,Ed Lynch,
"Hershiser, Orel",rhp-s,41,Type B,NYN,LAN,1,"$2,500,000 ",2000,,,"$2,500,000",Bronner/Gilhooley,Fox Ent Group,Kevin Malone,
"Eubesio, Tony",c,33,Type A,HOU,HOU,2,"$2,400,000 ",2000-01,,,"$1,200,000",,Drayton McLane,Gerry Hunsicker,
"McLemore, Mark",2b,35,Type A,TEX,SEA,1,"$2,250,000 ",2000,,,"$2,250,000",Tony Attanasio,Nintendo/America,Pat Gillick,
"Baines, Harold",of,41,Type B,CLE,BAL,1,"$2,000,000 ",2000,,,"$2,000,000",Jack Sands,Peter Angelos,Syd Thrift,
"Fassero, Jeff",lhp,37,,TEX,BOS,1,"$2,000,000 ",2000,,,"$2,000,000",ACES,JRY Trust,Dan Duquette,
"Magnante, Mike",lhp,35,Type B,ANA,OAK,2,"$2,000,000 ",2000,,,"$1,000,000",,Schott / Hofmann,Billy Beane,
"Weathers, David",rhp,30,Type B,MIL,MIL,2,"$1,850,000 ",2000-01,,,"$925,000",Jeff Borris,Wendy Selig-Prieb,Dean Taylor,
"Seanez, Rudy",rhp,31,Type A,ATL,ATL,1,"$1,650,000 ",2000,,,"$1,650,000",Alan Nero,Time Warner,John Schuerholz,
"Javier, Stan",of,36,Type B,HOU,SEA,1,"$1,500,000 ",2000,,,"$1,500,000",,Nintendo/America,Pat Gillick,
"Rodriguez, Rich",lhp,37,Type C,SFN,NYN,2,"$1,500,000 ",2000-01,,,"$750,000",Dennis Gilbert,Wilpon/Doubleday,Steve Phillips,
"Polonia, Luis",of,36,,DET,DET,1,"$1,400,000 ",2000,,,"$1,400,000",,Mike Ilitch,Randy Smith,
"Rapp, Pat",rhp,32,Type B,BOS,BAL,1,"$1,050,000 ",2000,,,"$1,050,000",,Peter Angelos,Syd Thrift,
"Trachsel, Steve",rhp-s,29,Type B,CHN,TBA,1,"$1,000,000 ",2000,,,"$1,000,000",ACES,Vince Naimoli,Chuck LaMar,
"Munoz, Mike",lhp,34,,TEX,TEX,1,"$850,000 ",2000,,,"$850,000",Dennis Gilbert,Tom Hicks,Doug Melvin,
"Bere, Jason",rhp,29,,MIL,MIL,1,"$800,000 ",2000,,,"$800,000",,Wendy Selig-Prieb,Dean Taylor,
"Henry, Doug",rhp,36,Type B,HOU,HOU,1,"$800,000 ",2000,,,"$800,000",,Drayton McLane,Gerry Hunsicker,
"Alicea, Luis",2b,34,,TEX,TEX,1,"$750,000 ",2000,,,"$750,000",,Tom Hicks,Doug Melvin,
"Shumpert, Terry",2b,33,Type B,COL,COL,1,"$750,000 ",2000,,,"$750,000",,Jerry McMorris,Dan O'Dowd,
"Howard, Thomas",of,35,,SLN,SLN,1,"$650,000 ",2000,,,"$650,000",,Bill DeWitt Jr.,Walt Jocketty,
"Buhner, Jay",of,35,Type B,SEA,SEA,1,"$600,000 ",2000,,,"$600,000",Hendricks Sports,Nintendo/America,Pat Gillick,
"Lewis, Mark",3b,30,,CIN,CIN,1,"$600,000 ",2000,,,"$600,000",Boras Corp.,Carl Lindner,Jim Bowden,
"Williams, Brian",rhp,31,,HOU,CHN,1,"$600,000 ",2000,,,"$600,000",,Tribune Co.,Ed Lynch,
"Brantley, Jeff",rhp,36,Type B,PHI,PHI,1,"$250,000 ",2000,,,"$250,000",,Bill Giles,Ed Wade,
"Abbott, Kurt",inf,31,Type C,COL,NYN,0,$1 ,2000,,,,Steve Comte,Wilpon/Doubleday,Steve Phillips,"$500,000 in majors"
"Assenmacher, Paul",lhp,39,,CLE,ATL,0,$1 ,2000,,,,Bronner/Gilhooley,Time Warner,John Schuerholz,
"Avery, Steve",lhp,30,Type C,CIN,ATL,0,$1 ,2000,,,,Boras Corp.,Time Warner,John Schuerholz,"$800,000 in majors"
"Ayala, Bobby",rhp,30,,CHN,MIN,0,$1 ,2000,,,,Eric Goldschmidt,Carl Pohlad,Terry Ryan,"$600,000 in majors"
"Borders, Pat",c,37,,TOR,TBA,0,$1 ,2000,,,,Joe Maenza,Vince Naimoli,Chuck LaMar,
"Burkett, John",rhp,35,Type B,TEX,TBA,0,$1 ,2000,,,,Tommy Tanzer,Vince Naimoli,Chuck LaMar,"$850,000 in majors"
"Charlton, Norm",lhp,37,,TBA,TBA,0,$1 ,2000,,,,Hendricks Sports,Vince Naimoli,Chuck LaMar,"$500,000 in majors"
"Corsi, Jim",rhp,38,Type B,BAL,ARI,0,$1 ,2000,,,,,Jerry Colangelo,Joe Garagiola Jr.,
"Dunston, Shawon",of,37,,NYN,SLN,0,$1 ,2000,,,,Eric Goldschmidt,Bill DeWitt Jr.,Walt Jocketty,"$600,000 in majors"
"Fetters, Mike",rhp,35,,BAL,LAN,0,$1 ,2000,,,,Dennis Gilbert,Fox Ent Group,Kevin Malone,
"Gooden, Dwight",rhp-s,35,Type C,CLE,HOU,0,$1 ,2000,,,,,Drayton McLane,Gerry Hunsicker,
"Haney, Chris",lhp,31,,CLE,CLE,0,$1 ,2000,,,,,Larry Dolan,John Hart,"$500,000 in majors"
"Hayes, Charlie",c,35,Type C,SFN,NYN,0,$1 ,2000,,,,Tommy Tanzer,Wilpon/Doubleday,Steve Phillips,"$500,000 in majors"
"Howard, David",ss,33,,SLN,COL,0,$1 ,2000,,,,,Jerry McMorris,Dan O'Dowd,
"Hunter, Brian",1b,32,,ATL,ATL,0,$1 ,2000,,,,Paul Cohen,Time Warner,John Schuerholz,"$350,000 in majors"
"Huson, Jeff",inf,35,,ANA,CHN,0,$1 ,2000,,,,,Tribune Co.,Ed Lynch,"$300,000 in majors"
"Kelly, Roberto",of,35,Type B,TEX,NYA,0,$1 ,2000,,,,,Geo Steinbrenner,Brian Cashman,"$800,000 in majors"
"Langston, Mark",lhp-s,39,,CLE,CLE,0,$1 ,2000,,,,Arn Tellem,Larry Dolan,John Hart,"$300,000 in majors"
"Leiter, Mark",rhp,37,Type A,SEA,PIT,0,$1 ,2000,,,,,Kevin McClatchy,Cam Bonifay,
"McMichael, Greg",rhp,33,,OAK,CHN,0,$1 ,2000,,,,,Tribune Co.,Ed Lynch,"$400,000 in majors"
"McRae, Brian",of,32,Type B,TOR,SLN,0,$1 ,2000,,,,Richard Moss,Bill DeWitt Jr.,Walt Jocketty,"$500,000 in majors"
"Mercker, Kent",lhp,32,Type B,BOS,ANA,0,$1 ,2000,,,,Casey Close,Disney Co.,Bill Stoneman,"$850,000 in majors"
"Morandini, Mickey",2b,34,Type A,CHN,MON,0,$1 ,2000,,,,Rex Gary,Jeffrey Loria,Jim Beattie,"$750,000 in majors"
"Morgan, Mike",rhp,40,Type C,TEX,ARI,0,$1 ,2000,,,,,Jerry Colangelo,Joe Garagiola Jr.,
"Oliver, Joe",c,34,,PIT,SEA,0,$1 ,2000,,,,Hendricks Sports,Nintendo/America,Pat Gillick,"$400,000 in majors"
"Pichardo, Hipolito",rhp,30,,KCA,BOS,0,$1 ,2000,,,,,JRY Trust,Dan Duquette,"$800,000 in majors"
"Raines, Tim",of,40,Type B,OAK,NYA,0,$1 ,2000,,,,,Geo Steinbrenner,Brian Cashman,"$400,000 in majors"
"Santiago, Benito",c,35,Type B,CHN,CIN,0,$1 ,2000,,,,,Carl Lindner,Jim Bowden,
"Servais, Scott",c,33,Type B,SFN,COL,0,$1 ,2000,,,,,Jerry McMorris,Dan O'Dowd,"$625,000 in majors"
"Sojo, Luis",2b,35,,NYA,PIT,0,$1 ,2000,,,,,Kevin McClatchy,Cam Bonifay,
"Sorrento, Paul",1b,34,,TBA,KCA,0,$1 ,2000,,,,,Gtr KC Foundation,Herk Robinson,"$375,000 in majors"
"Sprague, Ed",3b,32,Type C,PIT,SDN,0,$1 ,2000,,,,,John Moores,Kevin Towers,"$800,000 in majors"
"Sveum, Dale",3b,36,,PIT,PIT,0,$1 ,2000,,,,,Kevin McClatchy,Cam Bonifay,"$400,000 in majors"
"Ward, Turner",of,35,,ARI,ARI,0,$1 ,2000,,,,,Jerry Colangelo,Joe Garagiola Jr.,
"Witt, Bobby",rhp,36,,TBA,CLE,0,$1 ,2000,,,,Alan Nero,Larry Dolan,John Hart,
"Wohlers, Mark",rhp,30,,CIN,CIN,0,$1 ,2000,,,,ACES,Carl Lindner,Jim Bowden,
"Worrell, Tim",rhp,32,Type B,OAK,BAL,0,$1 ,2000,,,,Paul Cohen,Peter Angelos,Syd Thrift,"$700,000 in majors"
,,,,,,,,,,,,,,,
"Nilsson, Dave",c,30,Type A,MIL,NPB,1,,,,,,,,,Signed by Chunichi of Japan
"Fernandez, Tony",3b,38,,TOR,NPB,1,"$2,750,000 ",,,,,,,,Signed by Seibu of Japan
"Jefferson, Reggie",dh,31,,BOS,NPB,1,"$1,500,000 ",,,,,Bronner/Gilhooley,,,Signed by Seibu of Japan
,,,,,,,,,,,,,,,
Remaining Free Agents (20),,,,,,,,,,,,,,,
"Baerga, Carlos",2b,31,Type C,CLE,dnp,,,,,,,Boras Corp.,,,
"Blauser, Jeff",ss,34,Type B,CHN,dnp,,,,,,,Boras Corp.,,,
"Blowers, Mike",1b,35,,SEA,dnp,,,,,,,Larry O'Brien,,,
"Howell, Jack",inf,38,,HOU,dnp,,,,,,,Bronner/Gilhooley,,,
"Jackson, Darrin",of,36,,CHA,dnp,,,,,,,Alan Meersand,,,
"Kreuter, Chad",c,35,Type C,KCA,dnp,,,,,,,Boras Corp.,,,
"Leius, Scott",inf,34,,KCA,dnp,,,,,,,,,,
"Macfarlane, Mike",c,36,Type B,OAK,dnp,,,,,,,Jeff Moorad,,,
"Manwaring, Kirt",c,34,Type B,COL,dnp,,,,,,,,,,
"McGee, Willie",of,41,,SLN,dnp,,,,,,,Reich Katz Landis,,,
"Montgomery, Jeff",rhp,38,Type C,KCA,dnp,,,,,,,Meister Sports,,,
"Nixon, Otis",of,41,,ATL,dnp,,,,,,,Joe Sroba,,,
"Osbourne, Donovan",lhp-s,31,,SLN,dnp,,,,,,,,,,
"Phillips, Tony",2b,41,Type B,OAK,dnp,,,,,,,Tony Attanasio,,,
Plunk Eric,rhp,36,Type B,MIL,dnp,,,,,,,,,,
"Risley, Bill",rhp,33,,TOR,dnp,,,,,,,Steve Comte,,,
"Ritz, Kevin",rhp,35,,COL,dnp,,,,,,,,,,
"Spehr, Tim",c,33,,KCA,dnp,,,,,,,Hendricks Sports,,,
"Steinbach, Terry",c,38,Type A,MIN,dnp,,,,,,,Charlie Sutton,,,
"Strange, Doug",3b,36,,PIT,dnp,,,,,,,Steve Comte,,,
