FREE AGENTS 2012,,The 166 XX(B) free agents for the 2011-12 off-season. ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Number in group,Percentage of group,,Ave. Years,Guarantee,,,,,,,,
2012 TOTAL,,,166,100%,,,"$1,300,125,058 ",,,,,,,,
Average Guarantee,,,,,,1.16,"$9,220,745 ",,,,,,,,
Median Guarantee,,,,,,,"$1,500,000 ",,,,,,,,
Major League contracts,,,101,61%,,,,,,,,,,,
Minor League contracts,,,40,24%,,,,,,,,,,,
International Contracts,,,2,1%,,,,,,,,,,,
Retired / Did Not Play,,,23,14%,,,,,,,,,,,
,,,,,,,,,,,,,,,
Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Pujols, Albert",1b,32,Type A,SLN,ANA,10,"$240,000,000 ",2012-2021,,,"$24,000,000",Dan Lozano,Arturo Moreno,Jerry Dipoto,
"Fielder, Prince",1b,28,Type A,MIL,DET,9,"$214,000,000 ",2014-22,,,"$23,777,777",Boras Corp.,Mike Ilitch,Dave Dombrowski,
"Reyes, Jose",ss,29,Type A,NYN,MIA,6,"$106,000,000 ",2012-17,,,"$17,666,666",Peter Greenberg,Jeffrey Loria,L Beinfest / M Hill,
"Wilson, C.J.",lhp-s,31,Type A,TEX,ANA,5,"$77,500,000 ",2012-16,,,"$15,500,000",Select Sports,Arturo Moreno,Jerry Dipoto,
"Buehrle, Mark",lhp-s,33,Type B,CHA,MIA,4,"$58,000,000 ",2012-15,,,"$14,500,000",CAA,Jeffrey Loria,L Beinfest / M Hill,
"Papelbon, Jonathan",rhp,31,Type A,BOS,PHI,4,"$50,000,058 ",2012-15,,,"$12,500,014",ACES,Bill Giles,Ruben Amaro Jr.,
"Rollins, Jimmy",ss,33,Type A,PHI,PHI,3,"$38,000,000 ",2012-14,club,,"$12,666,666",Dan Lozano,Bill Giles,Ruben Amaro Jr.,
"Ramirez, Aramis",3b,34,Type B,CHN,MIL,3,"$36,000,000 ",2012-14,mutual,,"$12,000,000",Paul Kinzer,Mark Attanasio,Doug Melvin,
"Cuddyer, Michael",of,33,Type A,MIN,COL,3,"$31,500,000 ",2012-14,,,"$10,500,000",Casey Close,Monfort brothers,Dan O'Dowd,
"Bell, Heath",rhp,34,Type A,SDN,MIA,3,"$27,000,000 ",2012-14,vesting,,"$9,000,000",ACES,Jeffrey Loria,L Beinfest / M Hill,
"Beltran, Carlos",of,35,Type A,SFN,SLN,2,"$26,000,000 ",2012-13,,,"$13,000,000",Dan Lozano,Bill DeWitt Jr.,John Mozeliak,
"Willingham, Josh",of,33,Type A,OAK,MIN,3,"$21,000,000 ",2012-14,,,"$7,000,000",Matt Sosnick,Jim Pohlad,Terry Ryan,
"Kubel, Jason",of,30,Type B,MIN,ARI,2,"$15,500,000 ",2012-13,mutual,,"$7,750,000",Wasserman,Ken Kendrick,Kevin Towers,
"Ortiz, David",dh,36,Type A,BOS,BOS,1,"$14,575,000 ",2012,,,"$14,575,000",Fern Cuza,John Henry,Ben Cherington,
"Nathan, Joe",rhp,37,,MIN,TEX,2,"$14,500,000 ",2012-13,,,"$7,250,000",Dave Pepe,RDavis/BSimpson,Jon Daniels,
"Crisp, Coco",of,32,,OAK,OAK,2,"$14,000,000 ",2012-13,club,,"$7,000,000",Steve Comte,Lewis Wolff,Billy Beane,
"Furcal, Rafael",ss,34,Type B,SLN,SLN,2,"$14,000,000 ",2012-13,,,"$7,000,000",Paul Kinzer,Bill DeWitt Jr.,John Mozeliak,
"Harang, Aaron",rhp,34,Type B,SDN,LAN,2,"$12,000,000 ",2012-13,mutual,,"$6,000,000",ACES,Frank McCourt,Ned Colletti,
"Francisco, Frank",rhp,32,Type B,TOR,NYN,2,"$12,000,000 ",2012-13,,,"$6,000,000",Praver-Shapiro,Fred Wilpon,Sandy Alderson,
"Jackson, Edwin",rhp-s,28,Type B,SLN,WAS,1,"$11,000,000 ",2012,,,"$11,000,000",Boras Corp.,Ted Lerner,Mike Rizzo,
"Hill, Aaron",2b,30,Type B,ARI,ARI,2,"$11,000,000 ",2012-13,,,"$5,500,000",Casey Close,Ken Kendrick,Kevin Towers,
"Barmes, Clint",ss,33,Type B,HOU,PIT,2,"$10,500,000 ",2012-13,,,"$5,250,000",Meister Sports,Bob Nutting,Neal Huntington,
"Kuroda, Hiroki",rhp-s,37,Type B,LAN,NYA,1,"$10,000,000 ",2012,,,"$10,000,000",Steve Hilliard,Hal Steinbrenner,Brian Cashman,
"DeJesus, David",of,32,Type B,OAK,CHN,2,"$10,000,000 ",2012-13,,,"$5,000,000",ACES,Tom Ricketts,T Epstein / JHoyer,
"Capuano, Chris",lhp,33,,NYN,LAN,2,"$10,000,000 ",2012,club,,"$5,000,000",Michael Moye,Frank McCourt,Ned Colletti,
"Chen, Bruce",lhp,35,Type B,KCA,KCA,2,"$9,000,000 ",2012-13,,,"$4,500,000",Boras Corp.,David Glass,Dayton Moore,
"Ellis, Mark",2b,35,Type B,COL,LAN,2,"$8,750,000 ",2012-13,,,"$4,375,000",Jamie Murphy,Frank McCourt,Ned Colletti,
"Madson, Ryan",rhp,31,Type A,PHI,CIN,1,"$8,500,000 ",2012,mutual,,"$8,500,000",Boras Corp.,Bob Castellini,Walt Jocketty,
"Rodrigeuz, Fernando",rhp,30,Type A,MIL,MIL,1,"$8,000,000 ",2012,,,"$8,000,000",Boras Corp.,Mark Attanasio,Doug Melvin,
"Pena, Carlos",1b,34,Type B,CHN,TBA,1,"$7,250,000 ",2012,,,"$7,250,000",Boras Corp.,Stuart Sternberg,Andrew Friedman,
"Carroll, Jamey",of,38,,LAN,MIN,2,"$6,500,000 ",2012-13,club,,"$3,250,000",Jonathan Maurer,Jim Pohlad,Terry Ryan,
"Hernandez, Ramon",c,36,Type A,CIN,COL,2,"$6,400,000 ",2012-13,,,"$3,200,000",Eric Goldschmidt,Monfort brothers,Dan O'Dowd,
"Johnson, Kelly",2b,30,Type A,TOR,TOR,1,"$6,375,000 ",2012,,,"$6,375,000",SFX,Edward Rogers,Alex Anthopoulos,
"Hairston Jr., Jerry",inf-of,36,,MIL,LAN,2,"$6,000,000 ",2012-13,,,"$3,000,000",Casey Close,Frank McCourt,Ned Colletti,
"Sizemore, Grady",of,29,,CLE,CLE,1,"$5,000,000 ",2012,,,"$5,000,000",Joe Urban,Larry Dolan,Shapiro/Antonetti,
"Maholm, Paul",lhp,30,,PIT,CHN,1,"$4,750,000 ",2012,club,,"$4,750,000",Bo McKinnis,Tom Ricketts,T Epstein / JHoyer,
"Capps, Matt",rhp,28,Type A,MIN,MIN,1,"$4,750,000 ",2012,club,,"$4,750,000",Paul Kinzer,Jim Pohlad,Terry Ryan,
"Rivera, Juan",of,33,,LAN,LAN,1,"$4,500,000 ",2012,club,,"$4,500,000",SFX,Frank McCourt,Ned Colletti,
"Bedard, Erik",lhp-s,33,,BOS,PIT,1,"$4,500,000 ",2012,,,"$4,500,000",SFX,Bob Nutting,Neal Huntington,
"Cordero, Francisco",rhp,37,Type A,CIN,TOR,1,"$4,500,000 ",2012,,,"$4,500,000",Bean Stringfellow,Edward Rogers,Alex Anthopoulos,
"Gonzalez, Alex",ss,35,Type B,ATL,MIL,1,"$4,250,000 ",2012,vesting,,"$4,250,000",Eric Goldschmidt,Mark Attanasio,Doug Melvin,
"Santiago, Ramon",ss,32,,DET,DET,2,"$4,200,000 ",2012,,,"$2,100,000",Bill Rego,Mike Ilitch,Dave Dombrowski,
"Broxton, Jonathan",rhp,28,,LAN,KCA,1,"$4,000,000 ",2012,,,"$4,000,000",Boras Corp.,David Glass,Dayton Moore,
"Garcia, Freddy",rhp,35,Type B,NYA,NYA,1,"$4,000,000 ",2012,,,"$4,000,000",Peter Greenberg,Hal Steinbrenner,Brian Cashman,
"Barajas, Rod",c,36,Type B,LAN,PIT,1,"$4,000,000 ",2012,club,,"$4,000,000",Dan Lozano,Bob Nutting,Neal Huntington,
"Oliver, Darren",lhp,41,Type A,TEX,TOR,1,"$4,000,000 ",2012,club,,"$4,000,000",Jay Franklin,Edward Rogers,Alex Anthopoulos,
"Wang, Chien-Ming",rhp,32,,WAS,WAS,1,"$4,000,000 ",2012,,,"$4,000,000",Alan Nero,Ted Lerner,Mike Rizzo,
"Bllomquist, Willie",inf,34,,ARI,ARI,2,"$3,800,000 ",2012-13,,,"$1,900,000",Boras Corp.,Ken Kendrick,Kevin Towers,
"Dotel, Octavio",rhp,38,Type A,SLN,DET,1,"$3,500,000 ",2012,club,,"$3,500,000",Dan Horwits,Mike Ilitch,Dave Dombrowski,
"Rauch, Jon",rhp-s,33,Type B,TOR,NYN,1,"$3,500,000 ",2012,,,"$3,500,000",,Fred Wilpon,Sandy Alderson,
"Betemit, Wilson",3b,30,Type B,DET,BAL,2,"$3,250,000 ",2012-13,vesting,,"$1,625,000",Wasserman,Peter Angelos,Dan Duquette,
