FREE AGENTS 2012,,The 166 XX(B) free agents for the 2011-12 off-season. ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Number in group,Percentage of group,,Ave. Years,Guarantee,,,,,,,,
"Hawkins, LaTroy",rhp,39,,MIL,ANA,1,"$3,000,000 ",2012,,,"$3,000,000",Reynolds Sports,Arturo Moreno,Jerry Dipoto,
"McDonald, John",inf,37,,ARI,ARI,1,"$3,000,000 ",2012,,,"$3,000,000",SFX,Ken Kendrick,Kevin Towers,
"Ross, Cody",of,31,Type B,SFN,BOS,1,"$3,000,000 ",2012,,,"$3,000,000",SFX,John Henry,Ben Cherington,
"Wood, Kerry",rhp,35,Type B,CHN,CHN,1,"$3,000,000 ",2012,club,,"$3,000,000",SFX,Tom Ricketts,T Epstein / JHoyer,
"Kotchman, Casey",1b,29,,TBA,CLE,1,"$3,000,000 ",2012,,,"$3,000,000",Casey Close,Larry Dolan,Shapiro/Antonetti,
"Doumit, Ryan",c,31,Type B,PIT,MIN,1,"$3,000,000 ",2012,,,"$3,000,000",Paul Cobbe,Jim Pohlad,Terry Ryan,
"Marquis, Jason",rhp,33,,ARI,MIN,1,"$3,000,000 ",2012,,,"$3,000,000",ACES,Jim Pohlad,Terry Ryan,
"Punto, Nick",inf,34,,SLN,BOS,2,"$3,000,000 ",2012-13,,,"$1,500,000",Jeff Caufield,John Henry,Ben Cherington,
"Dobbs, Greg",3b,33,,MIA,MIA,2,"$3,000,000 ",2012-13,,,"$1,500,000",Beverly Hills SC,Jeffrey Loria,L Beinfest / M Hill,
"Ludwick, Ryan",of,33,Type B,PIT,CIN,1,"$2,500,000 ",2012,mutual,,"$2,500,000",Dan Horwits,Bob Castellini,Walt Jocketty,
"Nix, Laynce",of,31,,WAS,PHI,1,"$2,500,000 ",2012,,,"$2,500,000",Don Mitchell,Bill Giles,Ruben Amaro Jr.,
"Blake, Casey",3b,38,,LAN,COL,1,"$2,000,000 ",2012,,,"$2,000,000",Jim McDowell,Monfort brothers,Dan O'Dowd,
"Betancourt, Yuniesky",ss,30,Type B,MIL,KCA,1,"$2,000,000 ",2012,,,"$2,000,000",Jaime Torres,David Glass,Dayton Moore,
"Jones, Andruw",of,35,,NYA,NYA,1,"$2,000,000 ",2012,,,"$2,000,000",Boras Corp.,Hal Steinbrenner,Brian Cashman,
"Colon, Bartolo",rhp-s,39,,NYA,OAK,1,"$2,000,000 ",2012,,,"$2,000,000",Mitch Frankel,Lewis Wolff,Billy Beane,
"Rodney, Fernando",rhp,35,,ANA,TBA,1,"$2,000,000 ",2012,club,,"$2,000,000",Bill Rego,Stuart Sternberg,Andrew Friedman,
"Molina, Jose",c,37,Type B,TOR,TBA,1,"$1,800,000 ",2012,club,,"$1,800,000",Alan Nero,Stuart Sternberg,Andrew Friedman,
"Saito, Takashi",rhp,42,Type A,MIL,ARI,1,"$1,750,000 ",2012,,,"$1,750,000",CAA,Ken Kendrick,Kevin Towers,
"McLouth, Nate",of,30,,ATL,PIT,1,"$1,750,000 ",2012,,,"$1,750,000",Mike Nicotera,Bob Nutting,Neal Huntington,
"Blanco, Henry",c,40,,ARI,ARI,1,"$1,500,000 ",2012,mutual,,"$1,500,000",Steve Schneider,Ken Kendrick,Kevin Towers,
"Chavez, Endy",of,34,,TEX,BAL,1,"$1,500,000 ",2012,,,"$1,500,000",Peter Greenberg,Peter Angelos,Dan Duquette,
"Shoppach, Kelly",c,32,,TBA,BOS,1,"$1,350,000 ",2012,,,"$1,350,000",LSW Baseball,John Henry,Ben Cherington,
"Coffey, Todd",rhp,31,,WAS,LAN,1,"$1,300,000 ",2012,club,,"$1,300,000",Beverly Hills SC,Frank McCourt,Ned Colletti,
"Thome, Jim",1b,41,,CLE,PHI,1,"$1,250,000 ",2012,,,"$1,250,000",SFX,Bill Giles,Ruben Amaro Jr.,
"Kotsay, Mark",of,36,,MIL,SDN,1,"$1,250,000 ",2012,,,"$1,250,000",Greg Genske,John Moores,Josh Byrnes,
"Johnson, Reed",of,35,,CHN,CHN,1,"$1,150,000 ",2012,,,"$1,150,000",Wasserman,Tom Ricketts,T Epstein / JHoyer,
"Cedeno, Ronny",ss,29,,PIT,NYN,1,"$1,150,000 ",2012,,,"$1,150,000",Peter Greenberg,Fred Wilpon,Sandy Alderson,
"Qualls, Chad",rhp,33,,SDN,PHI,1,"$1,150,000 ",2012,,,"$1,150,000",Matt Sosnick,Bill Giles,Ruben Amaro Jr.,
"Ibanez, Raul",of,40,Type B,PHI,NYA,1,"$1,100,000 ",2012,,,"$1,100,000",ACES,Hal Steinbrenner,Brian Cashman,
"Sherrill, George",lhp,35,,ATL,SEA,1,"$1,100,000 ",2012,,,"$1,100,000",Athletic Resource,Nintendo/America,Jack Zduriencik,
"Overbay, Lyle",1b,35,,ARI,ARI,1,"$1,000,000 ",2012,,,"$1,000,000",Steve Hilliard,Ken Kendrick,Kevin Towers,
"Wilson, Jack",ss-2b,34,,ATL,ATL,1,"$1,000,000 ",2012,,,"$1,000,000",PSI Sports,Liberty Media,Frank Wren,
"Fukudome, Kosuke",of,35,,CLE,CHA,1,"$1,000,000 ",2012,club,,"$1,000,000",Octagon,Jerry Reinsdorf,Ken Williams,
"Laird, Gerald",c,32,,SLN,DET,1,"$1,000,000 ",2012,,,"$1,000,000",Boras Corp.,Mike Ilitch,Dave Dombrowski,
"MacDougal, Mike",rhp,35,,LAN,LAN,1,"$1,000,000 ",2012,,,"$1,000,000",Rex Gary,Frank McCourt,Ned Colletti,
"Treanor, Matt",c,36,,TEX,LAN,1,"$1,000,000 ",2012,club,,"$1,000,000",Wasserman,Frank McCourt,Ned Colletti,
"Gomes, Jonny",of,31,,WAS,OAK,1,"$1,000,000 ",2012,,,"$1,000,000",ACES,Lewis Wolff,Billy Beane,
"Mota, Guillermo",rhp,38,,SFN,SFN,1,"$1,000,000 ",2012,,,"$1,000,000",Adam Katz,Charles Johnson,Brian Sabean,
"Lidge, Brad",rhp,35,Type B,PHI,WAS,1,"$1,000,000 ",2012,,,"$1,000,000",Jim Turner,Ted Lerner,Mike Rizzo,
"Ayala, Luis",rhp,34,,NYA,BAL,1,"$925,000 ",2012,club,,"$925,000",Joe Longo,Peter Angelos,Dan Duquette,
"Chavez, Eric",3b,34,,NYA,NYA,1,"$900,000 ",2012,,,"$900,000",ABC Mgmt,Hal Steinbrenner,Brian Cashman,
"Zumaya, Joel",rhp,27,,DET,MIN,1,"$850,000 ",2012,,,"$850,000",Hendricks Sports,Jim Pohlad,Terry Ryan,
"Willis, Dontrelle",lhp,30,,CIN,PHI,1,"$850,000 ",2012,,,"$850,000",Matt Sosnick,Bill Giles,Ruben Amaro Jr.,
"Kennedy, Adam",2b,36,,SEA,LAN,1,"$800,000 ",2012,,,"$800,000",Paul Cohen,Frank McCourt,Ned Colletti,
"Schneider, Brian",c,35,,PHI,PHI,1,"$800,000 ",2012,,,"$800,000",B Van Wagenen,Bill Giles,Ruben Amaro Jr.,
"DeRosa, Mark",1b,37,,SFN,WAS,1,"$800,000 ",2012,,,"$800,000",Career Sports,Ted Lerner,Mike Rizzo,
"Snyder, Chris",c,31,Type B,PIT,HOU,1,"$750,000 ",2012,mutual,,"$750,000",LSW Baseball,Jim Crane,Jeff Luhnow,
"Camp, Shawn",rhp,36,Type B,TOR,SEA,1,"$750,000 ",2012,,,"$750,000",Dave Meier,Nintendo/America,Jack Zduriencik,
"Romero, J.C.",lhp,36,,COL,SLN,1,"$750,000 ",2012,,,"$750,000",MDR Sports,Bill DeWitt Jr.,John Mozeliak,
"Brackman, Andrew",rhp,26,,NYA,CIN,1,"$500,000 ",2012,,,"$500,000",Boras Corp.,Bob Castellini,Walt Jocketty,
"Ankiel, Rick",of,32,,WAS,WAS,0,$1 ,2012,,,,,Ted Lerner,Mike Rizzo,$1.25M in majors
"Bard, Josh",c,34,,SEA,LAN,0,$1 ,2012,,,,,Frank McCourt,Ned Colletti,"$775,000 in majors"
"Batista, Miguel",rhp,41,,NYN,NYN,0,$1 ,2012,,,,,Fred Wilpon,Sandy Alderson,"$750,000 in majors"
"Branyan, Russell",3b,36,,LAN,NYA,0,$1 ,2012,,,,,Hal Steinbrenner,Brian Cashman,"$750,000 in majors"
"Cook, Aaron",rhp-s,33,,COL,BOS,0,$1 ,2012,,,,,John Henry,Ben Cherington,$1.5M in majors
"Cora, Alex",inf,36,,WAS,SLN,0,$1 ,2012,,,,,Bill DeWitt Jr.,John Mozeliak,"$800,000 in majors"
"Cruz, Juan",rhp,33,,TBA,PIT,0,$1 ,2012,,,,,Bob Nutting,Neal Huntington,$1.25M in majors
"Damon, Johnny",of,38,,TBA,CLE,0,$1 ,2012,,,,,Larry Dolan,Shapiro/Antonetti,$1.25M in majors
"Duke, Zach",lhp,29,,ARI,HOU,0,$1 ,2012,,,,,Jim Crane,Jeff Luhnow,
"Durbin, Chad",rhp,34,,CLE,WAS,0,$1 ,2012,,,,,Ted Lerner,Mike Rizzo,
"Francis, Jeff",lhp,31,,KCA,CIN,0,$1 ,2012,,,,,Bob Castellini,Walt Jocketty,
"Garland, Jon",rhp-s,32,,LAN,CLE,0,$1 ,2012,,,,,Larry Dolan,Shapiro/Antonetti,
"Gonzalez, Mike",lhp,34,,TEX,WAS,0,$1 ,2012,,,,,Ted Lerner,Mike Rizzo,
"Grabow, John",lhp,33,,CHN,LAN,0,$1 ,2012,,,,,Frank McCourt,Ned Colletti,"$800,000 in majors"
"Guillen, Carlos",ss,36,,DET,SEA,0,$1 ,2012,,,,,Nintendo/America,Jack Zduriencik,
"Hairston, Scott",of,32,,NYN,NYN,0,$1 ,2012,,,,,Fred Wilpon,Sandy Alderson,$1M in majors
"Harris, Willie",of,34,,NYN,CIN,0,$1 ,2012,,,,,Bob Castellini,Walt Jocketty,"$800,000 in majors"
"Hawpe, Brad",of,33,,SDN,TEX,0,$1 ,2012,,,,,RDavis/BSimpson,Jon Daniels,
"Hernandez, Livan",rhp,37,,WAS,HOU,0,$1 ,2012,,,,,Jim Crane,Jeff Luhnow,
"Isringhausen, Jason",rhp,39,,NYN,ANA,0,$1 ,2012,,,,,Arturo Moreno,Jerry Dipoto,
"Izturis, Cesar",ss,32,,BAL,MIL,0,$1 ,2012,,,,,Mark Attanasio,Doug Melvin,"$875,000 in majors"
"Jackson, Conor",1b,30,,BOS,TEX,0,$1 ,2012,,,,,RDavis/BSimpson,Jon Daniels,
"Linebrink, Scott",rhp,35,,ATL,SLN,0,$1 ,2012,,,,,Bill DeWitt Jr.,John Mozeliak,
"Lopez, Jose",3b,28,,MIA,CLE,0,$1 ,2012,,,,,Larry Dolan,Shapiro/Antonetti,
"Lopez, Rodrigo",rhp,36,,CHN,CHN,0,$1 ,2012,,,,,Tom Ricketts,T Epstein / JHoyer,
"Matsui, Hideki",of-dh,38,,OAK,TBA,0,$1 ,2012,,,,,Stuart Sternberg,Andrew Friedman,"$900,000 in majors"
"Michaels, Jason",of,36,,HOU,WAS,0,$1 ,2012,,,,,Ted Lerner,Mike Rizzo,"$800,000 in majors"
"Miller, Trever",lhp,39,,BOS,CHN,0,$1 ,2012,,,,,Tom Ricketts,T Epstein / JHoyer,"$800,000 in majors"
"Millwood, Kevin",rhp,37,,COL,SEA,0,$1 ,2012,,,,,Nintendo/America,Jack Zduriencik,$1M in majors
"Nady, Xavier",of,33,,ARI,WAS,0,$1 ,2012,,,,,Ted Lerner,Mike Rizzo,
"Ortiz, Ramon",rhp,39,,CHN,SFN,0,$1 ,2012,,,,,Charles Johnson,Brian Sabean,"$750,000 in majors"
"Oswalt, Roy",rhp,34,Type A,PHI,TEX,0,$1 ,2012,,,,,RDavis/BSimpson,Jon Daniels,$5M in majors
"Padilla, Vicente",rhp,34,,LAN,BOS,0,$1 ,2012,,,,,John Henry,Ben Cherington,$1.5M in majors
"Patterson, Corey",of,32,,SLN,MIL,0,$1 ,2012,,,,,Mark Attanasio,Doug Melvin,
"Pierre, Juan",of,34,Type B,CHA,PHI,0,$1 ,2012,,,,,Bill Giles,Ruben Amaro Jr.,"$800,000 in majors"
"Pineiro, Joel",rhp,33,,ANA,PHI,0,$1 ,2012,,,,,Bill Giles,Ruben Amaro Jr.,$1.5M in majors
"Vizquel, Omar",ss,45,,CHA,TOR,0,$1 ,2012,,,,,Edward Rogers,Alex Anthopoulos,
"Wheeler, Dan",rhp,34,Type B,BOS,CLE,0,$1 ,2012,,,,,Larry Dolan,Shapiro/Antonetti,"$900,000 in majors"
"Wright, Jamey",rhp,37,,SEA,LAN,0,$1 ,2012,,,,,Frank McCourt,Ned Colletti,"$900,000 in majors"
"Young, Chris",rhp,33,,NYN,NYN,0,$1 ,2012,,,,,Fred Wilpon,Sandy Alderson,
,,,,,,,,,,,,,,,
"Pena, Wily Mo",of,30,,SEA,NPB,,,2012,,,,,,,"signed by SoftBank Hawks of Japan, 2 yr/$4.05M"
"Penny, Brad",rhp,34,,DET,NPB,,,2012,,,,,,,"signed by SoftBank Hawks of Japan, 1 yr"
,,,,,,,,,,,,,,,
Remaining Free Agents (23),,,,,,,,,,,,,,,
"Burrell, Pat",of,35,Type B,SFN,dnp,,,,,,,,,,
"Cabrera, Orlando",ss,37,,SFN,dnp,,,,,,,,,,
"Castro, Ramon",c,36,,CHA,dnp,,,,,,,,,,
"Counsell, Craig",2b,41,,MIL,dnp,,,,,,,,,,
"Drew, J.D.",of,36,,BOS,dnp,,,,,,,,,,
"Gload, Ross",of,36,,PHI,dnp,,,,,,,,,,
"Guerrero, Vladimir",dh,37,Type B,BAL,dnp,,,,,,,,,,
"Harden, Rich",rhp,30,,OAK,dnp,,,,,,,,,,
"Kendall, Jason",c,38,,KCA,dnp,,,,,,,,,,
"Lee, Derrek",1b,36,Type B,PIT,dnp,,,,,,,,,,
"Marte, Damaso",lhp,37,,NYA,dnp,,,,,,,,,,
"Miles, Aaron",2b,35,,LAN,dnp,,,,,,,,,,
"Mitre, Sergio",rhp,31,,NYA,dnp,,,,,,,,,,
"Ordonez, Magglio",of,38,Type B,DET,dnp,,,,,,,,,,
"Posada, Jorge",dh,40,,NYA,dnp,,,,,,,,,,
"Ramirez, Horacio",lhp,32,,ANA,dnp,,,,,,,,,,
"Renteria, Edgar",ss,35,,CIN,dnp,,,,,,,,,,
"Rhoades, Arthur",lhp,42,Type B,SLN,dnp,,,,,,,,,,
"Rodriguez, Ivan",c,40,,WAS,dnp,,,,,,,,,,
"Varitek, Jason",c,40,Type B,BOS,dnp,,,,,,,,,,
"Vazquez, Javier",rhp,35,,MIA,dnp,,,,,,,,,,
"Wakefield, Tim",rhp,45,,BOS,dnp,,,,,,,,,,
"Webb, Brandon",rhp,33,,TEX,dnp,,,,,,,,,,
