FREE AGENTS 2019,,The 164 XX(B) free agents for the 2018-19 off-season. ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Number in group,Percentage of group,,Ave. Years,Guarantee,,,,,,,,
"Herrera, Kelvin",rhp-c,29,,WAS,CHA,2,"$18,000,000 ",2019-20,club,,"$9,000,000",Wasserman,Jerry Reinsdorf,KWilliams/RHahn,
"Ryu, Hyun-Jin",lhp-s,32,accepted,LAN,LAN,1,"$17,900,000 ",2019,,,"$17,900,000",Boras Corp.,Mark Walter,Andrew Friedman,
"Richards, Garrett",rhp-s,31,,ANA,SDN,2,"$15,500,000 ",2019-20,,,"$7,750,000",ISE,Ron Fowler,A.J. Preller,
"Soria, Joakim",rhp,35,,MIL,OAK,2,"$15,000,000 ",2019-20,,,"$7,500,000",Oscar Suarez,John Fisher,B Beane / D Forst,
"Cruz, Nelson",dh,38,,SEA,MIN,1,"$14,300,000 ",2019,club,,"$14,300,000",Bryce Dixon,Jim Pohlad,DFalvey /TLevine,
"Keuchel, Dallas",lhp-s,31,rejected,HOU,ATL,1,"$13,000,000 ",2019,,,"$13,000,000",Frontline,Liberty Media,Alex Anthopoulos,
"Harvey, Matt",rhp-s,30,,CIN,ANA,1,"$11,000,000 ",2019,,,"$11,000,000",Matt Harvey,Arturo Moreno,Billy Eppler,
"Moustakas, Mike",3b,30,,MIL,MIL,1,"$10,000,000 ",2019,mutual,,"$10,000,000",Boras Corp.,Mark Attanasio,David Stearns,
"Wilson, Justin",lhp,31,,CHN,NYN,2,"$10,000,000 ",2019-20,,,"$5,000,000",ACES,Fred Wilpon,B Van Wagenen,
"Suzuki, Kurt",c,35,,ATL,WAS,2,"$10,000,000 ",2019-20,,,"$5,000,000",MVP Sports,Mark Lerner,Mike Rizzo,
"Cahill, Trevor",rhp-s,31,,OAK,ANA,1,"$9,000,000 ",2019,,,"$9,000,000",John Boggs,Arturo Moreno,Billy Eppler,
"Dozier, Brian",2b,32,,LAN,WAS,1,"$9,000,000 ",2019,,,"$9,000,000",All Bases Covered,Mark Lerner,Mike Rizzo,
"Allen, Cody",rhp,30,,CLE,ANA,1,"$8,500,000 ",2019,,,"$8,500,000",Meister Sports,Arturo Moreno,Billy Eppler,
"Sabatha, CC",lhp-s,38,,NYA,NYA,1,"$8,000,000 ",2019,,,"$8,000,000",CAA / Roc Nation,Hal Steinbrenner,Brian Cashman,
"Kinsler, Ian",2b,37,,BOS,SDN,2,"$8,000,000 ",2019-20,,,"$4,000,000",BBI Sports,Ron Fowler,A.J. Preller,
"Chavez, Jesse",rhp,35,,CHN,TEX,2,"$8,000,000 ",2019-20,,,"$4,000,000",Sosnick Cobbe,RDavis/BSimpson,Jon Daniels,
"Gardner, Brett",lf,35,,NYA,NYA,1,"$7,500,000 ",2019,,,"$7,500,000",Pro Star,Hal Steinbrenner,Brian Cashman,
"Holland, Derek",lhp-s,32,,SFN,SFN,1,"$7,000,000 ",2019,club,,"$7,000,000",Martini Sports,Charles Johnson,Farhan Zaidi,
"Pearce, Steve",1b-lf,36,,BOS,BOS,1,"$6,250,000 ",2019,,,"$6,250,000",Excel,John Henry,Dave Dombrowski,
"Mathis, Jeff",c,36,,ARI,TEX,2,"$6,250,000 ",2019-20,,,"$3,125,000",Jet Sports,RDavis/BSimpson,Jon Daniels,
"Markakis, Nick",rf,35,,ATL,ATL,1,"$6,000,000 ",2019,club,,"$6,000,000",Jamie Murphy,Liberty Media,Alex Anthopoulos,
"Ross, Tyson",rhp-s,32,,SLN,DET,1,"$5,750,000 ",2019,,,"$5,750,000",Wasserman,Chris Ilitch,Al Avila,
"Chirinos, Robinson",c,35,,TEX,HOU,1,"$5,750,000 ",2019,,,"$5,750,000",MDR Sports,Jim Crane,Jeff Luhnow,
"Mercer, Jordy",ss,32,,PIT,DET,1,"$5,250,000 ",2019,,,"$5,250,000",Boras Corp.,Chris Ilitch,Al Avila,
"Galvis, Freddy",ss,29,,SDN,TOR,1,"$5,000,000 ",2019,club,,"$5,000,000",GSE,Edward Rogers,MShapiro/RAtkins,
"Descalso, Daniel",2b-3b,32,,ARI,CHN,2,"$5,000,000 ",2019-20,club,,"$2,500,000",Steve Canter,Tom Ricketts,T Epstein / JHoyer,
"Miley, Wade",lhp-s,32,,MIL,HOU,1,"$4,500,000 ",2019,,,"$4,500,000",O'Connell Sports,Jim Crane,Jeff Luhnow,
"Freese, David",3b-1b,36,,LAN,LAN,1,"$4,500,000 ",2019,,,"$4,500,000",CAA,Mark Walter,Andrew Friedman,
"Jay, Jon",cf,34,,ARI,CHA,1,"$4,000,000 ",2019,,,"$4,000,000",CAA,Jerry Reinsdorf,KWilliams/RHahn,
"Perez, Martin",lhp-s,28,,TEX,MIN,1,"$4,000,000 ",2019,club,,"$4,000,000",OL Baseball,Jim Pohlad,DFalvey /TLevine,
"Estrada, Marco",rhp-s,35,,TOR,OAK,1,"$4,000,000 ",2019,,,"$4,000,000",TWC Sports,John Fisher,B Beane / D Forst,
"Adams, Matt",1b-lf,30,,SLN,WAS,1,"$4,000,000 ",2019,mutual,,"$4,000,000",Wasserman,Mark Lerner,Mike Rizzo,
"Cabrera, Asdrubal",3b,33,,PHI,TEX,1,"$3,500,000 ",2019,,,"$3,500,000",Octagon,RDavis/BSimpson,Jon Daniels,
"Lucroy, Jonathan",cf,33,,OAK,ANA,1,"$3,350,000 ",2019,,,"$3,350,000",Excel,Arturo Moreno,Billy Eppler,
"Holland, Greg",rhp,33,,WAS,ARI,1,"$3,250,000 ",2019,,,"$3,250,000",Boras Corp.,Ken Kendrick,Mike Hazen,
"Jones, Adam",cf,33,,BAL,ARI,1,"$3,000,000 ",2019,,,"$3,000,000",CAA,Ken Kendrick,Mike Hazen,
"Brach, Brad",rhp,33,,ATL,CHN,1,"$3,000,000 ",2019,club/plyr,,"$3,000,000",Brian Charles,Tom Ricketts,T Epstein / JHoyer,
"Kang, Jung Ho",3b,32,,PIT,PIT,1,"$3,000,000 ",2019,,,"$3,000,000",Wasserman,Bob Nutting,Neal Huntington,
"Buchholz, Clay",rhp-s,34,,ARI,TOR,1,"$3,000,000 ",2019,,,"$3,000,000",ISE,Edward Rogers,MShapiro/RAtkins,
"Diekman, Jake",lhp,32,,ARI,KCA,1,"$2,750,000 ",2019,mutual,,"$2,750,000",Beverly Hills SC,David Glass,Dayton Moore,
"Chisenhall, Lonnie",rf,30,,CLE,PIT,1,"$2,750,000 ",2019,,,"$2,750,000",Turner-Gary,Bob Nutting,Neal Huntington,
"Kelley, Shawn",rhp,35,,OAK,TEX,1,"$2,750,000 ",2019,club,,"$2,750,000",Frye McCann,RDavis/BSimpson,Jon Daniels,
"Perez, Oliver",lhp,37,,CLE,CLE,1,"$2,500,000 ",2019,club,,"$2,500,000",Mike Fischlin,Paul Dolan,Antonetti/Chernoff,
"Moore, Matt",lhp-s,30,,TEX,DET,1,"$2,500,000 ",2019,,,"$2,500,000",Sosnick Cobbe,Chris Ilitch,Al Avila,
"Maldonado, Martin",c,32,,HOU,KCA,1,"$2,500,000 ",2019,,,"$2,500,000",Magnus Sports,David Glass,Dayton Moore,
"Romo, Sergio",rhp,36,,TBA,MIA,1,"$2,500,000 ",2019,,,"$2,500,000",Meister Sports,Bruce Sherman,Michael Hill,
"Warren, Adam",rhp,31,,SEA,SDN,1,"$2,500,000 ",2019,club,,"$2,500,000",Full Circle Sports,Ron Fowler,A.J. Preller,
"Phelps, David",rhp,32,,SEA,TOR,1,"$2,500,000 ",2019,club,,"$2,500,000",Jet Sports,Edward Rogers,MShapiro/RAtkins,
"Lyles, Jordan",rhp,28,,MIL,PIT,1,"$2,050,000 ",2019,,,"$2,050,000",Ballengee,Bob Nutting,Neal Huntington,
"McCann, Brian",c,35,,HOU,ATL,1,"$2,000,000 ",2019,,,"$2,000,000",Jet Sports,Liberty Media,Alex Anthopoulos,
"Duke, Zach",lhp,36,,SEA,CIN,1,"$2,000,000 ",2019,,,"$2,000,000",ISE,Bob Castellini,DWilliams/NKrall,
"Harrison, Josh",2b-3b,31,,PIT,DET,1,"$2,000,000 ",2019,,,"$2,000,000",MSM Sports,Chris Ilitch,Al Avila,
"Walker, Neil",1b-3b,33,,NYA,MIA,1,"$2,000,000 ",2019,,,"$2,000,000",Excel,Bruce Sherman,Michael Hill,
"Wainwright, Adam",rhp,37,,SLN,SLN,1,"$2,000,000 ",2019,,,"$2,000,000",Aegis Sports,Bill DeWitt Jr.,JMozeliak/MGirsch,
"Anderson, Brett",lhp-s,31,,OAK,OAK,1,"$1,500,000 ",2019,,,"$1,500,000",GSE,John Fisher,B Beane / D Forst,
"Pomeranz, Drew",lhp,30,,BOS,SFN,1,"$1,500,000 ",2019,,,"$1,500,000",CAA,Charles Johnson,Farhan Zaidi,
"Loup, Aaron",lhp,31,,PHI,SDN,1,"$1,400,000 ",2019,club,,"$1,400,000",Beverly Hills SC,Ron Fowler,A.J. Preller,
"Hellickson, Jeremy",rhp,32,,WAS,WAS,1,"$1,300,000 ",2019,,,"$1,300,000",Boras Corp.,Mark Lerner,Mike Rizzo,
"Sipp, Tony",lhp,35,,HOU,WAS,1,"$1,250,000 ",2019,club,,"$1,250,000",Bledsoe Agency,Mark Lerner,Mike Rizzo,
"Barnette, Tony",rhp,35,,TEX,CHN,1,"$750,000 ",2019,club,,"$750,000",Don Nomura,Tom Ricketts,T Epstein / JHoyer,
"Axford, John",rhp,36,,LAN,TOR,0,$1 ,2019,,,,Beverly Hills SC,Edward Rogers,MShapiro/RAtkins,$1.65M in majors
"Beckham, Gordon",2b,32,,SEA,DET,0,$1 ,2019,,,,ISE,Chris Ilitch,Al Avila,"$700,000 in majors"
"Blanco, Gregor",cf-lf,35,,SFN,NYN,0,$1 ,2019,,,,Octagon,Fred Wilpon,B Van Wagenen,
"Blevins, Jerry",lhp,35,,NYN,OAK,0,$1 ,2019,,,,Excel,John Fisher,B Beane / D Forst,$1.5M in majors
"Butera, Drew",c,35,,COL,PHI,0,$1 ,2019,,,,David Schwartz,John Middleton,MacPhail/Klentak,"$1.3M in majors, 3/21/19 opt-out"
"Cabrera, Melky",lf,34,,CLE,PIT,0,$1 ,2019,,,,GSE,Bob Nutting,Neal Huntington,$1.15M in majors. $0.85M in performance bonuses.
"Clippard, Tyler",rhp,34,,TOR,CLE,0,$1 ,2019,,,,Excel,Paul Dolan,Antonetti/Chernoff,$1.75M in majors
"Collins, Tim",lhp,29,,WAS,MIN,0,$1 ,2019,,,,Octagon,Jim Pohlad,DFalvey /TLevine,
"Davis, Rajai",cf,38,,CLE,NYN,0,$1 ,2019,,,,GSE,Fred Wilpon,B Van Wagenen,$1.6M in majors
"De La Rosa, Jorge",lhp,38,,CHN,COL,0,$1 ,2019,,,,TWC Sports,Monfort brothers,Jeff Bridich,
"Delgado, Randall",rhp,29,,ARI,CHA,0,$1 ,2019,,,,Beverly Hills SC,Jerry Reinsdorf,KWilliams/RHahn,
"Duda, Lucas",1b,33,,ATL,MIN,0,$1 ,2019,,,,Beverly Hills SC,Jim Pohlad,DFalvey /TLevine,"$1.75M in majors, $1.5M in performance bonuses"
"Escobar, Alcides",ss,32,,KCA,BAL,0,$1 ,2019,,,,GSE,Peter Angelos,Mike Elias,"$700,000 in majors"
"Flaherty, Ryan",3b-ss,32,,ATL,CLE,0,$1 ,2019,,,,CAA,Paul Dolan,Antonetti/Chernoff,"$800,000 in majors"
"Forsythe, Logan",2b,32,,MIN,TEX,0,$1 ,2019,,,,PSI Sports,RDavis/BSimpson,Jon Daniels,$2M in majors
"Gomez, Carlos",cf,33,,TBA,NYN,0,$1 ,2019,,,,Boras Corp.,Fred Wilpon,B Van Wagenen,
"Gomez, Jeanmar",rhp-s,31,,CHA,TEX,0,$1 ,2019,,,,Magnus Sports,RDavis/BSimpson,Jon Daniels,
"Gonzalez, Carlos",rf,33,,COL,CLE,0,$1 ,2019,,,,Boras Corp.,Paul Dolan,Antonetti/Chernoff,"$2M in majors, $1M in performance bonuses"
"Gonzalez, Gio",lhp-s,33,,MIL,NYA,0,$1 ,2019,,,,Boras Corp.,Hal Steinbrenner,Brian Cashman,$3M in majors. $9M in performance bonuses.
"Granderson, Curtis",cf-rf,38,,MIL,MIA,0,$1 ,2019,,,,Pro Prospects,Bruce Sherman,Michael Hill,"$1.75M in majors, $0.25M in performance bonuses"
"Guyer, Brandon",of,33,,CLE,CHA,0,$1 ,2019,,,,ACES,Jerry Reinsdorf,KWilliams/RHahn,"$1.6M in majors, $0.15M in minors"
"Hammel, Jason",rhp-s,36,,KCA,TEX,0,$1 ,2019,,,,ACES,RDavis/BSimpson,Jon Daniels,
"Hechavarria, Adeiny",ss,30,,NYA,NYN,0,$1 ,2019,,,,Magnus Sports,Fred Wilpon,B Van Wagenen,$3M in majors. Roster bonuses.
"Hudson, Daniel",rhp,32,,LAN,ANA,0,$1 ,2019,,,,Jet Sports,Arturo Moreno,Billy Eppler,"$1.5M in majors, $1.5M in performance bonuses"
"Hundley, Nick",c,35,,SFN,OAK,0,$1 ,2019,,,,Athletes First,John Fisher,B Beane / D Forst,$1.25M in majors
"Iglesias, Jose",ss,29,,DET,CIN,0,$1 ,2019,,,,Magnus Sports,Bob Castellini,DWilliams/NKrall,$2.5M in majors. $1M in performance bonuses
"Jackson, Edwin",rhp-s,35,,OAK,OAK,0,$1 ,2019,,,,ESQ Agency,John Fisher,B Beane / D Forst,
"Joyce, Matt",rf,34,,OAK,CLE,0,$1 ,2019,,,,ACES,Paul Dolan,Antonetti/Chernoff,"$1.25M in majors, $0.5M performance bonuses"
"Liriano, Francisco",lhp-s,35,,DET,PIT,0,$1 ,2019,,,,Wasserman,Bob Nutting,Neal Huntington,"$1.8M in majors, $1.5M in performance bonuses"
"Lobaton, Jose",c,34,,NYN,SEA,0,$1 ,2019,,,,Athletes X,John Stanton,Jerry Dipoto,$1M in majors
"Maybin, Cameron",lf-cf,32,,SEA,SFN,0,$1 ,2019,,,,Excel,Charles Johnson,Farhan Zaidi,
"Mesoraco, Devin",c,31,,NYN,NYN,0,$1 ,2019,,,,Jet Sports,Fred Wilpon,B Van Wagenen,$1.5M in majors
"Morrison, Logan",1b,31,,MIN,NYA,0,$1 ,2019,,,,ISE,Hal Steinbrenner,Brian Cashman,$1M in majors
"Norris, Bud",rhp,34,,SLN,TOR,0,$1 ,2019,,,,Ballengee,Edward Rogers,MShapiro/RAtkins,$3M in majors. Performance bonuses.
"Parra, Gerardo",lf,32,,COL,SFN,0,$1 ,2019,,,,Octagon,Charles Johnson,Farhan Zaidi,
"Pence, Hunter",rf,36,,SFN,TEX,0,$1 ,2019,,,,Beverly Hills SC,RDavis/BSimpson,Jon Daniels,$2M in majors
"Reynolds, Mark",1b,35,,WAS,COL,0,$1 ,2019,,,,Ballengee,Monfort brothers,Jeff Bridich,$1M in majors
"Rivera, Rene",c,35,,ATL,SFN,0,$1 ,2019,,,,MDR Sports,Charles Johnson,Farhan Zaidi,
"Romine, Andrew",ss-2b,33,,SEA,PHI,0,$1 ,2019,,,,Moye Sports,John Middleton,MacPhail/Klentak,
"Rosales, Adam",inf,36,,CLE,MIN,0,$1 ,2019,,,,Hilliard Sports,Jim Pohlad,DFalvey /TLevine,
"Santana, Ervin",rhp-s,36,,MIN,CHA,0,$1 ,2019,,,,Octagon,Jerry Reinsdorf,KWilliams/RHahn,$4.3M in majors
"Santiago, Hector",lhp-s,31,,CHA,NYN,0,$1 ,2019,,,,Excel,Fred Wilpon,B Van Wagenen,$2M in majors
"Stewart, Chris",c,37,,ARI,SDN,0,$1 ,2019,,,,Jim Kuzmich,Ron Fowler,A.J. Preller,
"Tazawa, Junichi",rhp,33,,ANA,CHN,0,$1 ,2019,,,,CAA,Tom Ricketts,T Epstein / JHoyer,"$800,000 in majors. $1.2M in performance bonuses"
"Tomlin, Josh",rhp-s,34,,CLE,MIL,0,$1 ,2019,,,,SSG,Mark Attanasio,David Stearns,$1.525M in majors
"Wieters, Matt",c,33,,WAS,SLN,0,$1 ,2019,,,,Boras Corp.,Bill DeWitt Jr.,JMozeliak/MGirsch,$1.5M in majors. Performance bonuses.
"Wilson, Bobby",c,36,,CHN,DET,0,$1 ,2019,,,,Jet Sports,Chris Ilitch,Al Avila,
"Young, Eric Jr.",lf,34,,ANA,BAL,0,$1 ,2019,,,,MVP Sports,Peter Angelos,Mike Elias,
,,,,,,,,,,,,,,,
"Beltre, Adrian",3b,40,,TEX,retired,,,2019,,,,Boras Corp.,,,
"Ellis, A.J.",c,38,,SDN,retired,,,2019,,,,ACES,,,
"Fister, Doug",rhp-s,35,,TEX,retired,,,2019,,,,PSI Sports,,,
"Garcia, Jaime",lhp-s,32,,CHN,retired,,,2019,,,,Moye Sports,,,
"Gimenez, Chris",c,36,,MIN,retired,,,2019,,,,,,,
"Martinez, Victor",dh,40,,DET,retired,,,2019,,,,Octagon,,,
"Mauer, Joe",1b,36,,MIN,retired,,,2019,,,,Ron Shapiro,,,
"McCarthy, Brandon",rhp-s,35,,ATL,retired,,,2019,,,,Lagardere Sports,,,
"Moylan, Peter",rhp,40,,ATL,retired,,,2019,,,,Wasserman,,,
"Saltalamacchia, Jarrod",c,34,,DET,retired,,,2019,,,,ACES,,,
"Ziegler, Brad",rhp,39,,ARI,retired,,,2019,,,,Icon Sports,,,
,,,,,,,,,,,,,,,
Remaining Free Agents (19),,,,,,,,,,,,,,,
"Bautista, Jose",rf,38,,PHI,,,,2019,,,,Epitome Sports,,,
"Belisle, Matt",rhp,39,,MIN,,,,2019,,,,CAA,,,
"Benoit, Joaquin",rhp,41,,WAS,,,,2019,,,,ACES,,,
"Colon, Bartolo",rhp-s,46,,TEX,,,,2019,,,,Wasserman,,,
"Gallardo, Yovani",rhp-s,33,,TEX,,,,2019,,,,Octagon,,,
"Gattis, Evan",dh-c,32,,HOU,,,,2019,,,,GSE,,,
"Gonzalez, Miguel",rhp-s,35,,CHA,,,,2019,,,,Rep 1,,,
"Holliday, Matt",lf-dh,39,,COL,,,,2019,,,,Boras Corp.,,,
"Jackson, Austin",cf,32,,NYN,,,,2019,,,,Octagon,,,
"Johnson, Jim",rhp,36,,ANA,,,,2019,,,,Moye Sports,,,
"Madson, Ryan",rhp,38,,LAN,,,,2019,,,,All Bases Covered,,,
"Phillips, Brandon",2b,38,,BOS,,,,2019,,,,ACES,,,
"Ramos, A.J.",rhp,32,,NYN,,,,2019,,,,Sports One,,,
"Rasmus, Colby",lf-cf,32,,BAL,,,,2019,,,,Excel,,,
"Reyes, Jose",ss-3b,36,,NYN,,,,2019,,,,GSE,,,
"Shields, James",rhp-s,37,,CHA,,,,2019,,,,PSI Sports,,,
"Span, Denard",cf,35,,SEA,,,,2019,,,,All Bases Covered,,,
"Wood, Blake",rhp,33,,ANA,,,,2019,,,,Sports One,,,
"Young, Chris",lf-rf,35,,ANA,,,,2019,,,,CAA,,,
