FREE AGENTS 2019,,The 164 XX(B) free agents for the 2018-19 off-season. ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Number in group,Percentage of group,,Ave. Years,Guarantee,,,,,,,,
2019 TOTAL,,,164,,,,"$1,874,300,000 ",,,,,,,,
Average Guarantee,,,,,,1.15,"$13,987,314 ",,,,,,,,
Median Guarantee,,,,,,,"$2,750,000 ",,,,,,,,
Major League contracts,,,86,52%,,,,,,,,,,,
Minor League contracts,,,48,29%,,,,,,,,,,,
International contracts,,,0,0,,,,,,,,,,,
Retired FA,,,11,7%,,,,,,,,,,,
Remaining FA,,,19,12%,,,,,,,,,,,
,,,,,,,,,,,,,,,
Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Harper, Bryce",rf,26,rejected,WAS,PHI,13,"$330,000,000 ",2019-31,,,"$25,384,615",Boras Corp.,John Middleton,MacPhail/Klentak,
"Machado, Manny",ss,26,rejected,LAN,SDN,10,"$300,000,000 ",2019-28,,1,"$30,000,000",MVP Sports,Ron Fowler,A.J. Preller,Player may opt out after 2023 season.
"Corbin, Patrick",lhp-s,29,rejected,ARI,WAS,6,"$140,000,000 ",2019-24,,,"$23,333,333",ISE,Mark Lerner,Mike Rizzo,
"Kershaw, Clayton",lhp-s,31,,LAN,LAN,3,"$93,000,000 ",2019-21,,,"$31,000,000",Excel,Mark Walter,Andrew Friedman,
"Eovaldi, Nathan",rhp-s,29,,BOS,BOS,4,"$68,000,000 ",2019-22,,,"$17,000,000",ACES,John Henry,Dave Dombrowski,
"Pollock, A.J.",cf,31,rejected,ARI,LAN,4,"$55,000,000 ",2019-22,player,,"$13,750,000",Excel,Mark Walter,Andrew Friedman,
"McCutchen, Andrew",lf,32,,NYA,PHI,3,"$50,000,000 ",2019-21,club,,"$16,666,666",Steve Hammond,John Middleton,MacPhail/Klentak,
"Kimbrel, Craig",rhp-c,31,rejected,BOS,CHN,3,"$43,000,000 ",2019-21,club/vest,,"$14,333,333",SportsMeter,Tom Ricketts,T Epstein / JHoyer,
"Britton, Zack",lhp,31,,NYA,NYA,3,"$39,000,000 ",2019-21,club,,"$13,000,000",Boras Corp.,Hal Steinbrenner,Brian Cashman,
"Happ, J.A.",lhp-s,36,,NYA,NYA,2,"$34,000,000 ",2019,club,,"$17,000,000",Rogers Sports,Hal Steinbrenner,Brian Cashman,
"Brantley, Michael",lf,32,,CLE,HOU,2,"$32,000,000 ",2019-20,,,"$16,000,000",Excel,Jim Crane,Jeff Luhnow,
"Morton, Charlie",rhp-s,35,,HOU,TBA,2,"$30,000,000 ",2019-20,club,,"$15,000,000",Jet Sports,Stuart Sternberg,Silverman/Neander,
"Familia, Jeurys",rhp,29,,OAK,NYN,3,"$30,000,000 ",2019-21,,,"$10,000,000",ACES,Fred Wilpon,B Van Wagenen,
"Lynn, Lance",rhp-s,32,,NYA,TEX,3,"$30,000,000 ",2019-21,,,"$10,000,000",Excel,RDavis/BSimpson,Jon Daniels,
"Miller, Andrew",lhp,34,,CLE,SLN,2,"$25,000,000 ",2019,club,,"$12,500,000",Frontline,Bill DeWitt Jr.,JMozeliak/MGirsch,
"Kelly, Joe",rhp,31,,BOS,LAN,3,"$25,000,000 ",2019-21,club,,"$8,333,333",ACES,Mark Walter,Andrew Friedman,
"Murphy, Daniel",1b-2b,34,,CHN,COL,2,"$24,000,000 ",2019-20,,,"$12,000,000",ACES,Monfort brothers,Jeff Bridich,
"LeMahieu, DJ",2b,30,,COL,NYA,2,"$24,000,000 ",2019-20,,,"$12,000,000",Excel,Hal Steinbrenner,Brian Cashman,
"Ottavino, Adam",rhp,33,,COL,NYA,3,"$24,000,000 ",2019-21,,,"$8,000,000",All Bases Covered,Hal Steinbrenner,Brian Cashman,
"Donaldson, Josh",3b,33,,CLE,ATL,1,"$23,000,000 ",2019,,,"$23,000,000",MVP Sports,Liberty Media,Alex Anthopoulos,
"Robertson, David",rhp,34,,NYA,PHI,2,"$23,000,000 ",2019-20,club,,"$11,500,000",self-represented,John Middleton,MacPhail/Klentak,
"Gonzalez, Marwin",1b-3b,30,,HOU,MIN,2,"$21,000,000 ",2019-20,,,"$10,500,000",Boras Corp.,Jim Pohlad,DFalvey /TLevine,
"Lowrie, Jed",2b-3b,35,,HOU,NYN,2,"$20,000,000 ",2019-20,,,"$10,000,000",CAA,Fred Wilpon,B Van Wagenen,
"Ramos, Wilson",c,31,,PHI,NYN,2,"$19,000,000 ",2019-20,club,,"$9,500,000",Octagon,Fred Wilpon,B Van Wagenen,
"Sanchez, Anibal",rhp-s,35,,ATL,WAS,2,"$19,000,000 ",2019-20,club,,"$9,500,000",Mato Sports,Mark Lerner,Mike Rizzo,
"Grandal, Yasmani",c,30,rejected,LAN,MIL,1,"$18,250,000 ",2019,mutual,,"$18,250,000",Wasserman,Mark Attanasio,David Stearns,
