FREE AGENTS 2013,,The 165 XX(B) free agents for the 2012-13 off-season. ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Number in group,Percentage of group,,Ave. Years,Guarantee,,,,,,,,
2013 TOTAL,,,165,100%,,,"$1,382,121,887 ",,,,,,,,
Average Guarantee,,,,,,1.37,"$10,314,343 ",,,,,,,,
Median Guarantee,,,,,,,"$2,750,000 ",,,,,,,,
Major League contracts,,,108,65%,,,,,,,,,,,
Minor League contracts,,,26,16%,,,,,,,,,,,
International Contracts,,,4,2%,,,,,,,,,,,
Retired / Did Not Play,,,27,16%,,,,,,,,,,,
,,,,,,,,,,,,,,,
Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Greinke, Zack",rhp-s,29,,ANA,LAN,6,"$147,000,000 ",2013-18,,1,"$24,500,000",Casey Close,Mark Walter,Ned Colletti,Player may opt out of contract after 2015 season.
"Hamilton, Josh",of,32,rejected,TEX,ANA,5,"$125,000,000 ",2013-17,,,"$25,000,000",Michael Moye,Arturo Moreno,Jerry Dipoto,
"Sanchez, Anibal",rhp-s,29,,DET,DET,5,"$80,000,000 ",2013-17,club,,"$16,000,000",Mato Sports,Mike Ilitch,Dave Dombrowski,
"Upton, B.J.",of,28,rejected,TBA,ATL,5,"$75,250,000 ",2013-17,,,"$15,050,000",Reynolds Sports,Liberty Media,Frank Wren,
"Swisher, Nick",of,32,rejected,NYA,CLE,4,"$56,000,000 ",2013-16,vesting,,"$14,000,000",Dan Lozano,Paul Dolan,Shapiro/Antonetti,
"Jackson, Edwin",rhp-s,29,,WAS,CHN,4,"$52,000,000 ",2013-16,,,"$13,000,000",Legacy Agency,Tom Ricketts,T Epstein / JHoyer,
"Bourn, Michael",of,30,rejected,ATL,CLE,4,"$48,000,000 ",2013-16,vesting,,"$12,000,000",Boras Corp.,Paul Dolan,Shapiro/Antonetti,
"Pagan, Angel",of,31,,SFN,SFN,4,"$40,000,000 ",2013-16,,,"$10,000,000",Octagon,Charles Johnson,Brian Sabean,
"Victorino, Shane",of,32,,LAN,BOS,3,"$39,000,000 ",2013-15,,,"$13,000,000",John Boggs,John Henry,Ben Cherington,
"Lohse, Kyle",rhp-s,34,rejected,SLN,MIL,3,"$33,000,000 ",2013-15,,,"$11,000,000",Boras Corp.,Mark Attanasio,Doug Melvin,
"Soriano, Rafael",rhp,33,rejected,NYA,WAS,2,"$28,000,000 ",2013-14,vesting,,"$14,000,000",Boras Corp.,Ted Lerner,Mike Rizzo,
