FREE AGENTS 2013,,The 165 XX(B) free agents for the 2012-13 off-season. ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Number in group,Percentage of group,,Ave. Years,Guarantee,,,,,,,,
"Dempster, Ryan",rhp-s,36,,TEX,BOS,2,"$26,500,000 ",2013-14,,,"$13,250,000",Craig Landis,John Henry,Ben Cherington,
"Ortiz, David",dh-1b,37,rejected,BOS,BOS,2,"$26,000,000 ",2013-14,,,"$13,000,000",Fern Cuza,John Henry,Ben Cherington,
"Hunter, Torii",of,37,,ANA,DET,2,"$26,000,000 ",2013-14,,,"$13,000,000",Reynolds Sports,Mike Ilitch,Dave Dombrowski,
"Ross, Cody",of,32,,BOS,ARI,3,"$26,000,000 ",2013-15,club,,"$8,666,666",SFX,Ken Kendrick,Kevin Towers,
"Guthrie, Jeremy",rhp-s,34,,KCA,KCA,3,"$25,000,000 ",2013-15,,,"$8,333,333",Excel,David Glass,Dayton Moore,
"LaRoche, Adam",1b,33,rejected,WAS,WAS,2,"$24,000,000 ",2013-14,mutual,,"$12,000,000",Mike Milchin,Ted Lerner,Mike Rizzo,
"League, Brandon",rhp,30,,LAN,LAN,3,"$22,500,000 ",2013-15,player,,"$7,500,000",ACES,Mark Walter,Ned Colletti,
"Broxton, Jonathan",rhp,29,,CIN,CIN,3,"$21,000,000 ",2013-15,club,,"$7,000,000",BB Abbott,Bob Castellini,Walt Jocketty,
"Scutaro, Marco",inf,37,,SFN,SFN,3,"$20,000,000 ",2013-15,,,"$6,666,666",Barry Praver,Charles Johnson,Brian Sabean,
"Affeldt, Jeremy",lhp,34,,SFN,SFN,3,"$18,000,000 ",2013-15,,,"$6,000,000",Michael Moye,Charles Johnson,Brian Sabean,
"Martin, Russell",c,30,,NYA,PIT,2,"$17,000,000 ",2013-14,,,"$8,500,000",Matt Colleran,Bob Nutting,Neal Huntington,
"Cabrera, Melky",of,28,,SFN,TOR,2,"$16,000,000 ",2013-14,,,"$8,000,000",ACES,Edward Rogers,Alex Anthopoulos,
"McCarthy, Brandon",rhp-s,29,,OAK,ARI,2,"$15,500,000 ",2013-14,,,"$7,750,000",LSW Baseball,Ken Kendrick,Kevin Towers,
"Kuroda, Hiroki",rhp-s,38,rejected,NYA,NYA,1,"$15,000,000 ",2013,,,"$15,000,000",Steve Hilliard,Hal Steinbrenner,Brian Cashman,
"Blanton, Joe",rhp,32,,LAN,ANA,2,"$15,000,000 ",2013-14,club,,"$7,500,000",CAA,Arturo Moreno,Jerry Dipoto,
"Ludwick, Ryan",of,34,,CIN,CIN,2,"$15,000,000 ",2013-14,mutual,,"$7,500,000",Dan Horwits,Bob Castellini,Walt Jocketty,
"Haren, Dan",rhp-s,32,,ANA,WAS,1,"$13,000,000 ",2013,,,"$13,000,000",CAA,Ted Lerner,Mike Rizzo,
"Suzuki, Ichiro",of,39,,NYA,NYA,2,"$13,000,000 ",2013-14,,,"$6,500,000",Tony Attanasio,Hal Steinbrenner,Brian Cashman,
"Pettitte, Andy",lhp-s,41,,NYA,NYA,1,"$12,000,000 ",2013,,,"$12,000,000",Excel,Hal Steinbrenner,Brian Cashman,
"Youkilis, Kevin",3b,34,,CHA,NYA,1,"$12,000,000 ",2013,,,"$12,000,000",Joe Bick,Hal Steinbrenner,Brian Cashman,
"Adams, Mike",rhp,34,,TEX,PHI,2,"$12,000,000 ",2013,club,,"$6,000,000",ACES,Bill Giles,Ruben Amaro Jr.,
"Keppinger, Jeff",3b,33,,TBA,CHA,3,"$12,000,000 ",2013-15,,,"$4,000,000",Career Sports,Jerry Reinsdorf,KWilliams/RHahn,
"Berkman, Lance",1b,37,,SLN,TEX,1,"$11,000,000 ",2013,club,,"$11,000,000",Michael Moye,RDavis/BSimpson,Jon Daniels,
"Rivera, Mariano",rhp-c,43,,NYA,NYA,1,"$10,000,000 ",2013,,,"$10,000,000",SFX,Hal Steinbrenner,Brian Cashman,
"Gomes, Jonny",of,32,,OAK,BOS,2,"$10,000,000 ",2013-14,,,"$5,000,000",MVP Sports,John Henry,Ben Cherington,
"Villanueva, Carlos",rhp,29,,TOR,CHN,2,"$10,000,000 ",2013-14,,,"$5,000,000",SFX,Tom Ricketts,T Epstein / JHoyer,
"Correia, Kevin",rhp,32,,PIT,MIN,2,"$10,000,000 ",2013-14,,,"$5,000,000",Barry Axelrod,Jim Pohlad,Terry Ryan,
"Izturis, Maicer",inf,32,,ANA,TOR,3,"$10,000,000 ",2013-15,club,,"$3,333,333",Peter Greenberg,Edward Rogers,Alex Anthopoulos,
"Drew, Stephen",ss,30,,OAK,BOS,1,"$9,500,000 ",2013,,,"$9,500,000",Boras Corp.,John Henry,Ben Cherington,
"Burnett, Sean",lhp,30,,WAS,ANA,2,"$8,000,000 ",2013-14,,,"$4,000,000",Jim Munsey,Arturo Moreno,Jerry Dipoto,
"Soria, Joakim",rhp,29,,KCA,TEX,2,"$8,000,000 ",2013-14,club,,"$4,000,000",Oscar Suarez,RDavis/BSimpson,Jon Daniels,
"Pierzynski, A.J.",c,36,,CHA,TEX,1,"$7,500,000 ",2013,,,"$7,500,000",Steve Hilliard,RDavis/BSimpson,Jon Daniels,
"Choate, Randy",lhp,37,,LAN,SLN,3,"$7,500,000 ",2013-15,,,"$2,500,000",ACES,Bill DeWitt Jr.,John Mozeliak,
"Myers, Brett",rhp,32,,CHA,CLE,1,"$7,000,000 ",2013,club,,"$7,000,000",Craig Landis,Paul Dolan,Shapiro/Antonetti,
"Grilli, Jason",rhp,36,,PIT,PIT,2,"$6,750,000 ",2013-14,,,"$3,375,000",Gary Sheffield,Bob Nutting,Neal Huntington,
"Saunders, Joe",lhp-s,32,,BAL,SEA,1,"$6,500,000 ",2013,mutual,,"$6,500,000",Greg Genske,Nintendo/America,Jack Zduriencik,
"Ross, David",c,36,,ATL,BOS,2,"$6,200,000 ",2013-14,,,"$3,100,000",Ryan Gleichowski,John Henry,Ben Cherington,
"Feldman, Scott",rhp-s,30,,TEX,CHN,1,"$6,000,000 ",2013,,,"$6,000,000",Matt Brown,Tom Ricketts,T Epstein / JHoyer,
"Peralta, Joel",rhp,37,,TBA,TBA,2,"$6,000,000 ",2013-14,club,,"$3,000,000",Mark Gilling,Stuart Sternberg,Andrew Friedman,
"Baker, Scott",rhp-s,31,,MIN,CHN,1,"$5,500,000 ",2013,,,"$5,500,000",Alan Nero,Tom Ricketts,T Epstein / JHoyer,
"Napoli, Mike",c-1b,31,,TEX,BOS,1,"$5,000,000 ",2013,,,"$5,000,000",Brian Grieper,John Henry,Ben Cherington,
"Hairston, Scott",of,33,,NYN,CHN,2,"$5,000,000 ",2013-14,,,"$2,500,000",Excel,Tom Ricketts,T Epstein / JHoyer,
"Wigginton, Ty",inf,35,,PHI,SLN,2,"$5,000,000 ",2013-14,,,"$2,500,000",ACES,Bill DeWitt Jr.,John Mozeliak,
"Uehara, Koji",rhp,38,,TEX,BOS,1,"$4,250,000 ",2013,,,"$4,250,000",SFX,John Henry,Ben Cherington,
"Marcum, Shaun",rhp,31,,MIL,NYN,1,"$4,000,000 ",2013,,,"$4,000,000",Rex Gary,Fred Wilpon,Sandy Alderson,
"Madson, Ryan",rhp,32,,CIN,ANA,1,"$3,500,000 ",2013,,,"$3,500,000",Boras Corp.,Arturo Moreno,Jerry Dipoto,
"Hernandez, Roberto",rhp,32,,CLE,TBA,1,"$3,250,000 ",2013,,,"$3,250,000",Jorge Brito,Stuart Sternberg,Andrew Friedman,
"Chavez, Eric",3b,35,,NYA,ARI,1,"$3,000,000 ",2013,,,"$3,000,000",ABC Mgmt,Ken Kendrick,Kevin Towers,
"Colon, Bartolo",rhp-s,40,,OAK,OAK,1,"$3,000,000 ",2013,,,"$3,000,000",Mitch Frankel,Lewis Wolff,Billy Beane,
"Marquis, Jason",rhp,34,,SDN,SDN,1,"$3,000,000 ",2013,,,"$3,000,000",ACES,Ron Fowler,Josh Byrnes,
"Laird, Gerald",c,33,,DET,ATL,2,"$3,000,000 ",2013-14,,,"$1,500,000",Boras Corp.,Liberty Media,Frank Wren,
"Pena, Carlos",1b,35,,TBA,HOU,1,"$2,900,000 ",2013,,,"$2,900,000",Boras Corp.,Jim Crane,Jeff Luhnow,
"Howell, J.P.",lhp,30,,TBA,LAN,1,"$2,850,000 ",2013,,,"$2,850,000",Legacy Agency,Mark Walter,Ned Colletti,
"Lindstrom, Matt",rhp,33,,ARI,CHA,1,"$2,800,000 ",2013,club,,"$2,800,000",Sparta Group,Jerry Reinsdorf,KWilliams/RHahn,
"Polanco, Placido",3b,37,,PHI,MIA,1,"$2,750,000 ",2013,,,"$2,750,000",Adam Katz,Jeffrey Loria,L Beinfest / M Hill,
"Ibanez, Raul",of,41,,NYA,SEA,1,"$2,750,000 ",2013,,,"$2,750,000",ACES,Nintendo/America,Jack Zduriencik,
"Scott, Luke",dh,35,,TBA,TBA,1,"$2,750,000 ",2013,,,"$2,750,000",PSI Sports,Stuart Sternberg,Andrew Friedman,
"Johnson, Kelly",2b,31,,TOR,TBA,1,"$2,450,000 ",2013,,,"$2,450,000",Mike Milchin,Stuart Sternberg,Andrew Friedman,
"Valverde, Jose",rhp,35,,DET,DET,1,"$2,301,887 ",2013,,,"$2,301,887",Boras Corp.,Mike Ilitch,Dave Dombrowski,
"Gonzalez, Mike",lhp,35,,WAS,MIL,1,"$2,250,000 ",2013,,,"$2,250,000",Dan Lozano,Mark Attanasio,Doug Melvin,
"McLouth, Nate",of,31,,BAL,BAL,1,"$2,000,000 ",2013,,,"$2,000,000",Mike Nicotera,Peter Angelos,Dan Duquette,
"Hafner, Travis",dh,36,,CLE,NYA,1,"$2,000,000 ",2013,,,"$2,000,000",Brian Peters,Hal Steinbrenner,Brian Cashman,
"Loney, James",1b,29,,BOS,TBA,1,"$2,000,000 ",2013,,,"$2,000,000",CAA,Stuart Sternberg,Andrew Friedman,
"Lewis, Colby",rhp-s,33,,TEX,TEX,1,"$2,000,000 ",2013,,,"$2,000,000",Octagon,RDavis/BSimpson,Jon Daniels,
"Johnson, Reed",of,36,,ATL,ATL,1,"$1,750,000 ",2013,club,,"$1,750,000",Wasserman,Liberty Media,Frank Wren,
"Navarro, Dioner",c,29,,CIN,CHN,1,"$1,750,000 ",2013,,,"$1,750,000",MDR Sports,Tom Ricketts,T Epstein / JHoyer,
"Baker, Jeff",inf-of,32,,ATL,TEX,1,"$1,750,000 ",2013,,,"$1,750,000",Boras Corp.,RDavis/BSimpson,Jon Daniels,
"Pierre, Juan",of,35,,PHI,MIA,1,"$1,600,000 ",2013,,,"$1,600,000",SFX,Jeffrey Loria,L Beinfest / M Hill,
"Francis, Jeff",lhp-s,32,,COL,COL,1,"$1,500,000 ",2013,,,"$1,500,000",Jim Lindell,Monfort brothers,Dan O'Dowd,
"Perez, Oliver",lhp,31,,SEA,SEA,1,"$1,500,000 ",2013,,,"$1,500,000",Mike Fischlin,Nintendo/America,Jack Zduriencik,
"Shoppach, Kelly",c,33,,NYN,SEA,1,"$1,500,000 ",2013,,,"$1,500,000",LSW Baseball,Nintendo/America,Jack Zduriencik,
"Frasor, Jason",rhp,35,,TOR,TEX,1,"$1,500,000 ",2013,,,"$1,500,000",Dave Meier,RDavis/BSimpson,Jon Daniels,
"Gonzalez, Alex",ss,36,,MIL,MIL,1,"$1,450,000 ",2013,,,"$1,450,000",Eric Goldschmidt,Mark Attanasio,Doug Melvin,
"Sanchez, Jonathan",lhp,30,,COL,PIT,1,"$1,375,000 ",2013,,,"$1,375,000",Jim McNamara,Bob Nutting,Neal Huntington,
"Hinske, Eric",1b,35,,ATL,ARI,1,"$1,350,000 ",2013,,,"$1,350,000",Icon Sports,Ken Kendrick,Kevin Towers,
"Camp, Shawn",rhp,37,,CHN,CHN,1,"$1,350,000 ",2013,,,"$1,350,000",Dave Meier,Tom Ricketts,T Epstein / JHoyer,
"Inge, Brandon",3b,36,,OAK,PIT,1,"$1,250,000 ",2013,,,"$1,250,000",ACES,Bob Nutting,Neal Huntington,
"Farnsworth, Kyle",rhp,37,,TBA,TBA,1,"$1,250,000 ",2013,,,"$1,250,000",Meister Sports,Stuart Sternberg,Andrew Friedman,
"Lowe, Derek",rhp,40,,NYA,TEX,1,"$1,250,000 ",2013,,,"$1,250,000",Boras Corp.,RDavis/BSimpson,Jon Daniels,
"Cedeno, Ronny",inf,30,,NYN,SLN,1,"$1,150,000 ",2013,,,"$1,150,000",Peter Greenberg,Bill DeWitt Jr.,John Mozeliak,
"Rauch, Jon",rhp,34,,NYN,MIA,1,"$1,000,000 ",2013,,,"$1,000,000",Turner-Gary,Jeffrey Loria,L Beinfest / M Hill,
"Durbin, Chad",rhp,35,,ATL,PHI,1,"$1,000,000 ",2013,club,,"$1,000,000",ABC Mgmt,Bill Giles,Ruben Amaro Jr.,
"Qualls, Chad",rhp,34,,PIT,PHI,1,"$1,000,000 ",2013,,,"$1,000,000",Matt Sosnick,Bill Giles,Ruben Amaro Jr.,
"Contreras, Jose",rhp-s,41,,PHI,PIT,1,"$1,000,000 ",2013,,,"$1,000,000",Jaime Torres,Bob Nutting,Neal Huntington,
"Liriano, Francisco",lhp,29,,CHA,PIT,1,"$1,000,000 ",2013,vesting,,"$1,000,000",Greg Genske,Bob Nutting,Neal Huntington,
"Wright, Jamey",rhp,38,,LAN,TBA,1,"$1,000,000 ",2013,,,"$1,000,000",Casey Close,Stuart Sternberg,Andrew Friedman,
"DeRosa, Mark",inf-of,38,,WAS,TOR,1,"$775,000 ",2013,club,,"$775,000",Career Sports,Edward Rogers,Alex Anthopoulos,
"Giambi, Jason",1b,42,,COL,CLE,1,"$750,000 ",2013,,,"$750,000",SFX,Paul Dolan,Shapiro/Antonetti,
"Lyon, Brandon",rhp,33,,TOR,NYN,1,"$750,000 ",2013,,,"$750,000",Meister Sports,Fred Wilpon,Sandy Alderson,
"Young, Delmon",of,27,,DET,PHI,1,"$750,000 ",2013,,,"$750,000",Arn Tellem,Bill Giles,Ruben Amaro Jr.,
"Gaudin, Chad",rhp,30,,MIA,SFN,1,"$750,000 ",2013,,,"$750,000",Reynolds Sports,Charles Johnson,Brian Sabean,
"Blanco, Henry",c,41,,ARI,TOR,1,"$750,000 ",2013,,,"$750,000",Steve Schneider,Edward Rogers,Alex Anthopoulos,
"Wise, Dewayne",of,35,,CHA,CHA,1,"$700,000 ",2013,,,"$700,000",,Jerry Reinsdorf,KWilliams/RHahn,
"Kearns, Austin",of,33,,MIA,MIA,1,"$700,000 ",2013,,,"$700,000",Hendricks Sports,Jeffrey Loria,L Beinfest / M Hill,
"Kotchman, Casey",1b,30,,MIA,MIA,1,"$700,000 ",2013,,,"$700,000",Casey Close,Jeffrey Loria,L Beinfest / M Hill,
"Duke, Zach",lhp,30,,WAS,WAS,1,"$700,000 ",2013,,,"$700,000",SFX,Ted Lerner,Mike Rizzo,
"Oviedo, Juan",rhp,31,,MIA,TBA,1,"$520,000 ",2013,,,"$520,000",Wasserman,Stuart Sternberg,Andrew Friedman,
"Barajas, Rod",c,37,,PIT,ARI,0,$1 ,2013,,,,,Ken Kendrick,Kevin Towers,"$800,000 in majors"
"Batista, Miguel",rhp,42,,ATL,COL,0,$1 ,2013,,,,,Monfort brothers,Dan O'Dowd,"$750,000 in minors"
"Byrdak, Tim",lhp,39,,NYN,NYN,0,$1 ,2013,,,,,Fred Wilpon,Sandy Alderson,"$1,000,000 in majors"
"Capps, Matt",rhp,29,,MIN,CLE,0,$1 ,2013,,,,,Paul Dolan,Shapiro/Antonetti,"$1,000,000 in majors"
"Chavez, Endy",of,35,,BAL,KCA,0,$1 ,2013,,,,,David Glass,Dayton Moore,"$1,000,000 in. majors"
"Cook, Aaron",rhp,34,,BOS,PHI,0,$1 ,2013,,,,,Bill Giles,Ruben Amaro Jr.,"$1,625,000 in majors"
"Diaz, Matt",of,35,,ATL,NYA,0,$1 ,2013,,,,,Hal Steinbrenner,Brian Cashman,"$1,200,000 in majors"
"Feliciano, Pedro",lhp,36,,NYA,NYN,0,$1 ,2013,,,,,Fred Wilpon,Sandy Alderson,"$1,000,000 in majors"
"Garcia, Freddy",rhp-s,36,,NYA,SDN,0,$1 ,2013,,,,,Ron Fowler,Josh Byrnes,"$1,300,000 in majors"
"Hall, Bill",of,33,,BAL,ANA,0,$1 ,2013,,,,,Arturo Moreno,Jerry Dipoto,"$550,000 in majors"
"Hawkins, LaTroy",rhp,40,,ANA,NYN,1,$1 ,2013,,,,,Fred Wilpon,Sandy Alderson,"$1,000,000 in majors"
"Lowe, Mark",rhp,30,,TEX,LAN,0,$1 ,2013,,,,,Mark Walter,Ned Colletti,"$1,500,000 in majors"
"Matsuzaka, Daisuke",rhp-s,32,,BOS,CLE,0,$1 ,2013,,,,,Paul Dolan,Shapiro/Antonetti,"$1,500,000 in majors"
"Nady, Xavier",of,34,,SFN,KCA,0,$1 ,2013,,,,,David Glass,Dayton Moore,"$750,000 in majors"
"Olivo, Miguel",c,34,,SEA,CIN,0,$1 ,2013,,,,,Bob Castellini,Walt Jocketty,"$1,250,000 in majors"
"Oswalt, Roy",rhp-s,35,,TEX,COL,0,$1 ,2013,,,,,Monfort brothers,Dan O'Dowd,
"Overbay, Lyle",1b,36,,ATL,BOS,0,$1 ,2013,,,,,John Henry,Ben Cherington,"$1,250,000 in majors"
"Ramirez, Ramon",rhp,31,,NYN,SFN,0,$1 ,2013,,,,,Charles Johnson,Brian Sabean,"$750,000 in majors"
"Rivera, Juan",of,34,,LAN,NYA,0,$1 ,2013,,,,,Hal Steinbrenner,Brian Cashman,"$1,200,000 in majors"
"Rodriguez, Francisco",rhp,31,,MIL,MIL,0,$1 ,2013,,,,,Mark Attanasio,Doug Melvin,
"Sherrill, George",lhp,36,,SEA,KCA,0,$1 ,2013,,,,,David Glass,Dayton Moore,"$850,000 in majors"
"Snyder, Chris",c,32,,HOU,WAS,0,$1 ,2013,,,,,Ted Lerner,Mike Rizzo,"$1,000,000 in majors"
"Tateyama, Yoshinori",rhp,37,,TEX,TEX,0,$1 ,2013,,,,,RDavis/BSimpson,Jon Daniels,"$1,000,000 in majors"
"Wang, Chien-Ming",rhp-s,33,,WAS,NYA,0,$1 ,2013,,,,,Hal Steinbrenner,Brian Cashman,"$2,500,000 in majors"
"Young, Chris",rhp,34,,NYN,WAS,0,$1 ,2013,,,,,Ted Lerner,Mike Rizzo,"$2,000,000 in majors"
"Zambrano, Carlos",rhp,32,,MIA,PHI,0,$1 ,2013,,,,,Bill Giles,Ruben Amaro Jr.,
,,,,,,,,,,,,,,,
"Lopez, Jose",ss,29,,CHA,NPB,,,,,,,,,,1 year deal with Yomiuri of NPB
"Jones, Andruw",of,36,,NYA,NPB,,,,,,,,,,1 year/$3.5M deal with Rakuten of NPB
"Saito, Takashi",rhp,43,,ARI,NPB,,,,,,,,,,1 year deal with Rakuten of NPB
"Padilla, Vicente",rhp,35,,BOS,NPB,,,,,,,,,,1 year/$3.25M deal with SoftBank of NPB
,,,,,,,,,,,,,,,
Remaining Free Agents (27),,,,,,,,,,,,,,,
"Abreu, Bobby",of,39,,LAN,,,,2013,,,,,,,
"Bruney, Brian",rhp,31,,CHA,,,,2013,,,,,,,
"Cairo, Miguel",1b,39,,CIN,,,,2013,,,,,,,
"Coffey, Todd",rhp,32,,LAN,,,,2013,,,,,,,
"Fuentes, Brian",lhp,37,,SLN,,,,2013,,,,,,,
"Hudson, Orlando",2b,35,,CHA,,,,2013,,,,,,,
"Huff, Aubrey",1b,36,,SFN,,,,2013,,,,,,,
"Isringhausen, Jason",rhp,40,,ANA,,,,2013,,,,,,,
"Johnson, Nick",1b,34,,BAL,,,,2013,,,,,,,
"Jones, Chipper",3b,41,,ATL,,,,2013,,,,,,,
"Kennedy, Adam",inf,37,,LAN,,,,2013,,,,,,,
"Lee, Carlos",1b,37,,MIA,,,,2013,,,,,,,
"Millwood, Kevin",rhp-s,38,,SEA,,,,2013,,,,,,,
"Mota, Guillermo",rhp,39,,SFN,,,,2013,,,,,,,
"Pavano, Carl",rhp-s,37,,MIN,,,,2013,,,,,,,
"Penny, Brad",rhp,35,,SFN,,,,2013,,,,,,,
"Podsednik, Scott",of,37,,BOS,,,,2013,,,,,,,
"Rolen, Scott",3b,38,,CIN,,,,2013,,,,,,,
"Sanchez, Freddy",2b,35,,SFN,,,,2013,,,,,,,
"Schneider, Brian",c,36,,PHI,,,,2013,,,,,,,
"Sheets, Ben",rhp,34,,ATL,,,,2013,,,,,,,
"Sizemore, Grady",of,30,,CLE,,,,2013,,,,,,,
"Theriot, Ryan",2b,33,,SFN,,,,2013,,,,,,,
"Thome, Jim",dh,42,,BAL,,,,2013,,,,,,,
"Treanor, Matt",c,37,,LAN,,,,2013,,,,,,,
"Vizquel, Omar",2b,46,,TOR,,,,2013,,,,,,,
"Wolf, Randy",lhp,36,,BAL,,,,2013,,,,,,,
